power,time
0.30200,4
0.27800,69
0.27800,133
0.26800,198
0.27800,265
0.27800,331
0.28600,398
0.28600,463
0.37400,531
0.40400,596
0.40400,660
0.40400,728
0.40400,792
0.44600,861
0.42000,926
0.42000,990
0.33400,1059
0.33400,1123
0.41200,1191
0.41200,1255
0.40600,1320
0.42000,1388
0.42000,1453
0.47200,1521
0.47200,1586
0.46800,1654
0.48200,1718
0.48200,1783
0.40000,1851
0.40000,1916
0.36800,1983
0.36800,2048
0.36800,2113
0.36800,2181
0.36800,2246
0.36800,2314
0.36800,2379
0.36800,2446
0.36800,2511
0.36800,2575
0.36800,2644
0.36800,2708
0.36800,2776
0.36800,2842
0.44200,2906
0.76400,2974
0.76400,3038
0.83800,3107
0.83800,3171
0.83600,3236
0.84200,3303
0.84200,3369
0.83800,3436
0.83800,3501
0.71400,3570
0.55800,3634
0.55800,3699
0.62000,3766
0.62000,3831
0.57400,3899
0.57400,3964
0.61200,4028
0.61200,4097
0.61200,4161
0.61200,4229
0.61200,4294
0.71800,4359
0.70200,4427
0.70200,4491
1.35600,4560
1.35600,4624
0.88800,4692
0.96400,4756
0.96400,4821
0.85200,4890
0.85200,4954
0.95600,5023
0.85600,5087
0.85600,5152
0.97400,5219
0.97400,5284
0.96400,5352
0.96400,5417
1.16600,5481
1.30800,5550
1.30800,5615
1.34000,5682
1.34000,5747
1.48400,5815
1.47400,5880
1.47400,5944
1.37600,6013
1.37600,6077
1.48800,6145
1.44200,6209
1.44200,6275
1.83800,6343
1.83800,6407
1.58200,6476
1.39600,6540
1.39600,6605
1.39600,6672
1.39600,6737
1.35000,6805
1.35000,6870
1.32400,6934
1.61800,7003
1.61800,7068
1.94400,7135
1.94400,7200
1.98600,7268
1.86400,7333
1.86400,7397
1.84200,7466
1.84200,7530
1.79600,7598
2.17200,7663
2.17200,7728
2.30600,7796
2.30600,7860
2.14000,7929
1.94400,7993
1.94400,8058
1.90400,8125
1.90400,8191
2.42800,8258
2.42800,8323
2.37200,8388
1.98200,8456
1.98200,8521
2.26200,8588
2.26200,8654
2.30000,8718
2.04800,8786
2.04800,8850
2.04400,8919
2.04400,8983
2.20200,9051
2.02200,9117
2.02200,9181
1.50400,9249
1.50400,9313
1.52400,9382
1.52400,9446
1.52400,9511
1.51800,9578
1.51800,9644
1.57200,9712
1.57200,9776
1.44600,9841
1.93400,9909
1.93400,9974
1.53600,10042
1.53600,10107
1.68800,10171
1.55000,10239
1.55000,10304
1.44200,10372
1.44200,10437
1.57200,10502
1.43800,10570
1.43800,10634
1.43800,10703
1.41800,10767
1.41800,10832
1.45400,10900
1.45400,10965
1.45400,11032
1.48400,11098
1.48400,11163
1.46800,11230
1.46800,11296
1.60800,11363
1.78600,11428
1.78600,11493
1.75600,11561
1.75600,11625
1.58200,11690
1.65800,11759
1.65800,11823
1.83800,11892
1.83800,11956
2.02200,12021
1.68200,12089
1.68200,12154
1.94600,12221
1.94600,12287
1.61200,12351
1.45200,12419
1.45200,12484
1.49800,12552
1.59200,12617
1.59200,12681
1.60600,12750
1.60600,12814
1.45400,12883
1.74000,12947
1.74000,13012
1.88400,13080
1.88400,13145
1.53600,13213
1.60600,13277
1.60600,13343
1.55600,13410
1.55600,13475
1.56000,13540
1.51000,13608
1.51000,13672
1.58600,13741
1.58600,13805
1.84200,13870
2.24800,13939
2.24800,14003
2.21600,14071
2.13000,14136
2.13000,14201
