power,time
0.27600,4
0.27800,69
0.27800,133
0.25600,201
0.25600,266
0.39600,334
0.39600,399
0.39600,463
0.39600,532
0.39600,596
0.42200,664
0.43600,728
0.43600,793
0.32200,861
0.32200,926
0.34800,994
0.34800,1059
0.36800,1124
0.40000,1191
0.40000,1256
0.57600,1324
0.57600,1389
0.57600,1456
0.57600,1521
0.57600,1586
0.60600,1654
0.60600,1719
0.66600,1787
0.95400,1852
0.95400,1916
0.95600,1984
0.95600,2048
0.96000,2117
0.96000,2181
0.94400,2246
0.92800,2315
0.92800,2379
0.62200,2447
0.62200,2511
0.63000,2577
0.52400,2644
0.52400,2709
0.52200,2777
0.52200,2842
0.52200,2909
0.52200,2974
0.52200,3038
0.52200,3107
0.52200,3172
0.52200,3239
0.52200,3305
0.52200,3369
0.52200,3437
0.52200,3501
0.52200,3570
0.52200,3634
0.63200,3699
0.61600,3767
0.61600,3832
0.62000,3900
0.62000,3964
0.62200,4033
0.66200,4097
0.66200,4162
0.60600,4229
0.60600,4295
0.90200,4363
1.01200,4427
1.01200,4492
0.86800,4560
0.86800,4625
0.95000,4692
0.95000,4757
0.97600,4822
0.90400,4890
0.90400,4954
1.09800,5023
1.09800,5088
1.18200,5152
1.13000,5220
1.13000,5285
1.18600,5353
1.18600,5417
1.20200,5482
1.21000,5550
1.21000,5615
1.35400,5683
1.35400,5748
1.26800,5816
1.26200,5880
1.26200,5945
1.21800,6013
1.21800,6078
1.08400,6145
1.48200,6211
1.48200,6275
1.27400,6343
1.27400,6407
1.35000,6476
1.35000,6541
1.34000,6605
1.27200,6674
1.27200,6738
1.15400,6806
1.15400,6870
1.18000,6936
1.56000,7003
1.56000,7068
1.67200,7137
1.67200,7201
1.82800,7266
1.62600,7333
1.62600,7399
1.89000,7466
1.89000,7531
1.76600,7599
1.30000,7664
1.30000,7728
1.91400,7796
1.91400,7862
1.57600,7929
1.60600,7994
1.60600,8058
1.75000,8127
1.75000,8191
1.61200,8259
1.62800,8324
1.62800,8389
1.23800,8456
1.23800,8521
1.15400,8590
1.15400,8654
1.15600,8719
1.34400,8787
1.34400,8852
1.62200,8919
1.62200,8984
1.62200,9049
1.66400,9117
1.66400,9181
1.94400,9250
1.94400,9315
2.04400,9379
1.92400,9447
1.92400,9512
2.04800,9580
2.04800,9644
1.89800,9713
1.80600,9777
1.80600,9842
1.79800,9910
1.79800,9975
1.89000,10043
1.61200,10107
1.61200,10172
1.31400,10240
1.31400,10305
1.49400,10373
1.45400,10438
1.45400,10502
1.66800,10571
1.66800,10636
1.40000,10700
1.16600,10768
1.16600,10833
1.38600,10901
1.38600,10965
1.29800,11031
1.51400,11098
1.51400,11163
1.92400,11232
1.62200,11296
1.62200,11361
1.24200,11429
1.24200,11494
1.24600,11561
1.29800,11627
1.29800,11691
1.23600,11759
1.23600,11824
1.20200,11889
1.61200,11957
1.61200,12022
1.33600,12090
1.33600,12154
1.52400,12220
1.85200,12287
1.85200,12352
1.71400,12420
1.71400,12485
1.78600,12549
1.44800,12618
