power,time
1.17600,2
1.17600,6
1.17600,8
1.17600,10
1.17600,13
1.17600,15
1.17600,17
1.25200,20
1.25200,22
1.25200,24
1.25200,26
1.25200,29
1.25200,31
1.25200,33
1.25200,36
1.25200,38
1.25200,40
1.25200,43
1.25200,45
1.25200,48
1.25200,51
1.25200,53
1.25200,55
1.25200,58
1.25200,60
1.25200,62
1.25200,65
1.25200,67
1.25200,69
1.25200,72
1.25200,74
1.25200,76
1.25200,79
1.25200,81
1.25200,83
1.32000,85
1.32000,88
1.32000,91
1.32000,93
1.32000,96
1.32000,98
1.32000,100
1.32000,103
1.32000,105
1.32000,107
1.32000,110
1.32000,112
1.32000,115
1.32000,117
1.32000,119
1.32000,122
1.32000,124
1.32000,126
1.32000,129
1.32000,131
1.32000,135
1.32000,137
1.32000,139
1.32000,142
1.32000,144
1.32000,146
1.32000,149
1.31000,151
1.31000,154
1.31000,156
1.31000,158
1.31000,161
1.31000,163
1.31000,165
1.31000,168
1.31000,170
1.31000,172
1.31000,176
1.31000,178
1.31000,181
1.31000,183
1.31000,185
1.31000,188
1.31000,190
1.31000,192
1.31000,195
1.31000,197
1.31000,200
1.31000,202
1.31000,204
1.31000,207
1.31000,209
1.31000,211
1.31000,214
1.31000,216
1.22200,220
1.22200,222
1.22200,224
1.22200,227
1.22200,229
1.22200,231
1.22200,234
1.22200,236
1.22200,239
1.22200,241
1.22200,243
1.22200,246
1.22200,248
1.22200,250
1.22200,253
1.22200,255
1.22200,258
1.22200,260
1.22200,263
1.22200,266
1.22200,268
1.22200,270
1.22200,273
1.22200,275
1.22200,278
1.22200,280
1.22200,282
1.17400,285
1.17400,287
1.17400,289
1.17400,292
1.17400,294
1.17400,297
1.17400,299
1.17400,301
1.17400,305
1.17400,307
1.17400,309
1.17400,312
1.17400,314
1.17400,317
1.17400,319
1.17400,321
1.17400,324
1.17400,326
1.17400,328
1.17400,331
1.17400,333
1.17400,336
1.17400,338
1.17400,340
1.17400,343
1.17400,345
1.17400,348
1.26800,351
1.26800,353
1.26800,356
1.26800,358
1.26800,360
1.26800,363
1.26800,365
1.26800,367
1.26800,370
1.26800,372
1.26800,375
1.26800,377
1.26800,379
1.26800,382
1.26800,384
1.26800,386
1.26800,390
1.26800,392
1.26800,395
1.26800,397
1.26800,399
1.26800,402
1.26800,404
1.26800,406
1.26800,409
1.26800,411
1.26800,413
1.23600,416
1.23600,418
1.23600,421
1.23600,423
1.23600,425
1.23600,428
1.23600,430
1.23600,433
1.23600,436
1.23600,438
1.23600,441
1.23600,443
1.23600,445
1.23600,448
1.23600,450
1.23600,452
1.23600,455
1.23600,457
1.23600,460
1.23600,462
1.23600,464
1.23600,467
1.23600,469
1.23600,471
1.23600,475
1.23600,477
1.23600,480
1.24600,482
1.24600,484
1.24600,487
1.24600,489
1.24600,491
1.24600,494
1.24600,496
1.24600,499
1.24600,501
1.24600,503
1.24600,506
1.24600,508
1.24600,510
1.24600,513
1.24600,515
1.24600,519
1.24600,521
1.24600,523
1.24600,526
1.24600,528
1.24600,530
1.24600,533
1.24600,535
1.24600,538
1.24600,540
1.24600,542
1.24600,545
1.20000,547
1.20000,549
1.20000,552
1.20000,554
1.20000,557
1.20000,560
1.20000,562
1.20000,565
1.20000,567
1.20000,569
1.20000,572
1.20000,574
1.20000,576
1.20000,579
1.20000,581
1.20000,584
1.20000,586
1.20000,588
1.20000,591
1.20000,593
1.20000,595
1.20000,598
1.20000,600
1.20000,603
1.20000,606
1.20000,608
1.20000,611
1.20000,613
1.17400,615
1.17400,618
1.17400,620
1.17400,622
1.17400,625
1.17400,627
1.17400,630
1.17400,632
1.17400,634
1.17400,637
1.17400,639
1.17400,641
1.17400,644
1.17400,647
1.17400,650
1.17400,652
