power,time
1.44600,2
1.44600,4
1.44600,7
1.44600,9
1.44600,11
1.44600,13
1.44600,17
1.44600,19
1.44600,21
1.44600,24
1.44600,26
1.44600,28
1.44600,31
1.44600,33
1.57600,35
1.57600,38
1.57600,40
1.57600,42
1.57600,45
1.57600,47
1.57600,49
1.57600,52
1.57600,54
1.57600,57
1.57600,60
1.57600,62
1.57600,64
1.57600,66
1.57600,69
1.57600,71
1.57600,73
1.57600,76
1.57600,78
1.57600,80
1.57600,83
1.57600,85
1.57600,87
1.57600,90
1.57600,92
1.57600,94
1.57600,97
1.57600,100
1.61800,102
1.61800,105
1.61800,107
1.61800,109
1.61800,112
1.61800,114
1.61800,116
1.61800,119
1.61800,121
1.61800,124
1.61800,126
1.61800,128
1.61800,131
1.61800,133
1.61800,135
1.61800,138
1.61800,140
1.61800,144
1.61800,146
1.61800,148
1.61800,151
1.61800,153
1.61800,155
1.61800,158
1.61800,160
1.61800,163
1.61800,165
1.57200,167
1.57200,170
1.57200,172
1.57200,174
1.57200,177
1.57200,179
1.57200,182
1.57200,185
1.57200,187
1.57200,190
1.57200,192
1.57200,194
1.57200,197
1.57200,199
1.57200,202
1.57200,204
1.57200,206
1.57200,209
1.57200,211
1.57200,213
1.57200,216
1.57200,218
1.57200,221
1.57200,223
1.57200,225
1.57200,229
1.57200,231
1.50400,233
1.50400,236
1.50400,238
1.50400,241
1.50400,243
1.50400,245
1.50400,248
1.50400,250
1.50400,252
1.50400,255
1.50400,257
1.50400,260
1.50400,262
1.50400,264
1.50400,267
1.50400,269
1.50400,272
1.50400,275
1.50400,277
1.50400,279
1.50400,282
1.50400,284
1.50400,287
1.50400,289
1.50400,291
1.50400,294
1.50400,296
1.46200,298
1.46200,301
1.46200,303
1.46200,306
1.46200,308
1.46200,310
1.46200,314
1.46200,316
1.46200,318
1.46200,321
1.46200,323
1.46200,326
1.46200,328
1.46200,330
1.46200,333
1.46200,335
1.46200,337
1.46200,340
1.46200,342
1.46200,345
1.46200,347
1.46200,349
1.46200,352
1.46200,354
1.46200,357
1.46200,360
1.46200,362
1.51400,365
1.51400,367
1.51400,369
1.51400,372
1.51400,374
1.51400,376
1.51400,379
1.51400,381
1.51400,383
1.51400,386
1.51400,388
1.51400,391
1.51400,393
1.51400,395
1.51400,399
1.51400,401
1.51400,403
1.51400,406
1.51400,408
1.51400,411
1.51400,413
1.51400,415
1.51400,418
1.51400,420
1.51400,422
1.51400,425
1.51400,427
1.51400,430
1.57000,432
1.57000,434
1.57000,437
1.57000,439
1.57000,442
1.57000,445
1.57000,447
1.57000,450
1.57000,452
1.57000,454
1.57000,457
1.57000,459
1.57000,461
1.57000,464
1.57000,466
1.57000,468
1.57000,471
1.57000,473
1.57000,476
1.57000,478
1.57000,480
1.57000,484
1.57000,486
1.57000,488
1.57000,491
1.57000,493
1.57000,496
1.51000,498
1.51000,500
1.51000,503
1.51000,505
1.51000,507
1.51000,510
1.51000,512
1.51000,514
1.51000,517
1.51000,519
1.51000,522
1.51000,524
1.51000,527
1.51000,530
1.51000,532
1.51000,534
1.51000,537
1.51000,539
1.51000,542
1.51000,544
1.51000,546
1.51000,549
1.51000,551
1.51000,553
1.51000,556
1.51000,558
1.51000,561
1.51000,563
1.51000,565
1.51000,569
1.51000,571
1.51000,573
1.51000,576
1.51000,578
1.51000,581
1.51000,583
1.51000,585
1.51000,588
1.51000,590
1.51000,592
1.51000,595
1.51000,597
1.51000,600
1.51000,602
1.51000,604
1.51000,607
1.51000,609
1.51000,612
1.51000,615
1.51000,617
1.51000,619
1.51000,622
1.51000,624
1.51000,627
1.45800,629
1.45800,631
1.45800,634
1.45800,636
1.45800,638
1.45800,641
1.45800,643
1.45800,646
1.45800,648
1.45800,650
1.45800,653
1.45800,656
1.45800,658
1.45800,661
1.45800,663
1.45800,666
1.45800,668
1.45800,670
1.45800,673
1.45800,675
1.45800,677
1.45800,680
1.45800,682
1.45800,685
1.45800,687
1.45800,689
1.45800,692
1.44600,694
1.44600,697
1.44600,700
1.44600,702
1.44600,705
1.44600,707
1.44600,709
1.44600,712
1.44600,714
1.44600,716
1.44600,719
1.44600,721
1.44600,724
1.44600,726
1.44600,728
1.44600,731
1.44600,733
1.44600,735
1.44600,738
1.44600,741
1.44600,744
1.44600,746
1.44600,748
1.44600,751
1.44600,753
1.44600,755
1.44600,758
1.44600,760
1.54000,762
1.54000,765
1.54000,767
1.54000,770
1.54000,772
1.54000,774
1.54000,777
1.54000,779
1.54000,781
1.54000,785
1.54000,787
1.54000,790
1.54000,792
1.54000,794
1.54000,797
1.54000,799
1.54000,801
1.54000,804
1.54000,806
1.54000,808
1.54000,811
1.54000,813
1.54000,816
1.54000,818
1.54000,820
1.54000,823
1.54000,826
1.44200,828
1.44200,831
1.44200,833
1.44200,836
1.44200,838
1.44200,840
1.44200,843
1.44200,845
1.44200,847
1.44200,850
1.44200,852
1.44200,855
1.44200,857
1.44200,859
1.44200,862
1.44200,864
1.44200,866
1.44200,870
1.44200,872
1.44200,874
1.44200,877
1.44200,879
1.44200,882
1.44200,884
1.44200,886
1.44200,889
1.44200,891
1.45400,893
1.45400,896
1.45400,898
1.45400,901
1.45400,903
1.45400,905
1.45400,908
1.45400,911
1.45400,913
1.45400,916
1.45400,918
1.45400,921
1.45400,923
1.45400,925
1.45400,928
1.45400,930
1.45400,932
1.45400,935
1.45400,937
1.45400,940
1.45400,942
1.45400,944
1.45400,947
1.45400,949
1.45400,951
1.45400,955
1.45400,957
1.44600,960
1.44600,962
1.44600,964
1.44600,967
1.44600,969
1.44600,971
1.44600,974
1.44600,976
1.44600,979
1.44600,981
1.44600,983
1.44600,986
1.44600,988
1.44600,990
1.44600,993
1.44600,996
1.44600,999
1.44600,1001
1.44600,1003
1.44600,1006
1.44600,1008
1.44600,1011
1.44600,1013
1.44600,1015
1.44600,1018
1.44600,1020
1.44600,1023
1.44600,1025
1.44600,1027
1.44600,1030
1.44600,1032
1.44600,1035
1.44600,1037
1.44600,1040
1.44600,1043
1.44600,1045
1.44600,1048
1.44600,1050
1.44600,1052
1.44600,1055
1.44600,1057
1.44600,1060
1.44600,1062
1.44600,1064
1.44600,1067
1.44600,1069
1.44600,1072
1.44600,1074
1.44600,1076
1.44600,1079
1.44600,1082
1.44600,1085
1.44600,1087
1.44600,1089
1.49800,1092
1.49800,1094
1.49800,1097
1.49800,1099
1.49800,1101
1.49800,1104
1.49800,1106
1.49800,1109
1.49800,1111
1.49800,1114
1.49800,1116
1.49800,1118
1.49800,1121
1.49800,1124
1.49800,1127
1.49800,1129
1.49800,1131
1.49800,1134
1.49800,1136
1.49800,1139
1.49800,1141
1.49800,1143
1.49800,1146
1.49800,1148
1.49800,1151
1.49800,1153
1.49800,1155
1.44600,1158
1.44600,1160
1.44600,1163
1.44600,1165
1.44600,1168
1.44600,1171
1.44600,1173
1.44600,1176
1.44600,1178
1.44600,1180
1.44600,1183
1.44600,1185
1.44600,1188
1.44600,1190
1.44600,1192
1.44600,1195
1.44600,1197
1.44600,1200
1.44600,1202
1.44600,1204
1.44600,1207
1.44600,1210
1.44600,1213
1.44600,1215
1.44600,1217
1.44600,1220
1.44600,1222
1.47800,1225
1.47800,1227
1.47800,1230
1.47800,1232
1.47800,1234
1.47800,1237
1.47800,1239
