power,time
1.17600,2
1.17600,4
1.17600,7
1.17600,9
1.17600,12
1.17600,14
1.24200,17
1.24200,19
1.24200,21
1.24200,24
1.24200,26
1.24200,28
1.24200,31
1.24200,33
1.24200,35
1.24200,38
1.24200,40
1.24200,42
1.24200,45
1.24200,47
1.24200,49
1.24200,52
1.24200,55
1.24200,57
1.24200,59
1.24200,62
1.24200,64
1.24200,66
1.24200,69
1.24200,71
1.24200,73
1.24200,76
1.24200,78
1.24200,80
1.29200,83
1.29200,85
1.29200,87
1.29200,90
1.29200,92
1.29200,94
1.29200,98
1.29200,100
1.29200,102
1.29200,105
1.29200,107
1.29200,109
1.29200,112
1.29200,114
1.29200,117
1.29200,119
1.29200,121
1.29200,124
1.29200,126
1.29200,128
1.29200,131
1.29200,133
1.29200,136
1.29200,139
1.29200,141
1.29200,144
1.29200,146
1.18000,148
1.18000,151
1.18000,153
1.18000,155
1.18000,158
1.18000,160
1.18000,163
1.18000,165
1.18000,167
1.18000,170
1.18000,172
1.18000,174
1.18000,177
1.18000,179
1.18000,183
1.18000,185
1.18000,187
1.18000,190
1.18000,192
1.18000,194
1.18000,197
1.18000,199
1.18000,201
1.18000,204
1.18000,206
1.18000,209
1.18000,211
1.18000,213
1.18000,216
1.18000,218
1.18000,220
1.18000,223
1.18000,226
1.18000,229
1.18000,231
1.18000,233
1.18000,236
1.18000,238
1.18000,240
1.18000,243
1.18000,245
1.18000,247
1.18000,250
1.18000,252
1.18000,255
1.18000,257
1.18000,259
1.18000,262
1.18000,264
1.18000,267
1.18000,270
1.18000,272
1.18000,275
1.18000,277
1.18000,279
1.17600,282
1.17600,284
1.17600,286
1.17600,289
1.17600,291
1.17600,294
1.17600,296
1.17600,298
1.17600,301
1.17600,303
1.17600,305
1.17600,308
1.17600,311
1.17600,314
1.17600,316
1.17600,318
1.17600,321
1.17600,323
1.17600,325
1.17600,328
1.17600,330
1.17600,332
1.17600,335
1.17600,337
1.17600,340
1.17600,342
1.17600,344
1.17600,347
1.17600,349
1.17600,351
1.17600,355
1.17600,357
1.17600,360
1.17600,362
1.17600,364
1.17600,367
1.17600,369
1.17600,371
1.17600,374
1.17600,376
1.17600,379
1.17600,381
1.17600,383
1.17600,386
1.17600,388
1.17600,390
1.17600,393
1.17600,396
1.17600,399
1.17600,401
1.17600,403
1.17600,406
1.17600,408
1.17600,410
1.18000,413
1.18000,415
1.18000,418
1.18000,420
1.18000,422
1.18000,425
1.18000,427
1.18000,429
1.18000,432
1.18000,434
1.18000,438
1.18000,440
1.18000,442
1.18000,445
1.18000,447
1.18000,449
1.18000,452
1.18000,454
1.18000,456
1.18000,459
1.18000,461
1.18000,464
1.18000,466
1.18000,468
1.18000,471
1.18000,473
1.18000,475
1.25200,478
1.25200,481
1.25200,484
1.25200,486
1.25200,488
1.25200,491
1.25200,493
1.25200,495
1.25200,498
1.25200,500
1.25200,502
1.25200,505
1.25200,507
1.25200,510
1.25200,512
1.25200,514
1.25200,517
1.25200,519
1.25200,521
1.25200,525
1.25200,527
1.25200,530
1.25200,532
1.25200,534
1.25200,537
1.25200,539
1.25200,541
1.31000,544
1.31000,546
1.31000,549
1.31000,551
1.31000,553
1.31000,556
1.31000,558
1.31000,560
1.31000,563
1.31000,566
1.31000,569
1.31000,571
1.31000,573
1.31000,576
1.31000,578
1.31000,580
1.31000,583
1.31000,585
1.31000,588
1.31000,590
1.31000,592
1.31000,595
1.31000,597
1.31000,599
1.31000,602
1.31000,604
1.31000,607
1.31000,610
1.46800,612
1.46800,615
1.46800,617
1.46800,619
1.46800,622
1.46800,624
1.46800,627
1.46800,629
1.46800,631
1.46800,634
1.46800,636
1.46800,638
1.46800,641
1.46800,643
1.46800,646
1.46800,648
1.46800,651
1.46800,654
1.46800,656
1.46800,658
1.46800,661
1.46800,663
1.46800,665
1.46800,668
1.46800,670
1.46800,673
1.46800,675
1.23600,677
1.23600,680
1.23600,682
1.23600,684
1.23600,687
1.23600,689
1.23600,692
1.23600,695
1.23600,697
1.23600,700
1.23600,702
1.23600,704
1.23600,707
1.23600,709
1.23600,712
1.23600,714
1.23600,716
1.23600,719
1.23600,721
1.23600,723
1.23600,726
1.23600,728
1.23600,731
1.23600,733
1.23600,735
1.23600,739
1.23600,741
1.26400,743
1.26400,746
1.26400,748
1.26400,751
1.26400,753
1.26400,755
1.26400,758
1.26400,760
1.26400,762
1.26400,765
1.26400,767
1.26400,770
1.26400,772
1.26400,774
1.26400,777
1.26400,780
1.26400,782
1.26400,785
1.26400,787
1.26400,790
1.26400,792
1.26400,794
1.26400,797
1.26400,799
1.26400,801
1.26400,804
1.26400,806
1.35400,809
1.35400,811
1.35400,813
1.35400,816
1.35400,818
1.35400,820
1.35400,824
1.35400,826
1.35400,829
1.35400,831
1.35400,833
1.35400,836
1.35400,838
1.35400,840
1.35400,843
1.35400,845
1.35400,848
1.35400,850
1.35400,852
1.35400,855
1.35400,857
1.35400,859
1.35400,862
1.35400,865
1.35400,868
1.35400,870
1.35400,872
1.17400,875
1.17400,877
1.17400,879
1.17400,882
1.17400,884
1.17400,887
1.17400,889
1.17400,891
1.17400,894
1.17400,896
1.17400,898
1.17400,901
1.17400,903
1.17400,907
1.17400,909
1.17400,911
1.17400,914
1.17400,916
1.17400,918
1.17400,921
1.17400,923
1.17400,926
1.17400,928
1.17400,930
1.17400,933
1.17400,935
1.17400,937
1.17000,940
1.17000,942
1.17000,945
1.17000,947
1.17000,950
1.17000,953
1.17000,955
1.17000,957
1.17000,960
1.17000,962
1.17000,965
1.17000,967
1.17000,969
1.17000,972
1.17000,974
1.17000,976
1.17000,979
1.17000,981
1.17000,984
1.17000,986
1.17000,988
1.17000,991
1.17000,994
1.17000,996
1.17000,999
1.17000,1001
1.17000,1004
1.17000,1006
1.18600,1008
1.18600,1011
1.18600,1013
1.18600,1016
1.18600,1018
1.18600,1020
1.18600,1023
1.18600,1025
1.18600,1028
1.18600,1030
1.18600,1032
1.18600,1036
1.18600,1038
1.18600,1041
1.18600,1043
1.18600,1045
1.18600,1048
1.18600,1050
1.18600,1053
1.18600,1055
1.18600,1057
1.18600,1060
1.18600,1062
1.18600,1065
1.18600,1067
1.18600,1069
1.18000,1072
1.18000,1074
1.18000,1078
1.18000,1080
1.18000,1082
1.18000,1085
1.18000,1087
1.18000,1090
1.18000,1092
1.18000,1094
1.18000,1097
1.18000,1099
1.18000,1102
1.18000,1104
1.18000,1107
1.18000,1109
1.18000,1111
1.18000,1114
1.18000,1116
1.18000,1119
1.18000,1122
1.18000,1124
1.18000,1127
1.18000,1129
1.18000,1132
1.18000,1134
1.18000,1136
1.21000,1139
1.21000,1141
1.21000,1144
1.21000,1146
1.21000,1148
1.21000,1151
1.21000,1153
1.21000,1156
1.21000,1158
1.21000,1160
1.21000,1164
1.21000,1166
1.21000,1169
1.21000,1171
1.21000,1173
1.21000,1176
1.21000,1178
1.21000,1181
1.21000,1183
1.21000,1185
1.21000,1188
1.21000,1190
1.21000,1193
1.21000,1195
1.21000,1197
1.21000,1200
1.21000,1202
1.17600,1206
1.17600,1208
1.17600,1210
1.17600,1213
1.17600,1215
1.17600,1218
1.17600,1220
1.17600,1222
1.17600,1225
1.17600,1227
1.17600,1230
1.17600,1232
1.17600,1234
1.17600,1237
1.17600,1239
1.17600,1242
1.17600,1244
1.17600,1247
1.17600,1250
1.17600,1252
1.17600,1255
1.17600,1257
1.17600,1260
1.17600,1262
1.17600,1264
1.17600,1267
1.17600,1269
1.21600,1272
1.21600,1274
1.21600,1276
1.21600,1279
1.21600,1281
1.21600,1284
1.21600,1286
1.21600,1288
1.21600,1292
1.21600,1294
1.21600,1297
1.21600,1299
1.21600,1301
1.21600,1304
1.21600,1306
1.21600,1309
1.21600,1311
1.21600,1314
1.21600,1316
1.21600,1318
1.21600,1321
1.21600,1323
1.21600,1326
1.21600,1328
1.21600,1330
1.21600,1334
1.21600,1336
1.17000,1339
1.17000,1341
1.17000,1343
1.17000,1346
1.17000,1348
1.17000,1351
1.17000,1353
1.17000,1355
1.17000,1358
1.17000,1360
1.17000,1363
1.17000,1365
1.17000,1367
1.17000,1370
1.17000,1372
1.17000,1375
1.17000,1378
1.17000,1380
1.17000,1383
1.17000,1385
1.17000,1388
1.17000,1390
1.17000,1392
1.17000,1395
1.17000,1397
1.17000,1400
1.17000,1402
1.23600,1404
1.23600,1407
1.23600,1409
1.23600,1412
1.23600,1414
1.23600,1417
1.23600,1420
1.23600,1422
1.23600,1425
1.23600,1427
1.23600,1430
1.23600,1432
1.23600,1434
1.23600,1437
1.23600,1439
1.23600,1442
1.23600,1444
1.23600,1446
1.23600,1449
1.23600,1451
1.23600,1454
1.23600,1456
1.23600,1458
1.23600,1462
1.23600,1464
1.23600,1467
1.18600,1469
1.18600,1471
1.18600,1474
1.18600,1476
1.18600,1479
1.18600,1481
1.18600,1483
1.18600,1486
1.18600,1488
1.18600,1491
1.18600,1493
1.18600,1495
1.18600,1498
1.18600,1500
1.18600,1503
1.18600,1506
1.18600,1509
1.18600,1511
1.18600,1513
1.18600,1516
1.18600,1518
1.18600,1521
1.18600,1523
1.18600,1525
1.18600,1528
1.18600,1530
1.18600,1533
1.23200,1535
1.23200,1537
1.23200,1540
1.23200,1542
1.23200,1545
1.23200,1548
1.23200,1550
1.23200,1553
1.23200,1555
1.23200,1558
1.23200,1560
1.23200,1562
1.23200,1565
1.23200,1567
1.23200,1570
1.23200,1572
1.23200,1574
1.23200,1577
1.23200,1579
1.23200,1582
1.23200,1584
1.23200,1587
1.23200,1590
1.23200,1592
1.23200,1595
1.23200,1597
1.23200,1600
1.25600,1602
1.25600,1604
1.25600,1607
1.25600,1609
1.25600,1612
1.25600,1614
1.25600,1616
1.25600,1619
1.25600,1621
1.25600,1624
1.25600,1626
1.25600,1628
1.25600,1631
1.25600,1634
1.25600,1637
1.25600,1639
1.25600,1641
1.25600,1644
1.25600,1646
1.25600,1649
1.25600,1651
1.25600,1653
1.25600,1656
1.25600,1658
1.25600,1661
1.25600,1663
1.25600,1665
1.22800,1668
1.22800,1670
1.22800,1673
1.22800,1676
1.22800,1678
1.22800,1681
1.22800,1683
1.22800,1686
1.22800,1688
1.22800,1691
1.22800,1693
1.22800,1695
1.22800,1698
1.22800,1700
1.22800,1703
1.22800,1705
1.22800,1707
1.22800,1710
1.22800,1712
1.22800,1715
1.22800,1718
1.22800,1720
1.22800,1723
1.22800,1725
1.22800,1728
1.22800,1730
1.22800,1732
1.27800,1735
1.27800,1737
1.27800,1740
1.27800,1742
1.27800,1744
1.27800,1747
1.27800,1749
1.27800,1752
1.27800,1754
1.27800,1756
1.27800,1759
1.27800,1762
1.27800,1765
1.27800,1767
1.27800,1769
1.27800,1772
1.27800,1774
1.27800,1777
1.27800,1779
1.27800,1781
1.27800,1784
1.27800,1786
1.27800,1789
1.27800,1791
1.27800,1793
1.27800,1796
1.27800,1798
1.31000,1801
1.31000,1804
1.31000,1806
1.31000,1809
1.31000,1811
1.31000,1814
1.31000,1816
1.31000,1818
1.31000,1821
1.31000,1823
1.31000,1826
1.31000,1828
1.31000,1831
1.31000,1833
1.31000,1835
1.31000,1838
1.31000,1840
1.31000,1843
1.31000,1846
1.31000,1848
1.31000,1851
1.31000,1853
1.31000,1856
1.31000,1858
1.31000,1860
1.31000,1863
1.35400,1865
1.35400,1868
1.35400,1870
1.35400,1872
1.35400,1875
1.35400,1877
1.35400,1880
1.35400,1882
1.35400,1884
1.35400,1887
1.35400,1890
1.35400,1893
1.35400,1895
1.35400,1897
1.35400,1900
1.35400,1902
1.35400,1905
1.35400,1907
1.35400,1909
1.35400,1912
1.35400,1914
1.35400,1917
1.35400,1919
1.35400,1921
1.35400,1924
1.35400,1926
1.35400,1929
1.33600,1932
1.33600,1935
1.33600,1937
1.33600,1939
1.33600,1942
1.33600,1944
1.33600,1947
1.33600,1949
1.33600,1951
1.33600,1954
1.33600,1956
1.33600,1959
1.33600,1961
1.33600,1963
1.33600,1966
1.33600,1968
1.33600,1971
1.33600,1974
1.33600,1976
1.33600,1979
1.33600,1981
1.33600,1984
1.33600,1986
1.33600,1988
1.33600,1991
1.33600,1993
1.33600,1996
1.24800,1998
1.24800,2001
1.24800,2003
1.24800,2005
1.24800,2008
1.24800,2010
1.24800,2013
1.24800,2015
1.24800,2018
1.24800,2021
1.24800,2023
1.24800,2026
1.24800,2028
1.24800,2030
1.24800,2033
1.24800,2035
1.24800,2038
1.24800,2040
1.24800,2042
1.24800,2045
1.24800,2047
1.24800,2050
1.24800,2052
1.24800,2054
1.24800,2057
1.24800,2060
1.24800,2063
1.20200,2065
1.20200,2067
