power,time
1.34600,2
1.34600,4
1.34600,7
1.34600,9
1.34600,11
1.34600,13
1.34600,16
1.34600,18
1.34600,20
1.34600,23
1.34600,25
1.34600,27
1.34600,30
1.34600,32
1.34600,35
1.34600,38
1.34600,40
1.34600,42
1.34600,45
1.34600,47
1.34600,49
1.34600,52
1.34600,54
1.34600,56
1.34600,59
1.34600,61
1.34600,63
1.34600,65
1.65800,68
1.65800,70
1.65800,72
1.65800,75
1.65800,78
1.65800,80
1.65800,83
1.65800,85
1.65800,87
1.65800,90
1.65800,92
1.65800,94
1.65800,97
1.65800,99
1.65800,101
1.65800,104
1.65800,106
1.65800,108
1.65800,111
1.65800,113
1.65800,115
1.65800,118
1.65800,121
1.65800,124
1.65800,126
1.65800,128
1.65800,131
1.65800,133
1.34400,135
1.34400,138
1.34400,140
1.34400,143
1.34400,145
1.34400,147
1.34400,150
1.34400,152
1.34400,154
1.34400,157
1.34400,159
1.34400,163
1.34400,165
1.34400,167
1.34400,170
1.34400,172
1.34400,174
1.34400,177
1.34400,179
1.34400,182
1.34400,184
1.34400,186
1.34400,189
1.34400,191
1.34400,193
1.34400,196
1.34400,198
1.25600,201
1.25600,203
1.25600,206
1.25600,209
1.25600,211
1.25600,213
1.25600,216
1.25600,218
1.25600,220
1.25600,223
1.25600,225
1.25600,228
1.25600,230
1.25600,232
1.25600,235
1.25600,237
1.25600,239
1.25600,242
1.25600,244
1.25600,247
1.25600,250
1.25600,252
1.25600,255
1.25600,257
1.25600,259
1.25600,262
1.25600,264
1.23200,267
1.23200,269
1.23200,271
1.23200,274
1.23200,276
1.23200,278
1.23200,281
1.23200,283
1.23200,286
1.23200,288
1.23200,291
1.23200,294
1.23200,296
1.23200,298
1.23200,301
1.23200,303
1.23200,306
1.23200,308
1.23200,310
1.23200,313
1.23200,315
1.23200,317
1.23200,320
1.23200,322
1.23200,325
1.23200,327
1.23200,329
1.25600,332
1.25600,335
1.25600,337
1.25600,340
1.25600,342
1.25600,345
1.25600,347
1.25600,349
1.25600,352
1.25600,354
1.25600,356
1.25600,359
1.25600,361
1.25600,364
1.25600,366
1.25600,368
1.25600,371
1.25600,373
1.25600,375
1.25600,379
1.25600,381
1.25600,384
1.25600,386
1.25600,388
1.25600,391
1.25600,393
1.25600,395
