power,time
0.33400,4
0.36000,69
0.36000,133
0.31800,198
0.42200,265
0.42200,331
0.44600,398
0.44600,463
0.44600,531
0.44200,596
0.44200,660
0.45800,728
0.45800,792
0.28600,861
0.28600,926
0.38000,990
0.65600,1059
0.65600,1123
0.48800,1191
0.48800,1255
0.48400,1324
0.53400,1388
0.53400,1453
0.82000,1521
0.82000,1586
0.82000,1654
0.82000,1718
0.82000,1787
0.80600,1851
0.80600,1916
0.75000,1983
0.75000,2048
0.58600,2117
0.58600,2181
0.56600,2246
0.56000,2314
0.56000,2379
0.55000,2446
0.55000,2511
0.49800,2579
0.47600,2644
0.47600,2708
0.47600,2777
0.47600,2842
0.47600,2909
0.47600,2974
0.47600,3038
0.51400,3107
0.51400,3171
0.51400,3239
0.51400,3304
0.51400,3369
0.51400,3436
0.51400,3501
0.54400,3570
0.54400,3634
0.61200,3702
0.61200,3767
0.61200,3832
0.59400,3899
0.59400,3964
0.58600,4032
0.58600,4097
0.58600,4161
0.58400,4229
0.58400,4295
0.60600,4362
0.60600,4427
0.60000,4495
0.60200,4560
0.60200,4624
0.59600,4692
0.59600,4756
0.60000,4825
0.60000,4890
0.63000,4954
0.56400,5023
0.56400,5087
0.53000,5155
0.53000,5219
0.57600,5288
0.57600,5352
0.55000,5417
0.59600,5484
0.59600,5550
0.61000,5618
0.61000,5682
0.60600,5747
0.60600,5815
0.60600,5880
0.58400,5947
0.58400,6013
0.55000,6080
0.55000,6145
0.55000,6209
0.54800,6278
0.54800,6343
0.80200,6410
0.80200,6475
1.18200,6543
0.91400,6608
0.91400,6672
1.11000,6741
1.11000,6805
1.07400,6873
1.07400,6938
1.07200,7002
1.00200,7071
1.00200,7135
1.23200,7203
1.23200,7268
1.20000,7333
1.20000,7400
1.20000,7466
1.16400,7533
1.16400,7598
1.20000,7667
1.20000,7731
1.20000,7796
1.20000,7863
1.20000,7928
1.19600,7996
1.19600,8061
1.19600,8125
1.19600,8194
1.19600,8258
1.18200,8326
1.18200,8391
1.20200,8459
1.20200,8524
1.20200,8588
1.26800,8657
1.26800,8721
1.37000,8789
1.37000,8853
1.37000,8919
1.35600,8987
1.35600,9051
1.35000,9120
1.35000,9184
1.37400,9249
1.37400,9316
1.37400,9382
1.37400,9449
1.37400,9514
1.37000,9583
1.37000,9647
1.37000,9712
1.36600,9779
1.36600,9844
1.34600,9912
1.34600,9977
1.37400,10041
1.37000,10110
1.37000,10174
1.37400,10243
1.37400,10308
1.37000,10372
1.37000,10440
1.37000,10505
1.37000,10573
1.37000,10637
1.37000,10703
1.36600,10770
1.36600,10835
1.37400,10903
1.37000,10968
1.37000,11032
1.37000,11101
1.37000,11166
1.37000,11233
1.36000,11299
1.36000,11363
1.37000,11431
1.37000,11496
1.33600,11564
1.36400,11628
1.36400,11694
1.37400,11762
1.37400,11826
1.37400,11895
1.37400,11959
1.37400,12024
1.37400,12092
1.37400,12157
1.37400,12224
1.37000,12290
1.37000,12354
1.35000,12422
1.35000,12488
1.37000,12555
1.37400,12620
1.37400,12684
1.37000,12753
1.37000,12817
1.37000,12882
1.37000,12950
1.37000,13015
1.37000,13084
1.37000,13148
1.37000,13213
1.34600,13281
1.34600,13346
1.36600,13413
1.36600,13478
1.37000,13543
1.37000,13611
1.37000,13675
1.37000,13744
1.37000,13809
1.37000,13873
1.37000,13942
1.37000,14006
1.37000,14075
1.37000,14139
1.36600,14204
1.37400,14271
1.37400,14337
1.37000,14405
1.37000,14469
1.37000,14535
1.37000,14602
1.37000,14667
1.37000,14735
1.37000,14800
1.37000,14864
1.36600,14933
1.36600,14997
1.35000,15065
1.37600,15131
1.37600,15195
1.38200,15263
1.38200,15328
1.37000,15396
1.37000,15460
1.37000,15526
1.27800,15593
1.27800,15658
1.41000,15727
1.39600,15791
1.39600,15856
1.37000,15924
1.37000,15989
1.36600,16056
1.35400,16122
1.35400,16186
1.26400,16254
1.26400,16319
