power,time
0.23200,3
0.35400,68
0.35400,133
0.29400,201
0.29400,265
0.38000,330
0.44600,398
0.44600,463
0.44600,531
0.44600,595
0.43600,664
0.43600,728
0.43600,793
0.27800,860
0.27800,926
0.47800,993
0.47800,1058
0.63600,1127
0.62000,1191
0.62000,1256
0.61600,1323
0.61600,1389
0.91400,1456
0.95000,1521
0.95000,1585
0.95000,1654
0.95000,1718
0.95400,1786
0.95400,1850
0.94800,1916
0.92400,1984
0.92400,2048
0.72400,2117
0.72400,2181
0.69200,2249
0.69400,2313
0.69400,2379
0.68400,2446
0.68400,2511
0.54400,2580
0.54400,2644
0.47600,2709
0.47600,2776
0.47600,2841
0.47600,2909
0.47600,2974
0.49200,3041
0.51400,3107
0.51400,3171
0.51200,3239
0.51200,3304
0.51400,3372
0.51400,3437
0.51400,3504
0.51800,3569
0.51800,3634
0.61000,3702
0.61000,3766
0.59600,3835
0.59600,3900
0.59400,3964
0.58000,4032
0.58000,4096
0.58000,4165
0.58000,4229
0.58400,4297
0.59400,4362
0.59400,4427
0.60000,4494
0.60000,4559
0.60000,4628
0.60000,4692
0.59600,4757
0.60200,4824
0.60200,4890
0.63000,4957
0.63000,5022
0.61000,5090
0.55400,5155
0.55400,5219
0.57600,5287
0.57600,5352
0.53800,5420
0.53800,5485
0.58600,5549
0.60600,5618
0.60600,5682
0.59400,5750
0.59400,5814
0.60600,5883
0.60000,5948
0.60000,6012
0.54800,6080
0.54800,6145
0.54400,6213
0.54400,6277
0.54000,6342
0.82600,6410
0.82600,6475
1.15000,6542
1.15000,6608
0.92800,6676
1.06800,6740
1.06800,6805
1.09200,6873
1.09200,6938
1.02000,7005
1.02000,7070
1.00000,7135
1.17600,7203
1.17600,7267
1.06200,7336
1.06200,7401
1.22200,7468
1.21600,7533
1.21600,7598
1.19200,7666
1.19200,7730
1.19200,7799
1.19200,7863
1.15400,7928
1.10800,7996
1.10800,8061
1.20600,8129
1.20600,8193
1.41800,8258
1.66400,8326
1.66400,8391
1.37000,8458
1.37000,8524
1.34400,8591
1.34400,8656
1.34400,8721
1.34400,8789
1.34400,8854
1.34000,8921
1.34000,8987
1.34000,9051
1.34000,9119
1.34000,9183
1.27800,9252
1.27800,9316
1.26800,9384
1.27200,9449
1.27200,9514
1.20200,9582
1.20200,9646
1.20200,9715
1.20200,9779
1.20200,9844
1.20000,9912
1.20000,9977
1.20000,10045
1.20000,10109
1.35600,10175
1.52000,10242
1.52000,10307
1.50400,10375
1.50400,10440
1.49800,10504
1.69000,10573
1.69000,10637
1.41000,10705
1.41000,10771
1.41000,10835
1.27200,10903
1.27200,10968
1.27200,11036
1.27200,11100
1.27200,11165
1.27200,11233
1.27200,11298
1.26800,11367
1.20200,11431
1.20200,11496
1.19200,11564
1.19200,11629
1.18600,11696
1.20200,11762
1.20200,11826
1.20200,11894
1.20200,11958
1.20200,12027
1.20200,12092
1.20200,12156
1.20200,12225
1.20200,12289
1.20200,12358
1.19200,12422
1.19200,12487
1.18000,12555
1.18000,12620
1.18000,12687
1.17600,12752
1.17600,12818
1.17400,12885
1.17400,12950
1.18000,13018
1.17000,13083
1.17000,13147
1.19000,13216
1.19000,13280
1.18600,13345
1.30800,13414
1.30800,13478
1.41200,13546
1.41200,13611
1.65400,13676
1.65800,13743
1.65800,13809
1.36400,13876
1.36400,13941
1.45200,14006
1.49400,14074
1.49400,14138
1.21600,14207
1.21600,14272
1.43600,14336
1.58200,14405
1.58200,14469
1.49000,14537
1.49000,14602
