power,time
0.24600,4
0.35800,69
0.35800,133
0.29800,202
0.29800,266
0.43000,334
0.44800,398
0.44800,464
0.44600,531
0.44600,596
0.43600,663
0.43600,729
0.44000,794
0.28200,861
0.28200,926
0.48400,994
0.48400,1059
0.63600,1126
0.63600,1191
0.62000,1256
0.61600,1324
0.61600,1388
0.91800,1457
0.91800,1522
0.95000,1586
0.95000,1654
0.95000,1718
0.95400,1787
0.95400,1851
0.94800,1919
0.92000,1984
0.92000,2049
0.72400,2117
0.72400,2181
0.69200,2250
0.69200,2314
0.68400,2382
0.68200,2447
0.68200,2512
0.54000,2579
0.54000,2644
0.47600,2713
0.47600,2777
0.47600,2842
0.47600,2909
0.47600,2975
0.49200,3042
0.49200,3107
0.51400,3175
0.51400,3240
0.51400,3304
0.51400,3372
0.51400,3436
0.51400,3505
0.51400,3570
0.52200,3634
0.61000,3703
0.61000,3767
0.59600,3835
0.59600,3899
0.59400,3968
0.58000,4032
0.58000,4097
0.58000,4165
0.58000,4230
0.58400,4298
0.58400,4362
0.59600,4427
0.60000,4495
0.60000,4560
0.60200,4627
0.60200,4692
0.60600,4761
0.60200,4825
0.60200,4890
0.63000,4958
0.63000,5023
0.61200,5090
0.61200,5155
0.55000,5220
0.58000,5288
0.58000,5352
0.53800,5421
0.53800,5485
0.58600,5553
0.61000,5618
0.61000,5682
0.59400,5751
0.59400,5815
0.61000,5883
0.61000,5948
0.59600,6013
0.56600,6080
0.56600,6145
0.54400,6214
0.54400,6278
0.81600,6346
0.82600,6410
0.82600,6476
1.14400,6543
1.14400,6608
0.86600,6676
1.01200,6741
1.01200,6805
1.01200,6874
1.01200,6939
1.01600,7006
1.01600,7071
1.01000,7135
1.21600,7204
1.21600,7268
1.33600,7336
1.33600,7401
1.32800,7469
1.32800,7533
1.32800,7598
1.32400,7667
1.32400,7731
1.32400,7799
1.32400,7864
1.32000,7929
1.32000,7996
1.32000,8061
1.32000,8129
1.32000,8194
1.31800,8262
1.28800,8327
1.28800,8392
1.32800,8459
1.32800,8524
1.32800,8592
1.32800,8657
1.32800,8721
1.33000,8790
1.33000,8854
1.32800,8922
1.32800,8987
1.32800,9052
1.32400,9120
1.32400,9184
1.32000,9253
1.32000,9317
1.32400,9385
1.30800,9449
1.30800,9515
1.33600,9583
1.33600,9647
1.13000,9716
1.13000,9780
1.13000,9845
1.13000,9912
1.13000,9978
1.13000,10045
1.13000,10110
1.13000,10175
1.13000,10243
1.13000,10308
1.13000,10376
1.13000,10441
1.13000,10505
1.13000,10574
1.13000,10638
1.13000,10706
1.13000,10771
1.13000,10836
1.13000,10903
1.13000,10969
1.13000,11037
1.13000,11101
1.13000,11166
1.13000,11234
1.13000,11299
1.13000,11367
1.13000,11432
1.13000,11496
1.13000,11565
1.13000,11629
1.13000,11697
1.13000,11763
1.13000,11827
1.13000,11895
1.13000,11959
1.13000,12028
1.13000,12092
