power,time
1.51800,3
1.51800,5
1.51800,7
1.51800,9
1.51800,12
1.51800,14
1.51800,16
1.51800,19
1.51800,21
1.51800,23
1.51800,26
1.51800,28
1.51800,30
1.51800,34
1.51800,36
1.51800,38
1.51800,40
1.51800,43
1.51800,45
1.51800,47
1.51800,50
1.51800,52
1.51800,54
1.51800,57
1.51800,59
1.51800,61
1.51800,64
1.51800,66
1.66200,68
1.66200,70
1.66200,73
1.66200,76
1.66200,78
1.66200,81
1.66200,83
1.66200,85
1.66200,88
1.66200,90
1.66200,92
1.66200,95
1.66200,97
1.66200,99
1.66200,101
1.66200,104
1.66200,106
1.66200,109
1.66200,111
1.66200,113
1.66200,116
1.66200,119
1.66200,121
1.66200,124
1.66200,126
1.66200,128
1.66200,131
1.83200,133
1.83200,136
1.83200,138
1.83200,140
1.83200,143
1.83200,145
1.83200,147
1.83200,150
1.83200,152
1.83200,155
1.83200,157
1.83200,159
1.83200,163
1.83200,165
1.83200,167
1.83200,170
1.83200,172
1.83200,175
1.83200,177
1.83200,179
1.83200,182
1.83200,184
1.83200,186
1.83200,189
1.83200,191
1.83200,193
1.83200,196
1.83200,198
1.40200,201
1.40200,204
1.40200,206
1.40200,209
1.40200,211
1.40200,213
1.40200,216
1.40200,218
1.40200,220
1.40200,223
1.40200,225
1.40200,228
1.40200,230
1.40200,232
1.40200,235
1.40200,237
1.40200,239
1.40200,242
1.40200,244
1.40200,247
1.40200,250
1.40200,252
1.40200,254
1.40200,257
1.40200,259
1.40200,262
1.40200,264
1.39600,266
1.39600,269
1.39600,271
1.39600,273
1.39600,276
1.39600,278
1.39600,280
1.39600,283
1.39600,285
1.39600,289
1.39600,291
1.39600,293
1.39600,296
1.39600,298
1.39600,300
1.39600,303
1.39600,305
1.39600,308
1.39600,310
1.39600,312
1.39600,315
1.39600,317
1.39600,319
1.39600,322
1.39600,324
1.39600,326
1.39600,329
1.65200,332
1.65200,335
1.65200,337
1.65200,339
1.65200,342
1.65200,344
1.65200,346
1.65200,349
1.65200,351
1.65200,354
1.65200,356
1.65200,358
1.65200,361
1.65200,363
1.65200,365
1.65200,368
1.65200,370
1.65200,372
1.65200,376
1.65200,378
1.65200,381
1.65200,383
1.65200,385
1.65200,388
1.65200,390
1.65200,392
1.65200,395
1.34400,397
1.34400,400
1.34400,402
1.34400,404
1.34400,407
1.34400,409
1.34400,411
1.34400,414
1.34400,417
1.34400,419
1.34400,422
1.34400,424
1.34400,427
1.34400,429
1.34400,431
1.34400,434
1.34400,436
1.34400,438
1.34400,441
1.34400,443
1.34400,446
1.34400,448
1.34400,450
1.34400,453
1.34400,455
1.34400,457
1.34400,461
1.34400,463
1.50800,465
1.50800,468
1.50800,470
1.50800,473
1.50800,475
1.50800,477
1.50800,480
1.50800,482
1.50800,484
1.50800,487
1.50800,489
1.50800,491
1.50800,494
1.50800,496
1.50800,498
1.50800,502
1.50800,504
1.50800,507
1.50800,509
1.50800,511
1.50800,514
1.50800,516
1.50800,518
1.50800,521
1.50800,523
1.50800,525
1.50800,528
1.38200,530
1.38200,532
1.38200,535
1.38200,537
1.38200,540
1.38200,542
1.38200,545
1.38200,548
1.38200,550
1.38200,552
1.38200,555
1.38200,557
1.38200,560
1.38200,562
1.38200,564
1.38200,567
1.38200,569
1.38200,571
1.38200,574
1.38200,576
1.38200,578
1.38200,581
1.38200,583
1.38200,586
1.38200,589
1.38200,591
1.38200,594
1.43600,596
1.43600,598
1.43600,601
1.43600,603
1.43600,606
1.43600,608
1.43600,610
1.43600,613
1.43600,615
1.43600,617
1.43600,620
1.43600,622
1.43600,624
1.43600,627
1.43600,630
1.43600,633
1.43600,635
1.43600,637
1.43600,640
1.43600,642
1.43600,644
1.43600,647
1.43600,649
1.43600,652
1.43600,654
1.43600,656
1.43600,659
1.62800,661
1.62800,663
1.62800,666
1.62800,668
1.62800,670
1.62800,674
1.62800,676
1.62800,679
1.62800,681
1.62800,683
1.62800,686
1.62800,688
1.62800,690
1.62800,693
1.62800,695
1.62800,698
1.62800,700
1.62800,702
1.62800,705
1.62800,707
1.62800,709
1.62800,712
1.62800,714
1.62800,717
1.62800,720
1.62800,722
1.62800,725
1.62800,727
1.55000,729
1.55000,732
1.55000,734
1.55000,736
1.55000,739
1.55000,741
1.55000,744
1.55000,746
1.55000,748
1.55000,751
1.55000,753
1.55000,755
1.55000,759
1.55000,761
1.55000,763
1.55000,766
1.55000,768
1.55000,770
1.55000,773
1.55000,775
1.55000,778
1.55000,780
1.55000,782
1.55000,785
1.55000,787
1.55000,789
1.55000,792
1.60800,794
1.60800,796
1.60800,799
1.60800,802
1.60800,805
1.60800,807
1.60800,809
1.60800,812
1.60800,814
1.60800,816
1.60800,819
1.60800,821
1.60800,823
1.60800,826
1.60800,828
1.60800,830
1.60800,833
1.60800,835
1.60800,838
1.60800,840
1.60800,842
1.60800,846
1.60800,848
1.60800,850
1.60800,853
1.60800,855
1.60800,857
1.60200,860
1.60200,862
1.60200,864
1.60200,867
1.60200,869
1.60200,871
1.60200,874
1.60200,876
1.60200,879
1.60200,881
1.60200,883
1.60200,887
1.60200,889
1.60200,891
1.60200,894
1.60200,896
1.60200,898
1.60200,901
1.60200,903
1.60200,906
1.60200,908
1.60200,910
1.60200,913
1.60200,915
1.60200,917
1.60200,920
1.60200,922
1.60200,924
1.60600,927
1.60600,930
1.60600,933
1.60600,935
1.60600,937
1.60600,940
1.60600,942
1.60600,944
1.60600,947
1.60600,949
1.60600,951
1.60600,954
1.60600,956
1.60600,959
1.60600,961
1.60600,963
1.60600,966
1.60600,968
1.60600,970
1.60600,974
1.60600,976
1.60600,978
1.60600,981
1.60600,983
1.60600,986
1.60600,988
1.60600,990
1.61200,993
1.61200,995
1.61200,997
1.61200,1000
1.61200,1002
1.61200,1004
1.61200,1007
1.61200,1009
1.61200,1012
1.61200,1015
1.61200,1017
1.61200,1020
1.61200,1022
1.61200,1025
1.61200,1027
1.61200,1029
1.61200,1032
1.61200,1034
1.61200,1037
1.61200,1039
1.61200,1041
1.61200,1044
1.61200,1046
1.61200,1049
1.61200,1051
1.61200,1053
1.61200,1057
1.58600,1059
1.58600,1062
1.58600,1064
1.58600,1066
1.58600,1069
1.58600,1071
1.58600,1074
1.58600,1076
1.58600,1078
1.58600,1081
1.58600,1083
1.58600,1086
1.58600,1088
1.58600,1090
1.58600,1093
1.58600,1095
1.58600,1098
1.58600,1101
1.58600,1103
1.58600,1106
1.58600,1108
1.58600,1110
1.58600,1113
1.58600,1115
1.58600,1118
1.58600,1120
1.58600,1122
1.63800,1125
1.63800,1127
1.63800,1130
1.63800,1132
1.63800,1134
1.63800,1137
1.63800,1139
1.63800,1143
1.63800,1145
1.63800,1147
1.63800,1150
1.63800,1152
1.63800,1155
1.63800,1157
1.63800,1159
1.63800,1162
1.63800,1164
1.63800,1167
1.63800,1169
1.63800,1171
1.63800,1174
1.63800,1176
1.63800,1179
1.63800,1181
1.63800,1183
1.63800,1187
1.63800,1189
1.59600,1192
1.59600,1194
1.59600,1196
1.59600,1199
1.59600,1201
1.59600,1204
1.59600,1206
1.59600,1208
1.59600,1211
1.59600,1213
1.59600,1216
1.59600,1218
1.59600,1220
1.59600,1223
1.59600,1225
1.59600,1228
1.59600,1231
1.59600,1233
1.59600,1236
1.59600,1238
1.59600,1240
1.59600,1243
1.59600,1245
1.59600,1248
1.59600,1250
1.59600,1252
1.59600,1255
1.61200,1257
1.61200,1260
1.61200,1262
1.61200,1264
1.61200,1267
1.61200,1270
1.61200,1273
1.61200,1275
1.61200,1277
1.61200,1280
1.61200,1282
1.61200,1285
1.61200,1287
1.61200,1289
1.61200,1292
1.61200,1294
1.61200,1297
1.61200,1299
1.61200,1301
1.61200,1304
1.61200,1306
1.61200,1309
1.61200,1311
1.61200,1314
1.61200,1317
1.61200,1319
1.61200,1322
1.61600,1324
1.61600,1326
1.61600,1329
1.61600,1331
1.61600,1334
1.61600,1336
1.61600,1338
1.61600,1341
1.61600,1343
