power,time
1.43800,2
1.43800,4
1.43800,7
1.43800,9
1.43800,11
1.43800,14
1.43800,17
1.43800,19
1.43800,21
1.46400,24
1.46400,26
1.46400,28
1.46400,31
1.46400,33
1.46400,35
1.46400,38
1.46400,40
1.46400,42
1.46400,45
1.46400,47
1.46400,49
1.46400,51
1.46400,54
1.46400,56
1.46400,59
1.46400,62
1.46400,64
1.46400,66
1.46400,69
1.46400,71
1.46400,73
1.46400,76
1.46400,78
1.46400,80
1.46400,83
1.46400,85
1.46400,87
1.41200,89
1.41200,92
1.41200,94
1.41200,96
1.41200,99
1.41200,102
1.41200,104
1.41200,107
1.41200,109
1.41200,111
1.41200,114
1.41200,116
1.41200,119
1.41200,121
1.41200,123
1.41200,126
1.41200,128
1.41200,130
1.41200,133
1.41200,135
1.41200,138
1.41200,140
1.41200,142
1.41200,146
1.41200,148
1.41200,150
1.41200,153
1.41200,155
1.53400,157
1.53400,160
1.53400,162
1.53400,165
1.53400,167
1.53400,169
1.53400,172
1.53400,174
1.53400,176
1.53400,179
1.53400,181
1.53400,184
1.53400,187
1.53400,189
1.53400,192
1.53400,194
1.53400,196
1.53400,199
1.53400,201
1.53400,203
1.53400,206
1.53400,208
1.53400,211
1.53400,213
1.53400,215
1.53400,218
1.53400,220
1.46800,222
1.46800,225
1.46800,227
1.46800,230
1.46800,233
1.46800,235
1.46800,238
1.46800,240
1.46800,242
1.46800,245
1.46800,247
1.46800,249
1.46800,252
1.46800,254
1.46800,256
1.46800,259
1.46800,261
1.46800,264
1.46800,266
1.46800,268
1.46800,271
1.46800,274
1.46800,276
1.46800,279
1.46800,281
1.46800,283
1.46800,286
1.43800,288
1.43800,291
1.43800,293
1.43800,295
1.43800,298
1.43800,300
1.43800,302
1.43800,305
1.43800,307
1.43800,310
1.43800,312
1.43800,315
1.43800,318
1.43800,320
1.43800,322
1.43800,325
1.43800,327
1.43800,329
1.43800,332
1.43800,334
1.43800,337
1.43800,339
1.43800,341
1.43800,344
1.43800,346
1.43800,348
1.43800,351
1.41800,353
1.41800,356
1.41800,359
1.41800,361
1.41800,364
1.41800,366
1.41800,368
1.41800,371
1.41800,373
1.41800,375
1.41800,378
1.41800,380
1.41800,383
1.41800,385
1.41800,387
1.41800,390
1.41800,392
1.41800,394
1.41800,397
1.41800,399
1.41800,403
1.41800,405
1.41800,407
1.41800,410
1.41800,412
1.41800,414
1.41800,417
1.41800,419
1.35000,421
1.35000,424
1.35000,426
1.35000,429
1.35000,431
1.35000,433
1.35000,436
1.35000,438
1.35000,440
1.35000,444
1.35000,446
1.35000,448
1.35000,451
1.35000,453
1.35000,456
1.35000,458
1.35000,460
1.35000,463
1.35000,465
1.35000,467
1.35000,470
1.35000,472
1.35000,474
1.35000,477
1.35000,479
1.35000,482
1.35000,484
1.52000,487
1.52000,490
1.52000,492
1.52000,494
1.52000,497
1.52000,499
1.52000,501
1.52000,504
1.52000,506
1.52000,508
1.52000,511
1.52000,513
1.52000,516
1.52000,518
1.52000,520
1.52000,523
1.52000,525
1.52000,527
1.52000,531
1.52000,533
1.52000,535
1.52000,538
1.52000,540
1.52000,543
1.52000,545
1.52000,547
1.52000,550
1.56000,552
1.56000,554
1.56000,557
1.56000,559
1.56000,561
1.56000,564
1.56000,566
1.56000,568
1.56000,572
1.56000,574
1.56000,577
1.56000,579
1.56000,581
1.56000,584
1.56000,586
1.56000,588
1.56000,591
1.56000,593
1.56000,595
1.56000,598
1.56000,600
1.56000,603
1.56000,605
1.56000,607
1.56000,610
1.56000,612
1.56000,615
1.56000,618
1.54600,620
1.54600,622
1.54600,625
1.54600,627
1.54600,630
1.54600,632
1.54600,634
