power,time
1.45200,2
1.45200,4
1.45200,7
1.45200,9
1.45200,11
1.45200,14
1.45200,17
1.45200,19
1.45200,21
1.45200,24
1.45200,26
1.45200,28
1.45200,31
1.45200,33
1.45200,35
1.45200,37
1.45200,40
1.45200,42
1.45200,44
1.45200,47
1.45200,49
1.45200,51
1.45200,54
1.45200,57
1.46400,59
1.46400,62
1.46400,64
1.46400,66
1.46400,68
1.46400,71
1.46400,73
1.46400,75
1.46400,78
1.46400,80
1.46400,82
1.46400,85
1.46400,87
1.46400,89
1.46400,92
1.46400,94
1.46400,96
1.46400,99
1.46400,102
1.46400,104
1.46400,107
1.46400,109
1.46400,111
1.46400,114
1.46400,116
1.46400,118
1.46400,121
1.37000,123
1.37000,125
1.37000,128
1.37000,130
1.37000,133
1.37000,135
1.37000,137
1.37000,140
1.37000,143
1.37000,145
1.37000,148
1.37000,150
1.37000,152
1.37000,155
1.37000,157
1.37000,159
1.37000,162
1.37000,164
1.37000,167
1.37000,169
1.37000,171
1.37000,174
1.37000,176
1.37000,178
1.37000,181
1.37000,184
1.37000,186
1.37000,189
1.61200,191
1.61200,194
1.61200,196
1.61200,198
1.61200,201
1.61200,203
1.61200,205
1.61200,208
1.61200,210
1.61200,212
1.61200,215
1.61200,217
1.61200,220
1.61200,222
1.61200,224
1.61200,228
1.61200,230
1.61200,232
1.61200,235
1.61200,237
1.61200,240
1.61200,242
1.61200,244
1.61200,247
1.61200,249
1.61200,251
1.61200,254
1.30000,256
1.30000,258
1.30000,261
1.30000,263
1.30000,265
1.30000,268
1.30000,271
1.30000,274
1.30000,276
1.30000,278
1.30000,281
1.30000,283
1.30000,285
1.30000,288
1.30000,290
1.30000,292
1.30000,295
1.30000,297
1.30000,299
1.30000,302
1.30000,304
1.30000,306
1.30000,309
1.30000,312
1.30000,315
1.30000,317
1.30000,319
1.48800,322
1.48800,324
1.48800,326
1.48800,329
1.48800,331
1.48800,333
1.48800,336
1.48800,338
1.48800,341
1.48800,343
1.48800,345
1.48800,348
1.48800,350
1.48800,352
1.48800,356
1.48800,358
1.48800,360
1.48800,363
1.48800,365
1.48800,368
1.48800,370
1.48800,372
1.48800,375
1.48800,377
1.48800,379
1.48800,382
1.48800,384
1.48800,386
1.29400,389
1.29400,391
1.29400,394
1.29400,396
1.29400,399
1.29400,402
1.29400,404
1.29400,406
1.29400,409
1.29400,411
1.29400,413
1.29400,416
1.29400,418
1.29400,420
1.29400,423
1.29400,425
1.29400,428
1.29400,430
1.29400,432
1.29400,435
1.29400,437
1.29400,440
1.29400,443
1.29400,445
1.29400,447
1.29400,450
1.29400,452
1.47400,455
1.47400,457
1.47400,459
1.47400,462
1.47400,464
1.47400,466
1.47400,469
1.47400,471
1.47400,474
1.47400,476
1.47400,478
1.47400,481
1.47400,484
1.47400,486
1.47400,489
1.47400,491
1.47400,493
1.47400,496
1.47400,498
1.47400,501
1.47400,503
1.47400,505
1.47400,508
1.47400,510
1.47400,512
1.47400,515
1.47400,517
1.54400,519
1.54400,522
1.54400,524
1.54400,528
1.54400,530
1.54400,532
1.54400,535
1.54400,537
1.54400,539
1.54400,542
1.54400,544
1.54400,547
1.54400,549
1.54400,551
1.54400,554
1.54400,556
1.54400,558
1.54400,561
1.54400,563
1.54400,565
1.54400,569
1.54400,571
1.54400,574
1.54400,576
1.54400,578
1.54400,581
1.54400,583
1.55400,585
1.55400,588
1.55400,590
1.55400,593
1.55400,595
1.55400,597
1.55400,600
1.55400,602
1.55400,604
1.55400,607
1.55400,609
1.55400,612
1.55400,615
1.55400,617
1.55400,620
1.55400,622
1.55400,624
1.55400,627
1.55400,629
1.55400,631
1.55400,634
1.55400,636
1.55400,639
1.55400,641
