power,time
0.13400,4
0.30200,69
0.30200,133
0.25200,202
0.28600,266
0.28600,331
0.30200,398
0.30200,463
0.30800,531
0.30800,596
0.42000,664
0.42200,728
0.42200,794
0.43600,861
0.43600,926
0.42000,994
0.42000,1059
0.30200,1123
0.38600,1191
0.38600,1255
0.41000,1324
0.41000,1389
0.44800,1453
0.49800,1522
0.49800,1586
0.49800,1654
0.49800,1718
0.47600,1787
0.47600,1851
0.47600,1916
0.36800,1983
0.36800,2049
0.36800,2117
0.36800,2181
0.36800,2246
0.36800,2314
0.36800,2379
0.36800,2446
0.36800,2511
0.36800,2579
0.36800,2644
0.36800,2708
0.36800,2777
0.36800,2842
0.41600,2909
0.41600,2974
0.48200,3038
0.84200,3107
0.84200,3171
0.83800,3239
0.83800,3304
0.84200,3369
0.83200,3437
0.83200,3501
0.84800,3570
0.84800,3634
0.58400,3702
0.53000,3767
0.53000,3832
0.63000,3899
0.63000,3964
0.61600,4032
0.61600,4097
0.61600,4162
0.61200,4229
0.61200,4295
0.70400,4362
0.70400,4427
0.60600,4491
0.65800,4560
0.65800,4624
0.84600,4692
0.84600,4757
1.06400,4825
0.88200,4890
0.88200,4954
1.02200,5023
1.02200,5087
1.00600,5155
1.00600,5219
1.02600,5285
1.10400,5352
1.10400,5417
1.15000,5486
1.15000,5550
1.25200,5615
1.30400,5683
1.30400,5748
1.85800,5815
1.85800,5880
2.03400,5944
1.89400,6013
1.89400,6077
1.80800,6145
1.80800,6211
2.09400,6278
2.23800,6343
2.23800,6407
2.08000,6476
2.08000,6540
2.16200,6608
2.16200,6673
2.14600,6738
1.80800,6805
1.80800,6870
1.88000,6939
1.88000,7003
1.74000,7068
1.53400,7136
1.53400,7201
2.11400,7268
2.11400,7333
1.72400,7398
1.94400,7466
1.94400,7530
1.85200,7599
1.85200,7664
1.81200,7731
1.98200,7796
1.98200,7861
1.56600,7929
1.56600,7993
1.56600,8062
1.49400,8126
1.49400,8191
1.52400,8259
1.52400,8324
2.15200,8392
2.15200,8456
1.83200,8521
1.83600,8589
