power,time
0.19600,5
0.30800,69
0.30800,134
0.24000,202
0.30200,267
0.30200,331
0.32200,399
0.32200,463
0.31400,532
0.31400,596
0.42000,661
0.42200,728
0.42200,794
0.44200,862
0.44200,926
0.38400,995
0.30400,1059
0.30400,1124
0.38000,1191
0.38000,1256
0.41000,1324
0.41000,1389
0.46600,1453
0.49800,1522
0.49800,1587
0.49800,1654
0.49800,1719
0.47600,1787
0.47600,1852
0.47600,1916
0.36800,1985
0.36800,2049
0.36800,2117
0.36800,2182
0.36800,2246
0.36800,2315
0.36800,2379
0.36800,2447
0.36800,2512
0.36800,2580
0.36800,2644
0.36800,2709
0.36800,2777
0.36800,2842
0.45200,2910
0.47200,2974
0.47200,3040
0.84200,3107
0.84200,3172
0.84200,3240
0.84200,3305
0.84200,3369
0.83000,3437
0.83000,3501
0.84200,3570
0.84200,3635
0.55000,3702
0.57600,3768
0.57600,3832
0.60000,3900
0.60000,3964
0.61600,4033
0.61600,4097
0.63200,4162
0.62000,4230
0.62000,4295
0.73800,4363
0.73800,4427
0.64600,4496
0.79200,4560
0.79200,4625
0.88800,4692
0.88800,4758
0.99600,4825
0.88200,4890
0.88200,4955
1.02600,5023
1.02600,5088
0.99200,5155
1.07200,5221
1.07200,5285
1.07400,5353
1.07400,5417
1.18600,5486
1.18600,5550
1.18600,5615
1.17000,5684
1.17000,5748
1.72400,5816
1.72400,5880
1.97200,5946
1.76200,6013
1.76200,6078
1.61800,6146
1.61800,6211
2.00600,6279
2.05400,6343
2.05400,6409
1.82200,6476
1.82200,6541
1.90800,6609
2.00600,6674
2.00600,6738
1.96200,6806
1.96200,6871
2.06800,6939
1.94400,7004
1.94400,7068
1.92400,7137
1.92400,7201
1.87200,7269
1.87200,7334
1.34000,7399
1.44200,7466
1.44200,7531
1.20200,7600
1.20200,7664
1.22800,7729
1.55600,7797
1.55600,7862
1.38600,7929
1.38600,7994
1.51000,8062
