power,time
0.10200,3
0.29400,69
0.29400,133
0.25600,201
0.25600,265
0.28200,334
0.29200,399
0.29200,463
0.31800,531
0.31800,595
0.42200,664
0.42200,728
0.42200,796
0.43200,860
0.43200,926
0.44000,993
0.44000,1058
0.33000,1127
0.33000,1191
0.38600,1256
0.41000,1323
0.41000,1388
0.43200,1456
0.43200,1521
0.49800,1588
0.49800,1654
0.49800,1718
0.47800,1786
0.47800,1851
0.42600,1919
0.42600,1984
0.36800,2048
0.36800,2116
0.36800,2181
0.36800,2249
0.36800,2313
0.36800,2382
0.36800,2447
0.36800,2511
0.36800,2579
0.36800,2643
0.36800,2712
0.36800,2776
0.36800,2841
0.39600,2909
0.39600,2974
0.62000,3041
0.62000,3106
0.84200,3170
0.83800,3239
0.83800,3304
0.83800,3371
0.83800,3437
0.83000,3504
0.85200,3569
0.85200,3633
0.59400,3702
0.59400,3766
0.62600,3834
0.62200,3900
0.62200,3964
0.61200,4032
0.61200,4096
0.63200,4165
0.63200,4229
0.61200,4294
0.67800,4362
0.67800,4427
0.71400,4495
0.71400,4559
1.06400,4628
0.81000,4692
0.81000,4757
1.07800,4824
1.07800,4890
0.88400,4957
1.00000,5022
1.00000,5086
1.00600,5155
1.00600,5220
1.36400,5287
1.36400,5353
1.23800,5417
1.13000,5485
1.13000,5549
1.30000,5618
1.30000,5682
1.31800,5750
1.79000,5815
1.79000,5880
2.16000,5948
2.16000,6012
1.62600,6081
1.89000,6145
1.89000,6210
2.10400,6277
2.10400,6343
2.11600,6410
2.11600,6475
1.95600,6539
2.01800,6608
2.01800,6673
2.24400,6740
2.24400,6806
2.01600,6870
2.10400,6938
2.10400,7002
2.23400,7071
2.23400,7135
2.06400,7203
1.74400,7269
1.74400,7333
1.86400,7401
1.86400,7465
1.54000,7534
1.43600,7598
1.43600,7663
1.40600,7731
1.40600,7796
1.32400,7863
1.32400,7928
1.36600,7994
1.99200,8061
1.99200,8126
1.61200,8194
1.61200,8259
