power,time
0.21600,3
0.27600,67
0.27600,132
0.25800,197
0.28600,265
0.28600,329
0.39600,398
0.39600,463
0.39600,530
0.39400,595
0.39400,659
0.44000,728
0.44000,792
0.38000,860
0.26800,925
0.26800,990
0.35800,1058
0.35800,1122
0.37600,1191
0.37600,1255
0.49800,1320
0.57600,1387
0.57600,1453
0.57600,1520
0.57600,1585
0.60200,1649
0.62000,1718
0.62000,1783
0.93800,1850
0.93800,1915
0.95600,1983
0.95400,2048
0.95400,2112
0.94800,2181
0.94800,2245
0.94800,2313
0.76400,2377
0.76400,2443
0.62600,2511
0.62600,2575
0.56400,2644
0.56400,2708
0.52200,2773
0.52200,2840
0.52200,2906
0.51800,2973
0.51800,3038
0.52200,3102
0.51800,3171
0.51800,3236
0.52200,3303
0.52200,3368
0.51800,3436
0.52200,3501
0.52200,3565
0.59000,3634
0.59000,3698
0.61600,3766
0.61600,3831
0.61600,3895
0.62000,3964
0.62000,4028
0.64200,4096
0.64200,4161
0.75600,4226
1.04600,4293
1.04600,4358
0.98600,4427
0.98600,4491
1.11800,4556
0.89800,4623
0.89800,4689
0.94400,4756
0.94400,4821
0.95000,4885
0.95000,4954
0.95000,5018
1.23200,5086
1.23200,5151
1.26400,5219
1.27200,5284
1.27200,5348
1.26400,5417
1.26400,5481
1.26200,5550
1.26400,5614
1.26400,5679
1.24200,5746
1.24200,5812
1.26200,5880
1.27800,5944
1.27800,6009
1.27400,6077
1.27400,6142
1.27800,6209
1.23600,6274
1.23600,6339
1.30000,6407
1.30000,6471
1.25800,6540
1.25800,6605
1.41800,6669
1.61200,6737
1.61200,6802
1.66200,6870
1.66200,6934
1.66200,6999
1.54400,7067
1.54400,7132
1.55000,7199
1.55000,7265
1.62800,7330
1.54400,7397
1.54400,7462
1.54600,7530
1.54600,7595
1.53400,7659
1.56000,7728
1.56000,7792
1.45800,7860
1.45800,7924
1.44600,7993
1.44800,8058
1.44800,8122
1.46800,8191
1.46800,8255
1.99200,8323
1.87800,8387
1.87800,8453
2.10400,8520
2.10400,8585
1.89000,8654
1.75000,8718
1.75000,8783
2.13600,8850
2.13600,8915
1.55400,8983
2.09800,9048
2.09800,9112
2.25400,9181
2.25400,9245
1.69000,9313
1.69000,9378
2.01600,9443
1.88400,9511
1.88400,9575
1.58600,9644
1.58600,9708
1.66800,9773
1.50400,9840
1.50400,9906
1.50400,9974
1.50400,10038
1.44800,10103
1.43800,10171
1.43800,10236
1.43600,10304
1.43600,10369
1.43800,10433
1.43600,10502
1.43600,10566
1.43600,10634
1.43600,10700
1.43600,10764
1.43200,10832
1.43200,10896
1.41200,10962
1.47200,11029
1.47200,11094
1.69800,11162
1.69800,11227
1.58000,11291
1.79800,11360
1.79800,11425
2.13000,11493
2.37600,11558
2.37600,11622
2.35600,11691
2.35600,11755
2.29400,11823
2.28800,11887
2.28800,11953
2.32000,12020
2.32000,12085
2.16000,12154
2.18800,12218
2.18800,12283
2.40600,12351
2.40600,12416
2.28000,12480
1.74600,12549
1.74600,12613
1.77000,12681
1.77000,12747
1.57000,12811
1.52800,12879
1.52800,12944
1.38200,13012
1.64400,13076
1.64400,13141
1.47800,13209
1.47800,13274
1.57200,13342
1.64400,13407
1.64400,13471
1.63800,13540
1.63800,13605
1.72000,13669
1.71800,13738
1.71800,13802
1.71400,13870
1.71400,13934
1.80600,14000
1.88400,14067
1.88400,14132
1.53600,14201
1.51000,14265
1.51000,14330
1.62600,14398
1.62600,14463
1.63200,14531
1.63200,14596
1.63200,14660
1.63200,14728
1.63200,14793
1.62200,14858
1.63800,14926
1.63800,14991
1.57200,15059
1.57200,15123
1.58200,15189
1.62600,15256
1.62600,15321
1.58000,15389
1.61600,15454
1.61600,15518
1.63200,15587
1.63200,15652
1.61600,15719
1.63600,15785
1.63600,15849
1.62600,15917
1.62600,15982
1.63200,16047
1.62800,16114
1.62800,16179
1.62600,16248
1.62600,16312
1.66800,16377
1.60200,16445
1.60200,16510
1.60000,16578
1.60200,16643
1.60200,16707
1.60000,16776
1.60000,16840
1.60000,16908
1.60000,16973
1.60000,17038
1.60000,17106
1.60000,17170
1.60000,17236
1.60000,17303
1.60000,17368
1.61800,17436
1.61800,17501
1.58000,17565
1.61800,17634
1.61800,17699
1.61200,17766
1.60000,17832
1.60000,17896
1.61200,17964
1.61200,18029
1.60200,18097
1.60600,18161
1.60600,18227
1.56600,18295
1.56600,18359
1.65800,18424
1.60800,18492
1.60800,18557
1.60200,18625
1.60200,18690
1.60000,18754
1.84800,18823
1.84800,18887
1.90400,18955
1.63200,19021
1.63200,19085
1.86200,19153
1.86200,19217
1.94400,19286
1.71400,19350
1.71400,19415
1.72600,19483
1.72600,19548
1.74400,19612
2.08000,19681
2.08000,19746
2.05400,19814
2.05400,19879
1.90400,19943
2.25800,20011
2.25800,20076
2.28400,20144
2.18800,20208
2.18800,20274
