power,current,time
0.76000,54.80000,5
0.28200,39.80000,9
0.20600,44.90000,14
0.23200,47.50000,19
0.25000,46.60000,24
0.24200,46.30000,29
0.24000,46.00000,34
0.24600,47.00000,39
0.24600,47.10000,44
0.24600,47.10000,49
0.24600,47.00000,54
0.24000,46.50000,59
0.24200,52.90000,64
0.27600,53.80000,69
0.28200,52.00000,73
0.27200,64.10000,79
0.33400,67.30001,84
0.35000,62.90000,89
0.32800,50.90000,94
0.26600,51.50000,99
0.24200,46.20000,103
0.24200,46.30000,108
0.24200,46.20000,113
0.27800,53.70000,118
0.25800,49.50000,124
0.25800,49.20000,129
0.25600,49.70000,134
0.25800,48.00000,139
0.25000,46.20000,144
0.24200,49.80000,149
0.25800,46.70000,153
0.24200,47.90000,158
0.25000,57.00000,164
0.30400,58.40000,169
0.31400,60.10000,174
0.31800,61.20000,179
0.32200,61.30000,184
0.32200,61.90000,189
0.32200,63.59999,194
0.33000,62.80000,199
0.32800,63.20000,204
0.33000,62.70000,209
0.32800,63.00000,214
0.32800,62.40000,219
0.32400,62.70000,224
0.32400,62.50000,229
0.32800,62.60000,234
0.32800,62.90000,239
0.32400,62.50000,244
0.32800,63.00000,250
0.32400,62.70000,254
0.32800,62.20000,259
0.32400,62.50000,264
0.32400,62.00000,269
0.32400,62.40000,274
0.32400,58.90000,279
0.30800,47.60000,284
0.25000,47.90000,289
0.25200,48.20000,295
0.24600,47.40000,300
0.24600,47.00000,304
0.24200,46.80000,309
0.24200,46.70000,314
0.24200,46.60000,319
0.24200,46.60000,324
0.24200,46.50000,329
0.24200,46.00000,335
0.24000,58.40000,340
0.30400,50.60000,345
0.26600,52.40000,350
0.26600,50.60000,354
0.26200,50.60000,359
0.28600,54.70000,364
0.28800,55.50000,369
0.29200,55.80000,374
0.29200,56.10000,380
0.29200,56.20000,385
0.29200,56.30000,390
0.29400,56.50000,395
0.29400,56.40000,400
0.29400,56.10000,404
0.29200,56.20000,409
0.28600,54.80000,414
0.36400,69.80000,420
0.40600,78.00000,425
0.41200,79.50000,430
0.39400,75.60000,435
0.40000,76.20001,440
0.39600,75.90000,445
0.39600,76.20001,449
0.39600,76.40000,454
0.39600,75.80001,459
0.39400,75.30001,465
0.39000,76.30000,470
0.39600,76.30000,475
0.39400,75.60000,480
0.39400,75.80001,485
0.39600,76.40000,490
0.39600,76.30000,495
0.39400,75.70000,499
0.39400,76.20001,504
0.39600,75.70000,510
0.39400,75.70000,515
0.39400,76.30000,520
0.39600,76.30000,525
0.39600,75.50000,530
0.39400,75.40000,535
0.39600,76.20001,540
0.39600,76.00000,545
0.39400,75.40000,550
0.39600,76.20001,555
0.39600,76.20001,560
0.39400,75.20000,565
0.39000,76.10000,570
0.39600,76.20001,575
0.39600,75.40000,580
0.39400,75.60000,585
0.39400,76.10000,591
0.39600,76.10000,596
0.39600,75.30001,601
0.39400,75.40000,605
0.39600,76.20001,610
0.39400,75.40000,615
0.39400,75.40000,620
0.39600,76.20001,625
0.39600,75.50000,630
0.39400,75.20000,636
0.39000,76.20001,641
0.39600,75.90000,646
0.39400,75.50000,651
0.39400,76.10000,655
0.39600,76.20001,660
0.39600,76.00000,665
0.39000,75.20000,670
0.39600,76.00000,676
0.39600,76.20001,681
0.39400,74.70000,686
0.39000,75.80001,691
0.39400,76.10000,696
0.39600,76.10000,701
0.39600,75.20000,705
0.39000,75.60000,710
0.39400,75.70000,715
0.39400,74.90000,721
0.39000,75.00000,726
0.39400,75.80001,731
0.39000,75.20000,736
0.39000,75.00000,741
0.39000,75.00000,745
0.39600,75.20000,750
0.39000,74.60000,755
0.38600,76.00000,760
0.39600,76.00000,766
0.39600,75.20000,771
0.39000,74.80001,776
0.39000,75.70000,781
0.39400,75.40000,786
0.41000,78.60000,790
0.44600,85.70000,795
0.44800,86.10000,800
0.44600,85.80001,806
0.44800,86.10000,811
0.44800,86.10000,816
0.44800,86.10000,821
0.44800,86.30001,826
0.44800,86.20000,831
0.44800,86.00000,836
0.44600,85.20000,840
0.44200,82.60000,845
0.43000,82.50000,851
0.43000,82.40000,856
0.43000,82.80001,861
0.43000,82.50000,866
0.43000,82.50000,871
0.43000,82.50000,876
0.43000,82.40000,881
0.43000,82.30001,885
0.43000,82.60000,891
0.43000,82.50000,896
0.43000,82.50000,901
0.43000,82.60000,906
0.43000,82.70000,911
0.43000,82.20000,916
0.42600,81.90000,921
0.42600,81.70000,926
0.42600,81.90000,930
0.41600,80.30000,936
0.42000,80.50000,941
0.42000,92.09999,946
0.47800,98.60000,951
0.51200,98.60000,956
0.51200,98.60000,961
0.51200,98.60000,966
0.51200,86.40000,971
0.44800,51.90000,977
0.26800,51.80000,981
0.27200,51.90000,986
0.27200,52.00000,991
0.27200,51.90000,996
0.27200,51.90000,1001
0.26800,51.90000,1006
0.27200,51.90000,1011
0.27200,51.80000,1016
0.26800,51.90000,1022
0.27200,51.90000,1027
0.27200,51.90000,1032
0.27200,51.80000,1037
0.26800,51.80000,1042
0.27200,51.90000,1047
0.27200,51.90000,1052
0.27200,51.90000,1056
0.27200,51.90000,1062
0.27200,51.90000,1067
0.27200,51.80000,1072
0.26800,52.00000,1077
0.27200,57.10000,1082
0.29800,55.20000,1087
0.28800,55.29999,1092
0.28800,55.50000,1097
0.29800,57.20000,1103
0.30200,57.80000,1108
0.29800,61.60000,1113
0.32200,77.50000,1118
0.40400,73.50000,1123
0.38400,73.40000,1128
0.38000,77.40000,1133
0.40400,75.20000,1138
0.39000,74.50000,1143
0.35800,68.40000,1149
0.35400,67.80001,1153
0.31400,60.20000,1158
0.31200,59.50000,1163
0.32200,67.60000,1168
0.35000,68.30001,1173
0.35400,67.50000,1178
0.35000,66.10000,1183
0.34400,75.60000,1189
0.39400,75.30001,1194
0.39000,74.90000,1199
0.39000,74.70000,1204
0.39400,75.40000,1209
0.39600,76.30000,1214
0.39400,75.80001,1219
0.37600,72.50000,1224
0.37600,72.60000,1229
0.37600,72.60000,1235
0.37600,72.60000,1240
0.37600,72.50000,1245
0.37600,72.50000,1250
0.37600,72.50000,1255
0.37600,72.50000,1259
0.37600,72.50000,1264
0.37600,72.50000,1269
0.37600,72.50000,1275
0.37600,72.50000,1280
0.37600,72.50000,1285
0.37600,72.60000,1290
0.37600,72.50000,1295
0.37600,72.60000,1300
0.37600,72.60000,1305
0.37600,72.60000,1310
0.37600,72.60000,1316
0.37600,72.60000,1321
0.37600,72.60000,1326
0.37600,72.60000,1331
0.37600,76.70000,1336
0.40000,77.30000,1341
0.40400,79.50000,1346
0.41200,118.70000,1351
0.61600,118.10000,1356
0.61200,122.40000,1362
0.63200,128.19999,1367
0.54400,105.10000,1372
0.59000,113.40000,1377
0.41600,80.20001,1382
0.41600,81.00000,1386
0.42200,80.20001,1391
0.41600,79.90000,1396
0.41600,92.40000,1402
0.47800,114.80000,1407
0.59600,110.30000,1412
0.57000,110.50000,1417
0.57600,110.90000,1422
0.57600,111.10000,1427
0.57600,111.20000,1432
0.57600,110.70000,1437
0.57400,111.20000,1442
0.57600,111.40000,1448
0.57600,111.30000,1453
0.57600,111.30000,1458
0.57600,111.10000,1463
0.57600,110.50000,1468
0.57400,110.30000,1473
0.57400,110.80000,1478
0.57600,111.20000,1483
0.57600,111.10000,1489
0.57600,111.20000,1494
0.57600,110.50000,1499
0.57400,111.00000,1504
0.57600,111.40000,1509
0.57600,111.30000,1514
0.57600,111.30000,1519
0.57400,110.70000,1524
0.57400,110.80000,1530
0.57400,110.50000,1535
0.57400,111.10000,1540
0.57600,111.30000,1545
0.57600,111.10000,1550
0.57600,111.00000,1555
0.57600,110.80000,1560
0.57400,111.20000,1565
0.57600,111.40000,1570
0.57600,111.40000,1576
0.58000,111.60000,1581
0.57600,111.10000,1586
0.57400,110.59999,1591
0.57400,110.80000,1596
0.57400,111.20000,1601
0.57600,111.10000,1606
0.57600,111.50000,1611
0.58000,111.30000,1617
0.57600,110.90000,1622
0.57600,111.30000,1627
0.57600,111.30000,1632
0.57600,111.20000,1637
0.57400,110.80000,1642
0.57400,111.30000,1647
0.57600,111.40000,1652
0.57600,111.40000,1658
0.57600,107.70000,1663
0.56000,103.80000,1668
0.53800,110.50000,1673
0.60200,116.40000,1678
0.60600,117.20000,1683
0.63000,121.09999,1688
0.60200,117.40000,1693
0.61000,115.70000,1698
0.60000,117.80000,1704
0.61000,120.10000,1709
