power,time
2.17000,3
0.22600,5
0.21600,7
0.27200,9
0.18600,12
0.32200,14
0.23600,16
0.25200,19
0.25000,21
0.24200,23
0.24600,26
0.24200,28
0.24200,30
0.24200,32
0.24200,36
0.25000,38
0.25000,40
0.25000,43
0.25000,45
0.25000,47
0.25000,50
0.25000,52
0.24600,54
0.24600,57
0.24600,59
0.24200,61
0.25200,64
0.29200,66
0.28800,68
0.27200,70
0.27200,73
0.27200,75
0.33000,77
0.35400,81
0.34400,83
0.33000,85
0.35400,88
0.24000,90
0.27200,92
0.27200,95
0.28200,97
0.24000,99
0.24000,101
0.24200,104
0.24000,106
0.24000,109
0.24600,111
0.27800,113
0.27600,116
0.27200,118
0.29800,120
0.25800,124
0.25800,126
0.25800,129
0.25600,131
0.25600,133
0.25800,136
0.25800,138
0.25200,140
0.25600,143
0.25600,145
0.24600,147
0.26200,150
0.26600,152
0.25800,155
0.24200,157
0.24600,159
0.28600,162
0.29200,165
0.24200,167
0.24200,170
0.25000,172
0.29200,174
0.29200,177
0.25600,179
0.28600,182
0.23000,184
0.23200,186
0.24200,189
0.24200,191
0.24000,193
0.23600,196
0.23600,198
0.24000,200
0.24200,203
0.24200,205
0.24200,209
0.24200,211
0.24200,213
0.24200,216
0.24200,218
0.24200,220
0.24200,223
0.24200,225
0.24000,228
0.24000,230
0.24000,232
0.33400,235
0.31400,237
0.25600,239
0.25800,242
0.26200,244
0.28600,246
0.25600,250
0.26600,252
0.26800,255
0.26200,257
0.29800,259
0.28800,262
0.28800,264
0.29200,266
0.29200,269
0.29200,271
0.29400,273
0.29200,276
0.29400,278
0.29400,281
0.29400,283
0.29200,285
0.29400,288
0.27600,290
0.27600,293
0.27600,296
0.27600,298
0.27600,300
0.27600,303
0.27600,305
0.27600,308
0.28200,310
0.28800,312
0.39600,315
0.40600,317
0.41000,319
0.41000,322
0.41600,324
0.38400,326
0.38600,329
0.39600,331
0.39000,335
0.41000,337
0.40400,339
0.39400,342
0.39600,344
0.39600,346
0.41000,349
0.40400,351
0.40400,353
0.39000,356
0.39000,358
0.40000,361
0.41000,363
0.39400,365
0.39400,368
0.39600,370
0.41000,372
0.41000,375
0.39400,378
0.39000,380
0.39000,383
0.39000,385
0.41000,388
0.40000,390
0.39400,392
0.39000,395
0.40400,397
0.41000,399
0.40600,402
0.39000,404
0.39000,406
0.39000,409
0.40600,411
0.40000,414
0.39400,416
0.39400,418
0.39400,422
0.41000,424
0.40600,426
0.39600,429
0.38600,431
0.38600,433
0.40000,436
0.40600,438
0.39400,440
0.39000,443
0.39400,445
0.40400,448
0.40600,450
0.40400,452
0.38600,455
0.38600,457
0.39000,459
0.40600,463
0.39600,465
0.39400,467
0.39000,470
0.40400,472
0.40600,475
0.40600,477
0.39000,479
0.38600,482
0.38600,484
0.40400,486
0.40600,489
0.39400,491
0.39400,493
0.39000,496
0.40600,498
0.40600,501
0.39400,503
0.38600,506
0.38600,509
0.39400,511
0.40600,513
0.39400,516
0.39400,518
0.39000,520
0.40600,523
0.40600,525
0.40400,528
0.39000,530
0.38600,532
0.39400,535
0.40600,537
0.39400,539
0.39400,542
0.39400,544
0.39400,546
0.40600,550
0.40600,552
0.39000,555
0.38600,557
0.38600,559
0.40600,562
0.40600,564
0.39000,566
0.39000,569
0.39400,571
0.40400,573
0.40600,576
0.40000,578
0.38600,581
0.39400,583
0.38600,585
0.40000,588
0.40600,591
0.39000,593
0.39000,596
0.39400,598
0.39600,600
0.40600,603
0.40400,605
0.38600,608
0.38000,610
0.38600,612
0.39600,615
0.39400,617
0.39000,619
0.39000,622
0.39600,624
0.40400,626
0.40000,629
0.38600,631
0.38400,635
0.38600,637
0.40000,639
0.40600,642
0.39000,644
0.39400,646
0.38600,649
0.40400,651
0.40000,653
0.39400,656
0.38600,658
0.38600,661
0.38600,663
0.40000,665
0.39600,668
0.38600,670
0.39000,672
0.40000,676
0.40400,678
0.40000,680
0.39000,683
0.39600,685
0.44200,688
0.45200,690
0.45600,692
0.45200,695
0.44800,697
0.44800,699
0.44800,702
0.45200,704
0.45200,706
0.44800,709
0.45200,711
0.44800,714
0.44800,716
0.44800,719
0.45200,722
0.44800,724
0.44800,726
0.44800,729
0.44800,731
0.44800,733
0.44800,736
0.43000,738
0.43000,741
0.43000,743
0.43000,745
0.43000,748
0.43000,750
0.43000,752
0.43000,755
0.43000,757
0.43000,759
0.43000,763
0.43000,765
0.43000,768
0.43200,770
0.43000,772
0.43000,775
0.43200,777
0.43000,779
0.43000,782
0.43200,784
0.43000,786
0.43000,789
0.43000,791
0.43000,794
0.43000,796
0.43200,798
0.43200,801
0.43000,804
0.43000,806
0.43200,809
0.43000,811
0.42600,813
0.43000,816
0.42600,818
0.42600,821
0.42600,823
0.42600,825
0.42200,828
0.42000,830
0.42000,832
0.42200,835
0.42000,837
0.41600,840
