power,current,time
0.25000,168.19999,5
0.87800,37.90000,9
0.19600,43.90000,14
0.23000,46.20000,19
0.24200,46.50000,24
0.24200,46.60000,29
0.24200,46.20000,35
0.24600,47.30000,40
0.25000,47.70000,44
0.25000,47.60000,49
0.25000,46.20000,54
0.24200,47.30000,59
0.24600,51.10000,64
0.26600,55.20000,69
0.28800,52.70000,74
0.27600,61.80000,79
0.32200,68.30001,84
0.35800,67.00000,89
0.35000,50.10000,94
0.27600,52.70000,99
0.24600,47.10000,104
0.24600,47.00000,109
0.24200,46.80000,113
0.27600,52.70000,118
0.27600,52.80000,124
0.27600,50.20000,129
0.26200,50.00000,134
0.26200,49.80000,139
0.25800,50.40000,144
0.26200,48.90000,149
0.25600,47.30000,154
0.24600,50.00000,158
0.25800,49.90000,164
0.25600,49.20000,169
0.29800,57.40000,174
0.29800,56.90000,179
0.24200,47.00000,184
0.24600,46.60000,189
0.24200,47.40000,194
0.24600,47.20000,199
0.24600,47.10000,205
0.24600,47.00000,209
0.24600,47.10000,214
0.24600,47.10000,219
0.24600,47.00000,224
0.24600,46.90000,229
0.24200,46.70000,234
0.28800,55.40000,239
0.26200,50.00000,244
0.28600,50.30000,250
0.26200,51.70000,254
0.26800,56.70000,259
0.29400,56.50000,264
0.29400,56.90000,269
0.29800,56.90000,274
0.29800,56.90000,279
0.29800,57.00000,284
0.29800,56.90000,289
0.29400,56.80000,295
0.29400,56.80000,300
0.29400,56.80000,304
0.29400,56.80000,309
0.29400,76.80000,314
0.40000,80.10000,319
0.41600,78.60000,324
0.41000,77.40000,329
0.40400,76.40000,335
0.39600,77.10000,340
0.40400,77.10000,345
0.40000,76.70000,349
0.39600,76.10000,354
0.40000,76.70000,359
0.40000,77.10000,364
0.39600,76.30000,369
0.39600,76.90000,374
0.40000,77.00000,380
0.40000,76.00000,385
0.39600,76.20001,390
0.39600,77.00000,395
0.40000,76.30000,399
0.39600,76.40000,404
0.39600,76.90000,409
0.40400,77.20000,414
0.39600,76.20001,420
0.39600,76.00000,425
0.40000,76.90000,430
0.40000,76.20001,435
0.39600,76.70000,440
0.40000,77.00000,445
0.40000,76.60000,449
0.40000,76.10000,454
0.39600,76.70000,459
0.40000,76.90000,465
0.40000,76.20001,470
0.39600,76.20001,475
0.40000,77.00000,480
0.40000,76.80000,485
0.39400,75.80001,490
0.39600,76.00000,494
0.40000,76.20001,499
0.39600,76.10000,505
0.39600,76.90000,510
0.40000,76.80000,515
0.40000,76.10000,520
0.39600,76.10000,525
0.39600,76.80000,530
0.40000,76.80000,535
0.39600,76.10000,540
0.40000,76.80000,544
0.40000,76.80000,550
0.40000,76.60000,555
0.39400,75.80001,560
0.40000,76.80000,565
0.40000,76.10000,570
0.39600,76.10000,575
0.39600,75.50000,580
0.39400,76.80000,585
0.40000,76.70000,590
0.40000,75.90000,595
0.39600,76.10000,600
0.40000,76.70000,605
0.39400,75.70000,610
0.39600,76.00000,615
0.39600,76.30000,620
0.40000,75.50000,625
0.39400,75.40000,630
0.39400,76.60000,635
0.40000,76.30000,640
0.39600,76.00000,645
0.39600,76.00000,650
0.39600,76.40000,655
0.39600,76.30000,660
0.39400,75.40000,665
0.40000,76.50000,670
0.40000,76.60000,676
0.39400,75.40000,681
0.39600,76.20001,685
0.43600,86.80000,690
0.45200,86.30001,695
0.44800,86.60000,700
0.44800,86.50000,705
0.44800,86.70000,710
0.45200,86.70000,715
0.45200,86.90000,721
0.44800,86.60000,726
0.44800,86.50000,731
0.45200,86.90000,735
0.44000,84.20000,740
0.43200,83.20000,745
0.43200,83.50000,750
0.43600,83.20000,755
0.43200,83.20000,761
0.43200,83.40000,766
0.43200,83.10000,771
0.43200,83.20000,776
0.43200,83.30000,780
0.43200,83.40000,785
0.43200,83.10000,790
0.43200,83.20000,795
0.43600,83.60000,800
0.43200,83.30000,806
0.43200,83.30000,811
0.43000,82.60000,816
0.43000,82.30001,821
0.43000,82.30001,826
0.43000,80.80000,830
0.42000,81.20000,835
0.42200,81.30000,840
0.42200,99.20000,846
0.51400,99.30000,851
0.51400,99.30000,856
0.51400,99.30000,861
0.51400,99.00000,866
0.33400,64.30001,871
0.27600,52.60000,876
0.27600,52.50000,880
0.27600,52.60000,885
0.27600,52.50000,891
0.27600,52.50000,896
0.27600,52.50000,901
0.27600,52.50000,906
0.27600,52.60000,911
0.27600,52.50000,916
0.27600,52.50000,921
0.27600,52.60000,926
0.27600,52.50000,931
0.27200,52.60000,936
0.27600,52.40000,941
0.27200,52.60000,946
0.27600,52.50000,951
0.27600,52.50000,956
0.27600,52.40000,961
0.27200,52.50000,966
0.27600,52.40000,971
0.28600,54.90000,976
0.29400,56.80000,981
0.29200,56.10000,986
0.29200,56.10000,991
0.29400,56.50000,996
0.30200,58.00000,1001
0.30200,59.00000,1006
0.30800,70.90000,1011
0.37000,75.50000,1017
0.39400,78.50000,1022
0.41000,74.30000,1027
0.38600,74.10000,1032
0.40600,78.30001,1037
0.38400,73.40000,1042
0.34800,67.00000,1046
0.34000,65.60000,1051
0.31400,59.50000,1056
0.31200,64.40000,1062
0.33400,68.80000,1067
0.35800,70.50000,1072
0.36800,66.30000,1077
0.34400,69.90000,1082
0.36400,76.00000,1087
0.39400,75.50000,1092
0.39400,75.30001,1097
0.39400,75.30001,1103
0.40000,76.80000,1108
0.40000,74.80001,1113
0.39000,73.30000,1118
0.38000,73.30000,1123
0.38000,73.30000,1128
0.38000,73.30000,1133
0.38000,73.40000,1138
0.38400,73.40000,1142
0.38400,73.40000,1148
0.38000,73.30000,1153
0.38000,73.30000,1158
0.38000,73.30000,1163
0.38400,73.30000,1168
0.38000,73.40000,1173
0.38400,73.40000,1178
0.38400,73.40000,1183
0.38400,73.30000,1189
0.38000,73.40000,1194
0.38400,73.30000,1199
0.38000,73.30000,1204
0.38400,73.40000,1209
0.38400,73.40000,1214
0.38000,73.30000,1219
0.38000,73.40000,1224
0.38400,73.60000,1230
0.38400,75.20000,1235
0.39000,74.80001,1239
0.39000,98.40000,1244
0.51200,120.20000,1249
0.62200,119.70000,1254
0.66800,129.00000,1259
0.67200,129.50000,1264
0.55800,107.60000,1269
0.50800,82.00000,1275
0.42600,81.90000,1280
0.42600,82.90000,1285
0.43200,81.90000,1290
0.42600,82.00000,1295
0.42600,110.80000,1300
0.57400,114.90000,1305
0.58400,112.40000,1310
0.58400,112.40000,1316
0.58600,112.90000,1321
0.58600,113.30000,1326
0.58600,113.10000,1331
0.58600,112.80000,1336
0.58600,112.90000,1341
0.58600,113.30000,1346
0.58600,113.20000,1351
0.58600,113.40000,1357
0.58600,113.30000,1362
0.58400,112.60000,1367
0.58400,112.40000,1372
0.58400,112.70000,1377
0.58600,113.10000,1382
0.58600,113.30000,1387
0.58600,113.40000,1392
0.59000,112.90000,1397
0.58600,112.80000,1403
0.58600,113.40000,1408
0.59000,113.50000,1413
0.59000,113.40000,1418
0.59000,113.40000,1423
0.58600,113.00000,1428
0.58400,112.50000,1433
0.58400,113.30000,1438
0.58600,113.40000,1444
0.59000,113.30000,1449
0.58600,113.30000,1454
0.58600,113.20000,1459
0.58600,113.20000,1464
0.59000,113.40000,1469
0.59000,113.70000,1474
0.59000,113.70000,1479
0.59000,112.90000,1485
0.58600,112.80000,1490
0.58600,112.80000,1495
0.58600,113.20000,1500
0.58600,113.50000,1505
0.59000,113.50000,1510
0.58600,113.30000,1515
0.58600,113.10000,1520
0.57600,110.90000,1524
0.50400,96.80001,1530
0.45800,87.70000,1535
0.45600,87.80000,1540
0.45600,87.80000,1545
0.45600,88.10000,1550
0.45800,88.40000,1555
0.45800,79.60000,1560
0.41200,82.10000,1565
0.48200,92.40000,1571
0.49200,94.30000,1576
0.48200,92.80000,1581
0.50400,97.10000,1586
0.49200,94.60000,1591
0.49200,92.40000,1596
0.48200,98.60000,1601
0.51200,92.70000,1606
0.48200,92.40000,1611
0.48200,95.40000,1617
0.49400,112.80000,1622
0.60000,115.90000,1627
0.59000,113.60000,1632
0.60200,116.00000,1637
0.59000,116.20000,1642
0.60200,113.80000,1647
0.59000,114.00000,1651
0.59000,113.90000,1657
0.59000,114.20000,1662
0.59400,112.70000,1667
0.58400,118.90000,1672
0.63000,121.09999,1677
0.61200,117.90000,1682
0.62200,120.20000,1687
0.61000,121.20000,1692
0.63000,125.10000,1697
0.64800,117.50000,1703
0.61000,127.40000,1708
0.65800,126.40000,1713
0.65600,118.40000,1718
