power,current,time
0.90200,59.30000,5
0.30800,35.00000,11
0.17400,62.60000,16
0.31800,49.60000,20
0.25600,46.80000,25
0.24200,46.00000,30
0.24000,45.80000,35
0.24000,47.30000,40
0.24600,47.30000,45
0.24600,47.30000,50
0.24600,47.30000,55
0.24000,45.60000,60
0.24200,46.40000,65
0.28600,54.70000,70
0.27600,51.70000,75
0.26800,65.80000,80
0.34000,66.10000,84
0.34400,59.40000,89
0.30800,51.40000,95
0.26800,50.40000,100
0.26200,45.80000,105
0.24000,45.80000,110
0.24000,46.00000,115
0.27200,52.50000,120
0.26200,50.30000,124
0.25800,49.70000,129
0.25800,49.40000,135
0.25800,47.70000,140
0.25000,45.90000,145
0.24000,50.40000,150
0.26200,45.80000,155
0.24000,47.40000,160
0.24600,49.90000,165
0.25800,58.79999,169
0.30400,57.90000,174
0.30400,58.79999,180
0.30400,58.60000,185
0.30800,58.90000,190
0.31400,60.40000,195
0.31400,61.00000,200
0.31800,61.90000,205
0.32200,62.70000,210
0.32800,62.20000,215
0.32400,62.40000,220
0.32400,61.90000,225
0.32200,62.29999,230
0.32400,62.00000,235
0.32400,62.10000,240
0.32800,62.70000,245
0.32400,62.10000,250
0.32400,62.40000,255
0.32200,61.90000,260
0.32400,61.40000,265
0.32200,62.00000,270
0.32400,62.00000,275
0.32400,59.20000,280
0.30800,49.20000,285
0.25600,46.50000,290
0.24200,48.00000,295
0.25000,47.79999,300
0.24600,47.20000,306
0.24600,46.90000,311
0.24200,46.70000,315
0.24200,46.60000,320
0.24200,46.50000,325
0.24200,46.00000,330
0.24000,45.60000,335
0.24000,58.70000,340
0.30400,49.50000,345
0.25800,51.80000,351
0.26800,48.60000,356
0.25200,49.80000,360
0.28600,54.60000,365
0.28800,55.10000,370
0.28800,55.29999,375
0.29200,55.70000,380
0.29200,56.00000,385
0.29200,56.00000,391
0.29200,56.10000,396
0.29200,56.10000,401
0.29200,56.10000,405
0.29200,56.20000,410
0.29200,55.60000,415
0.28800,71.30001,420
0.37000,77.20000,425
0.41000,78.70000,430
0.39000,74.90000,436
0.39600,76.20001,441
0.39600,76.30000,446
0.39400,75.50000,451
0.39400,76.20001,455
0.39600,76.10000,460
0.39600,75.40000,465
0.39400,75.50000,470
0.39400,76.20001,476
0.39600,75.60000,481
0.39400,75.50000,486
0.39600,76.40000,491
0.39600,76.20001,496
0.39400,75.50000,501
0.39000,75.30001,505
0.39600,76.30000,510
0.39600,75.50000,515
0.39400,75.80001,521
0.39400,76.20001,526
0.39600,76.00000,531
0.39600,75.20000,536
0.39000,75.30001,541
0.39400,76.00000,546
0.39000,75.20000,551
0.39000,75.30001,555
0.39600,75.90000,560
0.39600,76.10000,566
0.39000,75.10000,571
0.39000,75.90000,576
0.39600,75.80001,581
0.39400,75.30001,586
0.39400,75.70000,591
0.39400,75.90000,596
0.39600,75.70000,600
0.39400,74.90000,606
0.39000,75.60000,611
0.39600,75.90000,616
0.39000,75.30001,621
0.39000,75.20000,626
0.39600,75.90000,631
0.39400,75.00000,636
0.39000,75.10000,641
0.39000,75.80001,647
0.39400,75.60000,651
0.39400,75.20000,656
0.39000,75.90000,661
0.39600,75.80001,666
0.39400,75.60000,671
0.39000,75.00000,676
0.39400,75.70000,681
0.39400,75.90000,686
0.38600,74.60000,692
0.39000,75.10000,696
0.39400,75.90000,701
0.39600,75.80001,706
0.39400,74.90000,711
0.39000,74.90000,716
0.39000,75.40000,721
0.39400,74.80001,726
0.39000,74.90000,732
0.39000,75.10000,737
0.39400,75.60000,741
0.39000,75.00000,746
0.39000,75.00000,751
0.39400,75.40000,756
0.39000,75.00000,761
0.39000,75.60000,766
0.39400,75.40000,771
0.39400,75.30001,777
0.39000,74.70000,781
0.39000,74.70000,786
0.39000,78.50000,791
0.41000,85.20000,796
0.44200,85.50000,801
0.44600,85.70000,806
0.44800,86.20000,811
0.44800,86.10000,816
0.44800,86.10000,822
0.44800,86.20000,826
0.44800,86.10000,831
0.44800,86.10000,836
0.44800,85.60000,841
0.44600,82.30001,846
0.43000,82.20000,851
0.42600,82.30001,856
0.43000,82.40000,862
0.42600,82.20000,867
0.43000,82.30001,871
0.43000,82.30001,876
0.43000,82.30001,881
0.42600,82.20000,886
0.43000,82.30001,891
0.43000,82.10000,896
0.42600,82.40000,901
0.43000,82.40000,907
0.43000,82.40000,912
0.43000,82.00000,917
0.42600,81.70000,921
0.42600,81.70000,926
0.42200,81.40000,931
0.41600,80.30000,936
0.42000,80.40000,941
0.41600,80.10000,947
0.46800,98.20001,952
0.51200,98.30000,957
0.51200,98.20001,962
0.51200,98.30000,967
0.51200,90.00000,971
0.46800,51.70000,976
0.26800,51.80000,981
0.26800,51.70000,986
0.26800,51.70000,992
0.26800,51.70000,997
0.26800,51.60000,1002
0.26800,51.80000,1007
0.26800,51.60000,1012
0.26800,51.80000,1017
0.26800,51.70000,1022
0.26800,51.70000,1026
0.26800,51.70000,1032
0.26800,51.70000,1037
0.26800,51.70000,1042
0.26800,51.60000,1047
0.26800,51.60000,1052
0.26800,51.70000,1057
0.26800,51.70000,1062
0.26800,51.60000,1067
0.26800,51.60000,1072
0.26800,51.80000,1078
0.26800,57.00000,1083
0.29800,55.00000,1088
0.28600,54.90000,1093
0.28600,55.10000,1098
0.29400,56.80000,1103
0.29800,57.10000,1108
0.29400,56.90000,1113
0.31400,60.70000,1119
0.39600,73.00000,1124
0.38000,73.60000,1128
0.38400,77.40000,1133
0.40400,73.30000,1138
0.38000,77.10000,1143
0.40400,69.20001,1148
0.36000,65.90000,1153
0.31800,60.90000,1159
0.31200,60.00000,1164
0.31800,61.00000,1169
0.34800,66.90000,1174
0.35000,67.10000,1179
0.35000,65.10000,1184
0.33800,74.80001,1189
0.39000,75.90000,1194
0.39400,75.20000,1199
0.39000,74.90000,1205
0.39000,75.30001,1210
0.39600,76.40000,1215
0.39600,76.30000,1219
0.37600,72.40000,1224
0.37600,72.30000,1229
0.37600,72.30000,1234
0.37600,72.30000,1239
0.37600,72.30000,1245
0.37600,72.40000,1250
0.37600,72.30000,1255
0.37600,72.40000,1260
0.37600,72.30000,1265
0.37600,72.30000,1270
0.37600,72.30000,1275
0.37600,72.30000,1280
0.37600,72.30000,1285
0.37600,72.30000,1291
0.37600,72.30000,1296
0.37600,72.30000,1301
0.37600,72.40000,1306
0.37600,72.30000,1311
0.37600,72.40000,1315
0.37600,72.30000,1320
0.37600,72.30000,1325
0.37600,72.40000,1331
0.37600,72.30000,1336
0.40400,77.20000,1341
0.39400,79.30001,1346
0.41200,112.70000,1351
0.58400,117.20000,1356
0.60600,119.90000,1361
0.62200,127.09999,1366
0.65800,107.50000,1372
0.62200,119.60000,1377
0.43000,82.50000,1382
0.41200,79.70000,1387
0.41600,80.40000,1392
0.41200,79.90000,1397
0.41600,87.10000,1402
0.45200,114.80000,1407
0.59600,110.40000,1412
0.57400,110.80000,1418
0.57400,110.70000,1423
0.57400,111.00000,1428
0.57400,110.80000,1433
0.57400,110.59999,1438
0.57400,110.70000,1443
0.57600,111.10000,1448
0.57600,110.90000,1453
0.57600,110.59999,1459
0.57400,110.40000,1464
0.57400,110.20000,1469
0.57000,110.50000,1474
0.57400,111.00000,1479
0.57600,110.90000,1484
0.57600,110.90000,1489
0.57400,110.59999,1494
0.57400,111.00000,1500
0.57600,111.00000,1504
0.57600,111.10000,1509
0.57600,111.10000,1514
0.57600,110.50000,1519
0.57400,110.09999,1524
0.57000,110.50000,1529
0.57600,111.00000,1534
0.57600,111.10000,1539
0.57600,111.00000,1545
