power,time
1.33600,3
1.18000,69
1.17400,134
1.17000,201
1.17000,267
1.17000,334
1.17000,399
1.17000,466
1.17000,530
1.17000,597
1.17000,663
1.17000,730
1.17000,795
1.17600,862
1.17000,927
1.17000,993
1.17000,1060
1.17400,1126
1.17000,1192
1.17000,1258
1.17000,1323
1.17000,1389
1.17000,1456
1.17400,1523
1.17400,1589
1.17000,1654
1.17000,1720
1.17000,1786
1.17400,1852
1.17400,1919
1.17000,1985
1.17400,2050
1.17400,2116
1.17000,2183
1.17000,2249
1.17000,2315
1.17000,2382
1.17000,2446
1.17000,2513
1.17000,2579
1.17000,2646
1.17400,2712
1.17000,2777
1.17400,2843
1.17400,2909
1.17000,2976
1.17000,3042
1.17000,3109
1.17000,3173
1.17400,3240
1.17000,3306
1.17000,3372
1.17000,3438
1.17000,3503
1.17400,3570
1.17000,3636
1.17400,3703
1.17400,3768
1.17000,3835
1.17600,3899
1.17000,3966
1.17000,4032
1.17600,4099
1.17000,4165
1.17000,4230
1.17000,4297
1.17000,4363
1.17000,4429
1.17000,4495
1.17000,4562
1.17000,4626
1.17000,4693
1.17000,4759
1.17000,4826
1.17400,4891
1.17000,4958
1.17000,5023
1.17000,5089
1.17000,5156
1.17000,5222
1.17400,5289
1.17000,5353
1.17000,5419
1.17000,5485
1.17400,5552
1.17400,5619
1.17000,5685
1.17000,5750
1.17000,5816
1.17400,5882
1.17400,5948
1.17000,6015
1.17400,6081
1.17400,6146
1.17000,6212
1.17000,6279
1.17000,6345
1.17000,6411
1.17000,6476
1.17000,6542
1.17000,6609
1.17000,6675
1.17000,6742
1.17000,6807
1.17400,6873
1.17400,6938
1.17000,7005
1.17000,7072
1.17000,7138
1.17400,7205
1.17000,7269
1.17000,7336
1.17400,7401
1.17000,7468
1.17000,7534
1.17400,7601
1.17000,7666
1.17000,7732
1.17000,7799
1.17400,7864
1.17600,7931
1.17000,7995
1.17000,8062
1.17400,8128
1.17400,8195
1.17000,8261
1.17000,8326
1.17000,8393
1.17000,8458
1.17000,8525
1.17000,8591
1.17000,8658
1.17000,8722
1.17000,8789
1.17000,8854
1.17600,8921
1.17000,8987
1.17000,9054
1.17000,9119
1.17000,9185
1.17000,9252
1.17000,9317
1.18000,9384
1.17400,9450
1.17000,9515
1.17000,9581
1.17600,9648
1.17000,9715
1.17000,9780
1.17000,9846
1.17400,9911
1.17400,9978
1.17000,10044
1.17400,10111
1.17400,10177
1.17000,10242
1.17000,10308
1.17000,10375
1.17000,10442
1.17000,10506
1.17000,10573
1.17000,10638
1.17000,10705
1.17000,10771
1.17000,10836
1.17000,10902
1.17600,10969
1.17000,11035
1.16400,11102
1.17000,11167
1.17000,11233
1.17000,11300
1.17000,11366
1.17000,11432
1.17000,11497
1.17400,11564
1.17400,11629
1.17400,11696
1.17000,11760
1.17000,11827
1.17000,11894
1.17600,11960
1.16600,12027
1.16400,12091
1.17600,12158
1.16600,12224
1.16400,12291
1.17000,12357
1.17000,12422
1.17000,12489
1.17000,12554
1.17000,12621
1.17000,12687
1.17000,12752
1.17000,12818
1.17000,12885
1.17400,12951
1.17400,13016
1.16400,13082
1.16600,13149
1.17000,13216
1.17000,13282
1.17000,13347
1.17000,13413
1.17000,13480
1.17000,13545
1.17400,13612
1.17400,13676
1.17400,13743
1.17000,13810
1.17000,13876
1.17600,13943
1.17000,14007
1.17000,14074
1.17000,14140
1.17600,14207
1.17000,14273
1.17000,14338
1.17000,14404
1.17000,14470
1.17000,14537
1.17000,14602
1.17000,14668
1.17000,14734
1.17000,14801
1.17000,14867
1.17400,14932
1.17400,14998
1.17000,15065
1.17000,15131
1.17000,15198
1.17000,15263
1.17000,15329
1.17000,15396
1.17000,15461
1.17000,15528
1.17000,15592
1.17000,15659
1.17600,15725
1.17000,15792
1.17000,15856
1.17000,15923
1.17600,15990
1.17000,16056
1.17000,16123
1.17400,16187
1.17400,16254
1.17000,16320
1.17000,16386
1.17000,16452
1.17000,16518
1.17000,16584
1.17000,16650
1.17000,16717
1.17000,16783
1.17000,16848
1.17000,16914
1.17400,16981
1.17400,17047
1.17000,17112
1.16600,17178
1.16400,17245
1.17000,17312
1.17000,17377
1.17000,17443
1.17000,17508
1.17000,17575
1.17000,17641
1.17400,17708
1.17400,17772
1.17000,17839
1.17000,17906
1.17000,17972
1.17600,18039
1.17000,18103
1.17000,18170
1.17400,18236
1.17400,18302
1.17000,18368
1.17000,18434
1.17000,18499
1.17000,18566
1.17000,18633
1.17000,18697
1.17000,18764
1.17000,18830
1.17000,18897
1.17000,18963
1.17600,19028
1.17000,19094
1.17000,19161
1.17000,19227
1.17000,19293
1.17000,19359
1.17000,19424
1.17000,19491
1.17000,19557
1.17000,19624
1.17000,19688
1.17400,19755
1.17000,19821
1.17000,19888
1.17000,19952
1.17000,20019
1.17600,20086
1.17000,20152
1.17000,20218
1.17600,20283
1.17000,20350
1.17000,20415
1.17000,20482
1.17000,20548
1.17000,20613
1.17000,20680
1.17000,20746
1.17000,20813
1.17000,20879
1.17000,20944
1.17400,21010
1.17400,21077
1.17000,21143
1.17000,21208
1.17000,21274
1.17000,21340
1.17000,21407
1.17000,21473
1.17000,21538
1.17000,21604
