power,time
0.98000,3
0.98600,36
0.98000,100
0.98400,167
0.98000,234
0.98000,300
0.98000,366
0.98400,432
0.98000,497
0.98400,563
0.98000,630
0.98000,696
0.98000,763
0.98000,828
1.00600,893
1.03800,960
1.41600,1026
1.15600,1093
1.33000,1159
1.35600,1225
1.30400,1290
1.64200,1356
1.41000,1422
1.29800,1489
1.35000,1556
1.32800,1622
1.31400,1687
1.38200,1753
1.30000,1819
1.35600,1885
1.32400,1952
1.31000,2016
1.37600,2083
1.30000,2149
1.35400,2216
1.08200,2282
1.00200,2348
0.98400,2413
0.98400,2479
0.98400,2546
0.98400,2612
0.98000,2679
0.98400,2744
0.98400,2810
0.98000,2875
0.98400,2942
0.98400,3009
0.98000,3075
0.98400,3141
0.98400,3206
0.98000,3272
0.98400,3338
0.98400,3405
0.98000,3471
0.98400,3538
0.98400,3603
0.98000,3669
0.98000,3735
0.98400,3801
0.98000,3868
0.98400,3932
0.98400,3999
0.98000,4065
0.98400,4131
0.98000,4197
0.98000,4264
0.98000,4329
0.98400,4395
0.98000,4462
0.98000,4528
0.98000,4594
0.98000,4660
0.98000,4725
0.98000,4791
0.98000,4858
0.98000,4924
0.98400,4991
0.98000,5057
0.98000,5121
0.98400,5188
0.98000,5254
0.98000,5321
0.98000,5387
0.98000,5453
0.98400,5518
0.98000,5584
0.98000,5651
0.98000,5717
0.98000,5784
0.98000,5850
0.98000,5915
0.98000,5980
0.98000,6047
0.98000,6113
0.98000,6180
0.98000,6246
0.98000,6311
0.98000,6378
0.98000,6443
0.98000,6510
0.98000,6576
0.98000,6643
0.98000,6707
0.98000,6774
0.98000,6839
0.98000,6906
0.98000,6972
0.98000,7039
0.98000,7104
0.98000,7170
0.98000,7236
0.98000,7302
0.98000,7369
0.98000,7435
0.98000,7500
0.98400,7566
0.98000,7633
0.98000,7699
0.98000,7765
0.98000,7832
0.98000,7898
0.98000,7963
0.98000,8029
0.98000,8095
0.98000,8161
0.98000,8228
0.98000,8294
0.98000,8359
0.98000,8426
0.98000,8491
0.98000,8558
0.98000,8624
0.98000,8689
0.98000,8755
0.98000,8822
0.98000,8888
0.98000,8954
0.98000,9020
0.98000,9085
0.98400,9152
0.98000,9218
0.98000,9285
0.98000,9350
0.98000,9417
0.98000,9481
0.98000,9548
0.98000,9614
0.98000,9681
0.98000,9748
0.98000,9813
0.98000,9879
0.98000,9944
0.98000,10011
0.98000,10077
0.98000,10144
0.98000,10210
0.98000,10275
0.98000,10341
0.98000,10408
0.98000,10474
0.98400,10539
0.98000,10606
0.98000,10671
0.98000,10738
0.98000,10804
0.98000,10869
0.98000,10935
0.98000,11002
0.98000,11068
0.98000,11135
0.98000,11200
0.98000,11266
0.98000,11333
0.98000,11399
0.98000,11465
0.98000,11530
0.98000,11596
0.98000,11662
0.98400,11729
0.98000,11796
0.98000,11860
0.98000,11927
0.98000,11993
0.98000,12060
0.98000,12126
0.98000,12191
0.98000,12257
0.98000,12324
0.98000,12389
0.98000,12455
0.98000,12522
0.98000,12587
0.98000,12654
0.98000,12720
0.98000,12785
0.98000,12851
1.07800,12918
1.00000,12984
0.98000,13051
0.98000,13115
0.98000,13182
0.98000,13249
0.98000,13315
0.98000,13381
0.98000,13446
0.98000,13512
0.98000,13578
0.98000,13645
0.98000,13711
0.98000,13776
0.98000,13843
0.98000,13909
0.98000,13976
0.98000,14040
0.98000,14107
0.98000,14173
0.98000,14240
0.98000,14305
0.98400,14371
0.98000,14437
0.98000,14503
0.98000,14570
0.98000,14636
0.98000,14701
0.98000,14767
0.98000,14834
0.98000,14900
0.98000,14967
0.98000,15031
0.98000,15098
0.98000,15164
0.98000,15231
0.98000,15297
0.98000,15362
0.98400,15428
0.98000,15494
0.98000,15561
0.98000,15625
0.98000,15692
0.98000,15758
0.98000,15825
0.98000,15892
0.98000,15956
0.98000,16023
0.98000,16089
0.98000,16156
0.98000,16221
0.98000,16287
0.98000,16353
0.98000,16419
0.98000,16485
0.98000,16552
0.98000,16617
0.98000,16683
0.98000,16750
0.98000,16816
0.98000,16883
0.98000,16947
0.98000,17014
0.98000,17080
0.98000,17147
0.98000,17211
0.98000,17278
0.98000,17344
0.98000,17410
0.98000,17477
0.98000,17541
0.98000,17608
0.98000,17674
0.98000,17741
0.98000,17807
0.98000,17872
0.98000,17939
0.98400,18005
0.98000,18072
0.98000,18137
0.98000,18203
0.98000,18269
0.98000,18335
0.98000,18401
0.98000,18468
0.98000,18532
0.98000,18599
0.98000,18666
0.98000,18732
0.98000,18799
0.98000,18863
0.98000,18930
0.98000,18996
0.98000,19063
0.98000,19127
0.98000,19194
1.02800,19259
0.98400,19326
0.98000,19393
0.98000,19457
0.98000,19524
0.98000,19590
0.98000,19657
0.98000,19723
0.98000,19788
0.98000,19854
0.98000,19921
0.98000,19988
0.98000,20053
0.98000,20119
0.98000,20184
0.98000,20251
0.98000,20317
0.98000,20384
0.98000,20448
0.98000,20515
0.98000,20581
0.98000,20648
0.98000,20715
0.98000,20779
0.98000,20846
0.98000,20912
0.98000,20978
0.98000,21043
0.98000,21110
0.98000,21175
0.98000,21242
0.98000,21308
0.98000,21373
0.98000,21440
0.98000,21506
0.98000,21573
0.98000,21639
0.98000,21704
0.98000,21770
0.98000,21837
0.98000,21903
0.98000,21969
0.98000,22035
0.98000,22100
0.98400,22167
0.98000,22233
0.98000,22300
0.98000,22364
0.98000,22431
0.98000,22497
0.98000,22564
0.98000,22630
0.98000,22695
0.98000,22762
0.98000,22828
0.98000,22894
0.98000,22959
0.98000,23026
0.98000,23091
0.98000,23158
0.98000,23224
0.98000,23289
0.98000,23355
0.98000,23422
0.98000,23489
0.98000,23555
0.98000,23620
0.98000,23686
0.98000,23753
0.98000,23819
0.98000,23885
0.98400,23950
0.98000,24016
0.98000,24083
0.98000,24149
0.98400,24216
0.99200,24280
1.03600,24347
0.98000,24413
0.98000,24480
0.98000,24544
0.98000,24611
0.98000,24677
0.98000,24744
0.98000,24810
0.98000,24875
0.98000,24942
0.98000,25007
0.98000,25074
0.98000,25140
0.98000,25205
0.98000,25271
0.98000,25338
0.98000,25404
0.98000,25471
0.98000,25536
0.98000,25602
0.98000,25669
0.98000,25735
0.98000,25801
0.98000,25866
0.98000,25932
0.98000,25998
0.98000,26065
0.98000,26129
