power,time
1.61200,4
1.61800,21
1.62800,88
1.62200,154
1.61800,219
1.62200,285
1.62600,351
1.61800,417
1.62200,484
1.62200,550
1.61800,615
1.62200,682
1.62200,747
1.62600,814
1.61800,880
1.61800,947
1.62200,1013
1.62200,1078
1.62200,1143
1.61800,1210
1.61800,1277
1.62600,1343
1.61800,1410
1.62200,1474
1.61800,1541
1.61800,1606
1.61800,1673
1.62200,1739
1.61800,1804
1.61800,1870
1.62200,1937
1.62600,2004
1.62200,2069
1.62200,2136
1.61800,2200
1.61800,2267
1.61800,2333
1.62200,2400
1.62600,2466
1.61800,2532
1.62200,2596
1.61600,2663
1.61600,2730
1.61800,2796
1.63200,2863
1.62600,2928
1.61800,2994
1.62200,3059
1.62200,3126
1.61800,3192
1.62200,3259
1.62200,3326
1.62200,3390
1.62200,3457
1.61800,3522
1.62600,3589
1.62800,3655
1.62200,3720
1.61800,3786
1.61800,3853
1.62600,3919
1.61800,3985
1.62200,4052
1.62800,4116
1.61800,4183
1.61800,4249
1.61800,4316
1.61800,4382
1.61800,4448
1.62600,4513
1.61800,4579
1.62200,4645
1.61800,4712
1.61200,4779
1.62600,4845
1.62200,4910
1.65200,4975
1.64200,5042
1.63600,5108
1.64200,5175
1.63600,5239
1.64200,5306
1.64200,5373
1.64800,5438
1.64200,5505
1.64200,5571
1.64400,5636
1.63800,5702
1.64200,5769
1.64800,5835
1.64800,5901
1.64800,5967
1.64400,6032
1.63800,6099
1.64800,6165
1.64800,6232
1.64200,6298
1.64400,6364
1.64800,6429
1.64200,6495
1.63600,6561
1.63800,6628
1.63800,6694
1.63800,6759
1.63800,6826
1.65200,6891
1.64400,6958
1.65800,7024
1.64400,7091
1.64400,7155
1.63800,7222
1.63800,7288
1.65200,7354
1.64800,7421
1.64400,7487
1.63800,7552
1.64200,7618
1.63800,7685
1.63200,7751
1.64200,7817
1.64800,7883
1.63800,7948
1.63800,8014
1.63800,8081
1.63800,8148
1.63800,8214
1.65200,8280
1.64800,8345
1.64400,8411
1.63800,8477
1.64400,8544
1.64200,8610
1.64400,8675
1.64200,8741
1.64400,8808
1.64200,8874
1.64800,8940
1.64800,9007
1.64400,9071
1.65200,9138
1.64200,9204
1.63800,9271
1.63800,9336
1.63800,9403
1.63800,9467
1.64200,9534
1.64400,9601
1.64400,9667
1.64200,9734
1.63800,9798
1.64400,9864
1.64400,9930
1.64400,9997
1.65200,10063
1.64400,10130
1.65200,10195
1.64400,10261
1.64400,10328
1.63600,10394
1.64400,10460
1.64200,10525
1.65200,10591
1.63800,10657
1.63600,10724
1.63800,10790
1.64200,10855
1.64200,10922
1.64200,10988
1.64400,11055
1.64200,11119
1.64400,11186
1.62200,11252
1.62200,11319
1.62200,11384
1.62200,11450
1.62200,11517
1.62600,11582
1.62200,11649
1.62200,11715
1.62200,11780
1.61800,11846
1.62200,11913
1.61800,11979
1.62600,12046
1.62200,12110
1.62200,12177
1.62200,12244
1.61800,12310
1.62200,12376
1.62200,12441
1.62200,12507
1.61800,12573
1.62200,12640
1.62200,12706
1.61800,12771
1.62600,12837
1.62200,12904
1.61800,12971
1.61800,13035
1.61800,13102
1.62200,13168
1.61800,13235
1.63800,13300
1.63200,13366
1.62200,13432
1.62600,13498
1.61800,13565
1.61800,13631
1.62200,13696
1.62200,13762
1.62600,13829
1.62200,13895
1.62200,13962
1.62600,14026
1.62600,14093
1.62200,14159
1.62200,14226
1.62200,14292
1.62200,14357
1.62200,14423
1.62200,14489
1.62200,14556
1.62200,14622
1.62600,14687
1.62200,14753
1.62200,14820
1.62200,14886
1.62200,14951
1.62200,15018
1.61800,15084
1.62200,15151
1.62600,15216
1.62200,15282
1.63600,15348
1.62200,15414
1.61800,15480
1.62200,15547
1.62200,15611
1.62200,15678
1.62200,15745
1.62200,15811
1.62200,15878
1.62200,15942
1.62600,16009
1.62200,16075
1.62200,16142
1.61800,16207
1.62200,16273
1.69000,16339
1.67800,16405
1.64200,16472
1.64200,16538
1.64200,16603
1.68200,16669
1.67200,16736
1.64400,16802
1.65200,16867
1.67200,16933
1.63800,17000
1.66800,17067
1.64200,17132
1.64200,17198
1.66200,17264
1.66800,17330
1.65200,17396
1.67200,17463
1.67200,17527
1.70000,17594
1.69000,17661
1.67400,17727
1.68400,17794
1.69800,17858
1.65800,17925
1.69800,17991
1.68200,18058
1.68400,18123
1.69800,18189
1.66400,18254
1.68800,18321
1.67800,18388
1.67800,18454
1.69800,18519
1.68400,18585
1.68200,18652
1.67800,18718
1.69000,18783
1.70000,18849
1.70800,18916
1.67800,18982
1.67400,19048
1.69000,19114
1.65800,19180
1.69800,19246
1.67800,19312
1.67800,19379
1.69000,19443
1.69000,19510
1.67800,19576
1.68200,19643
1.67800,19710
1.69800,19774
1.69400,19841
1.68200,19907
1.67400,19974
1.71000,20039
1.66200,20105
1.95000,20170
1.81200,20237
1.66800,20303
1.67400,20370
1.67400,20435
1.67800,20501
1.66400,20568
1.67800,20634
1.67400,20699
1.68200,20765
1.68200,20832
1.66800,20898
1.68200,20964
1.67400,21029
1.68200,21096
1.67800,21162
1.67800,21228
1.67800,21295
1.67400,21359
1.68200,21426
1.67800,21492
1.66800,21559
1.63200,21625
1.62200,21690
1.62200,21757
1.62200,21823
1.62200,21890
1.62200,21955
1.62600,22021
1.62200,22086
1.62200,22153
1.61800,22219
1.62600,22286
1.62600,22350
1.62600,22417
1.62600,22484
1.62200,22550
1.62200,22615
1.62200,22681
1.62200,22748
1.62200,22814
1.62200,22880
1.63200,22945
1.61800,23012
1.62200,23077
1.61800,23144
1.62200,23211
1.61800,23275
1.63200,23342
1.62200,23408
1.61800,23475
1.62600,23541
1.62800,23606
1.63600,23672
1.61800,23739
1.62200,23806
1.61800,23871
1.61800,23937
1.62200,24002
1.62200,24069
1.62200,24135
1.62200,24200
1.61800,24266
1.61800,24333
1.62200,24399
1.62200,24466
1.62200,24531
1.62200,24597
1.61800,24664
1.62600,24730
1.62200,24796
1.62200,24861
1.62200,24928
1.62200,24993
1.61800,25060
1.62200,25126
1.62200,25191
1.62200,25258
1.63200,25324
1.61800,25391
1.62200,25457
1.62600,25522
1.62200,25588
1.62200,25655
1.62200,25721
1.63800,25787
1.63600,25853
1.64400,25918
1.63600,25985
1.63600,26051
1.64200,26116
1.63200,26182
1.63600,26249
1.63800,26315
1.64400,26382
1.64800,26446
1.64400,26513
1.65400,26580
1.65800,26646
1.64400,26712
1.64400,26777
1.64200,26844
1.64400,26909
1.64200,26976
1.63600,27042
1.63800,27107
1.63600,27173
1.64200,27240
1.64400,27307
1.63800,27373
1.64400,27438
1.64400,27504
1.64400,27571
1.64800,27637
1.64800,27703
1.63800,27768
1.65800,27834
1.64400,27901
1.65200,27967
1.64400,28032
1.64200,28098
1.63800,28165
1.63800,28231
1.63200,28298
1.63800,28362
1.63800,28429
1.64200,28495
1.64800,28562
1.63800,28628
1.64400,28693
1.63800,28760
1.64400,28825
1.64200,28892
1.64400,28958
1.64400,29023
1.64400,29089
1.64400,29156
1.64400,29222
1.63600,29289
1.63800,29354
1.63600,29420
1.63800,29487
1.64400,29553
1.64200,29619
1.64400,29684
1.63600,29750
1.64400,29816
1.64400,29883
1.64200,29947
1.64400,30014
