power,time
1.45400,4
1.46400,17
1.46400,83
1.45400,149
1.45800,215
1.48200,282
1.45800,348
1.45800,413
1.45400,479
1.45800,545
1.45400,612
1.45400,678
1.45400,745
1.47200,809
1.45400,876
1.45800,942
1.45800,1008
1.45400,1074
1.45800,1141
1.45800,1205
1.45400,1272
1.45400,1339
1.45800,1405
1.46200,1471
1.45800,1536
1.45800,1602
1.45400,1668
1.46200,1735
1.45400,1801
1.49400,1868
1.77600,1932
1.71800,1999
1.67200,2065
1.75600,2131
1.83800,2198
2.01200,2262
1.79200,2329
1.79600,2395
1.83200,2462
1.77200,2527
1.86400,2594
1.78600,2659
1.79000,2725
1.83600,2792
1.76600,2858
1.86200,2925
1.78600,2990
1.80200,3056
1.67400,3121
1.53000,3188
1.52000,3254
1.51000,3321
1.45800,3387
1.45400,3452
1.45800,3518
1.45800,3584
1.45400,3651
1.45800,3717
1.45800,3784
1.45400,3848
1.45800,3915
1.45800,3980
1.45400,4047
1.45800,4114
1.47800,4178
1.45400,4245
1.45800,4311
1.45800,4378
1.47200,4443
1.45800,4510
1.45200,4574
1.45400,4641
1.46200,4708
1.45800,4774
1.46800,4841
1.46800,4906
1.47200,4972
1.48200,5037
1.46800,5104
1.46400,5170
1.47400,5237
1.45800,5301
1.46400,5368
1.45800,5435
1.46200,5500
1.45800,5567
1.45800,5633
1.45800,5698
1.46800,5764
1.47400,5831
1.46200,5897
1.47400,5963
1.45800,6030
1.45800,6094
1.45800,6161
1.47400,6227
1.46200,6294
1.47400,6360
1.46200,6426
1.48400,6491
1.46800,6557
1.46400,6623
1.46200,6690
1.46800,6757
1.47200,6821
1.47400,6888
1.46200,6954
1.45800,7020
1.45800,7086
1.47200,7153
1.46400,7217
1.46800,7284
1.46200,7350
1.48400,7417
1.47800,7483
1.46400,7548
1.46400,7614
1.46200,7680
1.46200,7747
1.47400,7813
1.46800,7880
1.46200,7944
1.46400,8011
1.45800,8076
1.45800,8143
1.46800,8210
1.45800,8276
1.46200,8341
1.46800,8407
1.47200,8474
1.45800,8539
1.47400,8606
1.45800,8672
1.48200,8737
1.46200,8804
1.45800,8870
1.45800,8937
1.45800,9002
1.47200,9068
1.45800,9133
1.46200,9200
1.46400,9266
1.46800,9333
1.47200,9400
1.46200,9464
1.46800,9531
1.46200,9596
1.46800,9663
1.47800,9729
1.47200,9794
1.45800,9860
1.46400,9927
1.45800,9993
1.45800,10059
1.45800,10126
1.45800,10190
1.46200,10257
1.45800,10323
1.45400,10390
1.46200,10456
1.46200,10521
1.46400,10587
1.47400,10654
1.45400,10720
1.45400,10787
1.45400,10852
1.45800,10918
1.45400,10984
1.45200,11050
1.45400,11116
1.45800,11181
1.45400,11248
1.45400,11314
1.45800,11381
1.45400,11445
1.45400,11512
