power,time
1.18200,4
1.29800,23
1.33400,89
1.41600,155
1.52400,222
1.52000,286
1.53000,353
1.53000,420
1.52400,485
1.52400,552
1.52800,618
1.52800,683
1.54000,749
1.52800,816
1.52400,882
1.52800,948
1.52800,1015
1.53000,1079
1.52800,1146
1.52800,1212
1.52800,1279
1.52800,1344
1.52800,1411
1.52800,1475
1.52800,1542
1.53000,1608
1.52800,1675
1.52800,1742
1.52800,1807
1.52800,1873
1.52800,1938
1.52800,2005
1.53600,2071
1.52800,2138
1.52800,2204
1.52800,2269
1.52800,2334
1.53600,2401
1.53000,2468
1.52800,2534
1.52800,2601
1.52800,2665
1.53000,2732
1.52800,2797
1.53000,2864
1.52800,2930
1.52800,2995
1.53400,3061
1.53000,3128
1.52800,3195
1.52800,3260
1.53000,3327
1.52800,3391
1.52800,3458
1.52800,3524
1.52800,3591
1.53000,3657
1.53000,3723
1.53000,3789
1.52800,3854
1.53000,3921
1.52800,3987
1.53400,4054
1.53000,4118
1.53000,4185
1.53000,4251
1.52800,4317
1.53400,4383
1.55000,4450
1.53000,4515
1.52800,4581
1.52800,4648
1.53000,4714
1.53000,4780
1.53000,4846
1.53000,4911
1.53000,4977
1.53400,5044
1.53400,5111
1.53000,5176
1.53000,5242
1.53000,5307
1.52800,5374
1.53000,5440
1.52800,5507
1.53000,5573
1.53000,5638
1.53400,5704
1.51800,5770
1.53000,5837
1.53000,5903
1.53400,5970
1.53000,6034
1.53600,6101
1.53000,6166
1.52800,6233
1.53000,6299
1.53000,6366
1.53600,6430
1.53000,6497
1.52800,6564
1.53000,6629
1.52800,6696
1.52800,6762
1.52800,6827
1.53000,6893
1.52800,6960
1.52800,7026
1.53400,7092
1.53000,7159
1.52800,7223
1.52800,7290
1.53000,7356
1.53000,7423
1.53000,7489
1.53000,7554
1.53000,7620
1.53000,7686
1.53000,7752
1.53000,7819
1.53000,7886
1.53000,7950
1.53000,8017
1.53400,8083
1.53400,8149
1.53000,8215
1.53000,8282
1.53000,8346
1.53600,8413
1.53400,8479
1.53000,8545
1.53000,8612
1.53000,8676
1.54000,8743
1.53000,8809
1.53000,8876
1.53000,8942
1.53000,9008
1.53000,9073
1.53600,9139
1.53000,9205
1.52800,9272
1.54400,9339
1.53000,9405
1.53000,9470
1.53000,9536
1.53000,9602
1.53000,9668
1.53000,9735
1.52800,9799
1.52800,9866
1.53000,9933
1.53000,9999
1.53000,10065
1.53600,10131
1.53400,10196
1.53000,10262
1.53000,10329
1.52800,10395
1.53600,10462
1.53000,10526
1.53000,10593
1.53000,10660
1.53000,10726
1.53000,10792
1.52800,10857
1.53000,10924
1.53000,10989
1.53000,11056
1.53000,11120
1.53600,11187
1.53000,11253
1.53000,11320
1.53000,11387
1.53000,11451
1.53000,11518
1.53000,11584
1.53000,11651
1.53000,11717
1.53000,11782
1.53000,11848
1.53000,11914
1.53000,11981
1.53000,12047
1.52800,12112
1.53600,12178
1.53000,12245
1.53000,12311
1.53000,12378
1.53400,12442
1.53400,12509
1.53000,12575
1.53000,12642
1.52800,12707
1.53000,12773
1.52800,12840
1.53000,12905
1.53000,12972
1.55400,13036
1.52800,13103
1.53400,13169
1.53400,13236
1.53000,13303
1.53000,13367
1.53000,13434
1.53000,13500
1.53000,13567
1.56400,13633
1.53000,13698
1.53400,13764
1.53000,13830
1.52800,13896
1.53000,13963
1.53000,14028
1.53000,14094
1.53600,14161
1.53400,14227
1.53000,14292
1.53000,14358
1.52800,14425
1.55000,14491
1.53400,14558
1.52800,14622
1.53000,14689
1.53000,14756
1.53000,14821
1.53000,14888
1.53000,14952
1.53000,15019
1.53000,15085
1.53000,15152
1.53600,15218
1.53400,15283
1.53000,15349
1.53000,15416
1.53000,15483
1.53000,15547
1.52800,15614
1.52800,15680
1.53000,15746
1.52800,15812
1.53000,15878
1.53000,15943
1.53400,16010
1.53000,16077
1.53000,16143
1.54000,16208
1.53000,16274
1.53000,16341
1.53000,16407
1.53000,16474
1.53400,16538
1.53400,16605
1.53000,16671
1.53000,16737
1.53000,16804
1.53000,16868
1.53000,16935
1.53000,17001
1.53000,17068
1.53000,17132
1.53000,17199
1.53600,17265
1.54000,17332
1.53000,17399
1.53000,17463
1.53000,17530
1.53000,17596
1.53000,17662
1.53000,17728
1.53000,17794
1.53000,17859
1.54600,17926
1.53000,17992
1.53000,18059
1.53000,18124
1.53600,18190
1.53600,18257
1.53400,18323
1.53000,18390
1.53000,18454
1.53000,18521
1.54000,18587
1.53000,18653
1.52800,18718
1.53000,18784
1.53000,18851
1.53000,18917
1.53000,18984
1.53000,19048
1.53400,19115
1.53000,19181
1.53000,19248
1.54000,19314
1.53000,19379
1.54600,19445
1.53400,19512
1.53000,19578
1.53000,19644
1.53000,19710
1.53000,19775
1.52800,19842
1.53000,19908
1.53000,19975
1.53000,20039
1.53000,20106
1.53000,20173
1.53600,20239
1.53000,20304
1.53000,20370
1.53000,20437
1.53000,20503
1.53600,20569
1.53600,20634
1.53000,20700
1.53000,20766
1.53000,20833
1.53000,20900
1.53000,20964
1.53000,21031
1.53000,21097
1.53000,21164
1.53000,21230
1.53400,21295
1.53400,21361
1.53000,21428
1.53000,21493
1.53000,21560
1.54400,21626
1.53400,21691
1.53000,21758
1.53000,21824
1.53000,21889
1.53000,21955
1.53400,22022
1.53400,22088
1.53000,22155
1.56600,22220
1.53600,22286
1.53000,22353
1.53000,22418
1.53000,22485
1.53000,22550
1.53600,22616
1.53400,22682
1.53000,22749
1.53000,22815
1.53000,22880
1.53400,22947
1.53400,23013
1.53400,23080
1.53400,23146
1.53400,23211
1.53000,23277
1.53600,23344
1.53400,23409
1.53400,23476
1.53000,23540
1.53000,23607
1.53000,23674
1.53400,23740
1.53400,23805
1.53000,23871
1.53400,23938
1.53000,24004
1.53000,24071
1.53400,24135
1.53000,24202
1.54000,24269
1.53000,24334
1.53400,24401
1.54600,24466
1.53000,24532
1.53000,24598
1.54000,24665
1.53600,24731
1.53000,24796
1.53000,24862
1.53000,24929
1.53000,24996
1.52400,25062
1.52800,25127
1.53000,25193
1.52400,25260
1.52800,25325
1.54000,25392
1.53000,25456
1.53000,25523
1.53000,25589
1.53000,25656
1.54000,25721
1.52800,25787
1.53400,25854
1.54000,25920
1.53400,25987
1.53000,26051
1.53000,26118
1.53400,26184
1.53600,26250
1.53600,26317
1.53400,26382
1.53400,26448
1.54600,26514
1.53000,26581
1.53400,26647
1.53400,26712
1.53000,26778
1.53000,26845
1.53000,26911
1.53000,26978
1.53400,27043
1.53000,27109
1.53400,27176
1.53400,27241
1.53400,27307
1.53600,27372
1.53600,27439
1.53400,27505
1.53000,27572
1.53400,27636
1.53000,27703
1.53000,27770
1.53000,27836
1.53000,27903
1.53000,27967
1.53000,28034
1.53000,28100
1.53000,28166
1.53400,28232
1.53600,28298
1.53000,28364
1.53000,28430
1.53400,28497
1.53000,28563
1.53400,28628
1.54000,28694
1.53400,28761
1.53000,28827
1.53000,28892
1.53400,28958
1.53400,29025
1.53000,29092
1.53400,29157
1.53000,29223
1.53000,29288
1.52400,29355
1.53600,29421
1.53400,29488
1.53400,29552
1.53400,29619
1.53400,29685
1.53000,29752
1.53000,29819
1.53400,29883
1.53000,29950
1.53000,30016
1.53000,30082
1.53000,30148
1.55400,30214
1.53600,30279
1.53600,30346
1.53000,30413
1.53400,30477
1.53000,30544
1.53000,30610
1.53400,30677
1.53400,30743
1.56400,30808
1.53000,30874
1.53000,30941
1.53000,31007
1.53000,31073
1.53400,31139
1.53400,31204
1.53400,31271
1.53400,31337
1.54000,31404
1.53400,31468
1.53400,31535
1.53000,31601
1.53400,31668
1.53000,31735
1.53000,31799
1.53000,31866
