power,time
1.18200,4
1.26800,11
1.32800,78
1.33600,144
1.33400,209
1.41200,274
1.52400,341
1.53000,407
1.52400,474
1.52000,541
1.52400,605
1.52400,672
1.52400,737
1.52400,804
1.52400,870
1.52400,937
1.52400,1001
1.52400,1068
1.52400,1133
1.52000,1200
1.52400,1267
1.53000,1333
1.53000,1398
1.52800,1464
1.52400,1531
1.52400,1596
1.52400,1663
1.52400,1729
1.52400,1794
1.53400,1861
1.52800,1927
1.52800,1994
1.52800,2059
1.52400,2124
1.52400,2190
1.52400,2257
1.52400,2323
1.53400,2390
1.53000,2457
1.52800,2521
1.52800,2588
1.52800,2653
1.52800,2720
1.52400,2786
1.52400,2851
1.52800,2917
1.52400,2984
1.52800,3050
1.52800,3116
1.52800,3183
1.52800,3247
1.53000,3314
1.52800,3380
