power,time
1.18200,4
1.31800,35
1.33400,102
1.33400,168
1.42200,235
1.51800,299
1.51800,366
1.51800,431
1.51800,498
1.52000,564
1.52800,631
1.51800,696
1.52000,762
1.51800,828
1.52000,894
1.51800,961
1.52000,1027
1.52000,1092
1.52400,1158
1.52400,1225
1.52000,1290
1.51800,1357
1.51800,1424
1.52000,1488
1.53600,1555
1.52000,1621
1.52400,1688
1.52000,1753
1.52000,1820
1.52000,1884
1.52000,1951
1.52000,2018
1.52800,2084
1.52000,2151
1.52000,2215
1.52000,2282
1.52000,2347
1.52000,2414
1.52000,2480
1.52000,2547
1.52800,2611
1.52400,2678
1.52000,2744
1.51800,2810
1.52400,2877
1.52000,2941
1.52000,3008
1.52400,3074
1.52800,3141
1.52400,3207
1.52400,3273
1.52400,3338
1.52400,3404
1.52000,3471
1.52000,3537
