power,time
1.59600,4
1.59200,45
1.30800,110
1.64400,177
1.77000,243
1.32400,310
1.54600,374
1.85800,441
1.68200,508
1.67800,573
1.51400,640
1.42800,704
1.73000,771
1.32800,837
1.55000,904
1.83800,969
1.67800,1036
1.69800,1100
1.53600,1167
1.40600,1234
1.73000,1300
1.33600,1367
1.55400,1431
1.79200,1498
1.68200,1563
1.72000,1630
1.56400,1696
1.37400,1761
1.73400,1827
1.36400,1894
1.53000,1961
1.77200,2026
1.70000,2092
1.73600,2157
1.56000,2224
1.35000,2290
1.74400,2357
1.38000,2421
1.51000,2488
1.74600,2554
1.71800,2620
1.73000,2687
1.56000,2751
1.35400,2818
1.72000,2884
1.44200,2951
1.49400,3017
1.69400,3082
1.74400,3148
1.75400,3214
1.56000,3281
1.34600,3347
1.67800,3412
1.48200,3478
1.46800,3545
1.68400,3611
1.73400,3677
1.78000,3743
1.56000,3808
1.36000,3874
1.67400,3941
1.53000,4008
1.44600,4074
1.65400,4139
1.72600,4205
1.80200,4271
1.56000,4337
1.37600,4404
1.64200,4468
1.55400,4535
1.42200,4601
1.60200,4667
1.75400,4734
1.79800,4798
1.59000,4865
1.40000,4931
1.59000,4998
1.59600,5064
1.40600,5130
1.57200,5195
1.78200,5261
1.79800,5327
1.60600,5394
1.42200,5461
1.55400,5525
1.65200,5592
1.38000,5657
1.55400,5724
1.82600,5790
1.77200,5855
1.62800,5921
1.44800,5988
1.51400,6055
1.71000,6120
1.35600,6186
1.55400,6251
1.83600,6318
1.75000,6384
1.63800,6451
1.46800,6515
1.48200,6582
1.71400,6648
1.33600,6714
1.55400,6781
1.85200,6847
1.71800,6912
1.65200,6978
1.48800,7045
1.45800,7111
1.73600,7177
1.32800,7242
1.55400,7308
1.86200,7374
1.69000,7441
1.67400,7508
1.51400,7572
1.43600,7639
1.72600,7704
1.32400,7771
1.55000,7837
1.84400,7904
1.67800,7968
1.69000,8035
1.53600,8102
1.41200,8167
1.72600,8234
1.33000,8298
1.55400,8365
1.80200,8431
1.69400,8498
1.71800,8564
1.56000,8629
1.38200,8695
1.73400,8761
1.35600,8828
1.53600,8894
1.78600,8959
1.69800,9025
1.74600,9092
1.56600,9158
1.35000,9224
1.74600,9289
1.39200,9355
1.52000,9421
1.76200,9488
1.71800,9555
1.73000,9621
1.56000,9686
1.35000,9751
1.73000,9818
1.41000,9884
1.49400,9951
1.70800,10015
1.74000,10082
1.75000,10148
1.56000,10215
1.34000,10280
1.68800,10346
1.47400,10413
1.47200,10478
1.68400,10545
1.73600,10609
1.77600,10676
1.55600,10742
1.35400,10809
1.68200,10873
1.53000,10940
1.44800,11007
1.67200,11073
1.73400,11140
1.80200,11204
1.55600,11271
1.37400,11337
1.65200,11403
1.55400,11468
1.42600,11535
1.60800,11601
1.75000,11667
1.79600,11734
1.58000,11798
1.39600,11865
1.60000,11931
1.58200,11998
1.40600,12062
1.57600,12129
1.78000,12195
1.79800,12262
1.60800,12329
1.41800,12393
1.55600,12460
1.67400,12525
1.38200,12592
1.54400,12657
1.81800,12723
1.78600,12789
1.61800,12856
1.44600,12920
1.51800,12987
1.68200,13054
1.36400,13120
1.55600,13187
1.83200,13251
1.75400,13318
1.63600,13384
1.46800,13451
1.48800,13515
1.71400,13582
1.33600,13647
1.55400,13714
1.84200,13781
1.72400,13845
1.65200,13912
1.48800,13978
1.45400,14045
1.73600,14109
1.32800,14176
1.54600,14242
1.85400,14309
1.69400,14376
1.67200,14440
1.51000,14507
1.43800,14573
1.73000,14639
1.32400,14704
1.55000,14770
1.84800,14836
1.67400,14903
1.69400,14969
1.53400,15034
1.41200,15101
1.73400,15167
1.33000,15234
1.55400,15298
1.81200,15365
1.67400,15431
1.71800,15498
1.55600,15563
1.38600,15629
1.74000,15695
1.35600,15761
1.53600,15828
1.79000,15892
1.69000,15959
1.74600,16025
1.57000,16092
