power,time
1.55600,4
1.54600,24
1.34400,91
1.46200,156
1.63600,223
1.31800,289
1.51400,354
1.68200,420
1.61200,487
1.57200,553
1.58600,619
1.58200,686
1.58200,750
1.60000,817
1.58200,883
1.49000,949
1.39000,1015
1.60600,1080
1.30400,1146
1.51400,1213
1.71400,1280
1.60200,1346
1.58000,1411
1.58600,1477
1.58200,1543
1.58600,1609
1.60000,1676
1.58600,1740
1.39200,1807
1.48800,1874
1.48800,1940
1.38000,2006
1.55600,2071
1.71800,2137
1.55000,2203
1.58600,2270
1.58200,2336
1.58200,2401
1.59600,2467
1.58200,2534
1.57200,2600
1.30400,2666
1.60600,2733
1.38200,2797
1.45400,2864
1.63200,2930
1.64800,2996
1.57000,3062
1.57200,3127
1.58200,3193
1.58600,3260
1.60000,3327
1.59000,3393
1.57600,3458
1.32400,3524
1.59000,3590
1.30800,3656
1.50800,3723
1.71000,3789
1.60200,3854
1.57200,3921
1.58200,3987
1.58600,4053
1.58200,4118
1.59600,4184
1.58600,4250
1.46200,4317
1.39200,4383
1.62200,4450
1.31800,4514
1.51800,4581
1.71800,4647
1.59200,4713
1.58000,4780
1.58600,4844
1.58600,4911
1.58600,4977
1.59600,5043
1.58000,5109
1.37600,5174
1.52400,5240
1.46800,5307
1.39600,5374
1.58600,5440
1.70000,5506
1.53600,5571
1.58600,5637
1.58200,5703
1.58200,5770
1.59600,5836
1.58200,5901
1.57000,5967
1.30400,6034
1.60000,6100
1.36600,6166
1.46800,6231
1.65800,6297
1.62600,6364
1.56600,6430
1.58200,6496
1.58600,6561
1.58200,6627
1.60000,6694
1.58200,6760
1.54600,6827
1.34600,6893
1.58000,6958
1.30800,7024
1.50800,7090
1.71400,7156
1.59600,7223
1.57200,7287
1.58600,7354
1.58200,7421
1.58200,7487
1.59600,7553
1.59000,7618
1.44600,7684
1.41600,7750
1.57200,7817
1.33400,7883
1.51800,7948
1.73600,8014
1.58000,8081
1.58200,8147
1.58600,8213
1.58200,8278
1.58200,8344
1.59600,8411
1.58000,8477
1.36000,8544
1.53600,8608
1.45400,8675
1.41000,8740
1.61600,8807
1.69400,8874
1.54400,8938
1.58200,9005
1.58600,9071
1.58200,9138
1.59600,9203
1.58600,9269
1.56000,9334
1.31000,9401
1.61200,9468
1.36000,9534
1.48200,9599
1.68400,9665
1.61600,9732
1.57000,9797
1.58200,9864
1.58600,9928
1.58200,9995
1.59600,10061
1.58600,10128
1.52400,10195
1.37000,10259
1.58000,10326
1.30400,10392
1.51000,10459
1.72600,10523
1.60000,10590
1.57600,10655
1.58600,10722
1.58600,10788
1.58600,10853
1.59600,10920
1.58200,10986
1.42800,11053
1.43800,11117
1.54600,11184
1.35000,11250
1.51000,11317
1.73600,11383
1.56600,11448
1.58200,11514
1.58200,11581
1.58200,11647
1.58000,11712
1.59000,11778
1.57200,11844
1.34600,11911
1.55000,11977
1.42600,12042
1.42200,12108
1.62800,12175
1.68800,12242
1.56000,12306
1.58600,12373
1.58200,12439
1.58200,12506
1.59600,12570
1.58200,12637
1.55600,12703
1.31000,12769
1.60200,12835
1.33600,12900
1.49400,12967
1.69000,13033
1.61600,13100
1.56400,13164
1.58600,13231
1.58200,13297
1.58600,13364
1.59600,13430
1.59600,13495
1.50400,13561
1.38200,13628
1.58600,13694
1.30400,13759
1.51400,13826
1.71000,13891
1.60600,13958
1.57600,14024
1.58200,14089
1.58200,14155
1.58200,14222
1.59600,14289
1.58200,14353
1.41200,14420
1.46400,14486
1.55600,14553
1.36400,14617
1.53600,14684
1.72600,14750
1.56000,14816
1.58600,14882
1.58200,14948
1.58200,15014
1.58200,15080
1.59600,15147
1.57000,15211
1.33400,15278
1.59200,15344
1.39600,15411
1.43800,15477
1.62800,15542
1.66400,15608
1.57200,15675
1.59200,15742
1.59000,15806
1.59200,15873
1.60000,15938
1.58600,16005
1.55400,16071
1.30800,16136
1.60200,16202
1.32000,16269
1.51000,16335
1.68800,16400
1.61800,16467
1.57200,16533
1.58200,16600
1.58200,16664
1.58200,16731
1.59600,16797
1.59200,16864
1.47800,16929
1.39000,16995
1.60600,17060
1.30000,17127
1.51400,17194
1.71400,17258
1.60200,17325
1.58000,17391
1.58200,17458
1.58200,17524
1.58200,17589
1.59600,17655
1.58000,17722
1.39600,17789
1.48200,17853
1.49000,17920
1.38000,17986
1.55600,18052
1.71800,18118
1.55000,18183
1.58600,18249
1.58200,18316
1.58200,18382
1.60000,18447
1.58600,18514
1.56600,18580
1.31400,18647
1.60600,18711
1.38200,18778
1.45200,18844
1.62800,18911
1.65200,18976
1.56600,19042
1.58200,19108
1.58600,19174
1.58600,19241
1.60000,19305
1.59000,19372
1.55600,19438
1.32000,19505
1.61600,19571
1.30400,19636
1.50800,19702
1.71000,19769
1.60200,19836
1.57200,19900
1.58600,19967
1.58600,20033
1.58200,20099
1.60000,20165
1.59000,20231
1.46200,20296
1.39200,20363
1.60000,20429
1.31800,20494
1.51400,20561
1.71800,20627
1.59600,20694
1.58000,20758
1.58200,20825
1.58600,20891
1.58200,20958
1.59600,21024
1.57600,21089
1.38000,21155
1.52000,21221
1.47200,21288
1.39200,21353
1.58200,21419
1.70400,21485
1.53600,21552
1.58600,21618
1.58600,21683
1.58200,21749
1.59600,21816
1.58600,21882
1.56400,21947
1.30800,22014
1.60000,22080
1.37000,22147
1.46800,22212
1.65200,22278
1.62800,22343
1.56600,22410
1.58600,22476
1.58600,22541
1.58600,22607
1.59600,22674
1.58600,22741
1.54600,22807
1.34400,22872
1.58200,22938
1.30800,23005
1.51400,23071
1.70800,23136
1.59600,23202
1.57200,23269
1.58600,23335
1.58600,23400
1.58600,23466
1.59600,23532
1.58600,23599
1.44600,23665
1.41000,23730
1.57200,23796
1.33400,23863
1.51800,23929
1.73600,23994
1.58000,24061
1.58000,24127
1.58600,24194
1.58600,24259
1.58600,24325
1.59600,24391
1.56600,24457
1.36400,24523
1.53400,24588
1.48200,24654
1.40600,24721
1.60800,24788
1.69800,24852
1.54400,24919
1.58200,24985
1.58200,25052
1.58600,25118
1.59600,25183
1.58600,25249
1.56000,25316
1.31000,25382
