power,time
1.59600,4
1.61200,13
1.46200,78
1.42200,145
1.65800,211
1.38600,276
1.52000,342
1.72600,408
1.68200,474
1.59200,541
1.54600,608
1.39600,672
1.58600,739
1.34600,805
1.55400,871
1.77200,937
1.70000,1002
1.55000,1068
1.44600,1135
1.46800,1202
1.51800,1267
1.42600,1333
1.60200,1398
1.74400,1465
1.64400,1531
1.55600,1598
1.34400,1664
1.60600,1729
1.39000,1795
1.52000,1861
1.72600,1928
1.68200,1994
1.59200,2059
1.54600,2125
1.39600,2192
1.58200,2258
1.34400,2324
1.55400,2389
1.77200,2455
1.70800,2521
1.55000,2588
1.44800,2655
1.46800,2719
1.54600,2786
1.42600,2851
1.60200,2918
1.74000,2984
1.64200,3051
1.55600,3115
1.34400,3182
1.60600,3248
1.39200,3314
1.51800,3381
1.72600,3445
1.68400,3512
1.59000,3578
1.54600,3645
1.39600,3711
1.58200,3776
1.34600,3842
1.55400,3908
1.77200,3975
1.70000,4041
1.55600,4106
1.44600,4172
1.46800,4239
1.51800,4305
1.42600,4371
1.60000,4436
1.74400,4502
1.64400,4568
1.55400,4635
1.35000,4702
1.60800,4767
1.39200,4833
1.52000,4898
1.72600,4965
1.67800,5031
1.59000,5098
1.54600,5162
1.39600,5229
1.58200,5295
1.34600,5361
1.55000,5428
1.77200,5492
1.70400,5559
1.55000,5625
1.44600,5692
1.46800,5758
1.54400,5824
1.42600,5889
1.60000,5955
1.74000,6021
1.64800,6088
1.55600,6155
1.34000,6219
1.60600,6286
1.39200,6351
1.51800,6418
1.72600,6484
1.68200,6549
1.59000,6615
1.54600,6682
1.39600,6749
1.59000,6814
1.34600,6880
1.55400,6945
1.77200,7012
1.70000,7078
1.55000,7145
1.44800,7211
1.46400,7276
1.52000,7342
1.42600,7408
1.61600,7475
1.74400,7541
1.64400,7606
1.55600,7672
1.34400,7739
1.60600,7805
1.39000,7871
1.51800,7936
1.72600,8002
1.68200,8068
1.59200,8135
1.54600,8202
1.39600,8266
1.58200,8333
1.34600,8398
1.55400,8465
1.77600,8531
1.69800,8596
1.55600,8662
1.44800,8729
1.46800,8795
1.54600,8861
1.42600,8928
1.60000,8992
1.74400,9059
1.63800,9125
1.55000,9192
1.34400,9258
1.60600,9323
1.38600,9389
1.51400,9455
1.72600,9522
1.68200,9588
1.59000,9653
1.56000,9719
1.39600,9786
1.58000,9851
1.34600,9918
1.55000,9984
1.77200,10049
1.69400,10115
1.54600,10182
1.44800,10249
1.46400,10313
1.52000,10380
1.42600,10446
1.60000,10513
1.74400,10578
1.64400,10644
1.55600,10710
1.34400,10776
1.60800,10842
1.39200,10907
1.52000,10974
1.72600,11040
1.67400,11107
1.58000,11173
1.55000,11238
1.39200,11304
1.58000,11371
1.34600,11437
1.55000,11502
1.77200,11568
1.70400,11635
1.55000,11701
1.45400,11766
1.46400,11833
1.54600,11898
1.42600,11965
1.60000,12031
1.74400,12096
1.64800,12162
1.55600,12229
1.34400,12296
1.60600,12360
1.39000,12427
1.51800,12493
1.73000,12560
1.67800,12626
1.59000,12691
1.54600,12757
1.39600,12824
1.58600,12889
1.34600,12955
1.55000,13021
1.77200,13087
1.69800,13154
1.55400,13220
1.44800,13285
1.46400,13351
1.52000,13418
1.42600,13484
1.60000,13549
1.74400,13615
1.64800,13682
1.55600,13749
1.34400,13814
1.60600,13880
1.39000,13946
1.51800,14012
1.72600,14078
1.67400,14143
1.59200,14209
1.55000,14276
1.39600,14343
1.58000,14407
1.34400,14474
1.55400,14540
1.77200,14607
1.69800,14673
1.56000,14738
1.44800,14804
1.46200,14871
1.55000,14936
1.41800,15002
1.59600,15069
1.74400,15134
1.64400,15201
1.55600,15267
1.34600,15332
