power,time
0.14400,4
0.27200,69
0.27200,133
0.31400,202
0.31400,266
0.32400,331
0.28600,399
0.28600,464
0.28600,532
0.28600,596
0.40400,665
0.40400,729
0.40400,794
0.40400,861
0.40400,926
0.45600,995
0.45600,1059
0.33000,1124
0.38600,1192
0.38600,1257
0.41000,1324
0.41000,1389
0.41000,1453
0.41000,1522
0.41000,1586
0.47800,1654
0.47800,1720
0.48200,1787
0.48800,1852
0.48800,1916
0.37000,1985
0.37000,2049
0.37000,2117
0.37000,2182
0.37000,2247
0.37000,2314
0.37000,2379
0.37000,2448
0.37000,2512
0.37000,2580
0.37000,2644
0.37000,2710
0.37000,2777
0.37000,2842
0.41200,2910
0.48800,2975
0.48800,3039
0.84200,3107
0.84200,3173
0.84200,3240
0.84200,3305
0.83800,3369
0.83200,3438
0.83200,3502
0.77000,3570
0.77000,3634
0.51400,3703
0.63200,3768
0.63200,3832
0.65800,3901
0.65800,3965
0.62600,4033
0.63000,4097
0.63000,4162
0.62600,4230
0.62600,4295
0.59400,4362
0.59400,4428
0.52800,4493
0.83800,4560
0.83800,4625
1.00000,4693
1.00000,4758
0.83600,4825
0.99200,4891
0.99200,4955
0.95600,5023
0.95600,5087
0.96000,5156
1.01000,5221
1.01000,5285
1.15000,5354
1.15000,5418
1.15000,5486
1.15000,5550
1.16000,5615
1.15600,5683
1.15600,5748
1.21800,5816
1.21800,5881
1.15000,5949
1.15000,6013
1.15000,6078
1.31400,6146
1.31400,6211
1.48800,6278
1.41600,6344
1.41600,6408
1.14400,6476
1.14400,6541
1.40000,6609
1.40000,6674
1.18600,6738
1.55400,6807
1.55400,6871
1.49000,6939
1.49000,7003
1.60000,7068
1.81800,7137
1.81800,7201
1.84800,7270
1.84800,7334
1.76200,7402
1.71000,7466
1.71000,7531
1.51400,7599
1.51400,7664
1.42200,7732
1.47400,7797
1.47400,7862
1.72400,7929
1.72400,7995
1.84400,8062
1.84400,8127
1.70800,8191
1.54000,8260
1.54000,8324
1.60800,8392
1.60800,8456
1.51400,8522
1.69000,8590
1.69000,8654
1.72000,8723
1.72000,8787
1.39200,8855
1.39200,8919
1.39200,8985
1.42600,9052
1.42600,9117
1.40600,9186
1.40600,9250
1.34400,9315
1.36400,9382
1.36400,9448
1.73600,9515
1.73600,9580
1.58600,9644
1.78600,9713
1.78600,9777
1.52800,9845
1.52800,9911
1.60600,9978
1.72600,10043
1.72600,10107
1.88000,10176
1.88000,10240
1.95600,10305
1.72400,10373
1.72400,10438
1.63800,10506
1.63800,10571
1.42800,10636
1.31000,10703
1.31000,10769
1.08200,10836
1.08200,10901
1.07800,10966
1.07200,11034
1.07200,11098
1.07400,11167
1.07400,11231
1.07800,11296
1.07800,11365
1.07800,11429
1.07800,11497
1.07400,11562
1.07400,11627
1.07800,11694
1.07800,11760
1.08200,11827
1.08200,11892
1.08200,11958
1.14400,12025
1.14400,12090
1.28200,12158
1.27400,12223
1.27400,12287
1.27400,12356
1.27400,12420
1.27800,12485
1.42600,12553
1.42600,12618
1.44200,12686
1.44200,12751
1.27800,12816
1.27400,12883
1.27400,12948
1.27400,13016
