power,current,time
0.11200,21.20000,4
0.11200,21.20000,9
0.11200,21.20000,14
0.11200,21.20000,19
0.11200,21.20000,24
0.11200,21.20000,29
0.11200,21.20000,33
0.11200,21.20000,39
0.11200,21.20000,44
0.11200,21.20000,49
0.11200,21.20000,54
0.11200,21.20000,59
0.11200,21.20000,64
0.29400,56.80000,68
0.29400,56.80000,73
0.29400,56.80000,78
0.29400,56.80000,84
0.29400,56.80000,89
0.29400,56.80000,94
0.29400,56.80000,99
0.29400,56.80000,103
0.29400,56.80000,108
0.29400,56.80000,113
0.29400,56.80000,118
0.29400,56.80000,124
0.29400,56.80000,129
0.29400,54.40000,134
0.28600,54.40000,139
0.28600,54.40000,144
0.28600,54.40000,148
0.28600,54.40000,153
0.28600,54.40000,158
0.28600,54.40000,163
0.28600,54.40000,169
0.28600,54.40000,174
0.28600,54.40000,179
0.28600,54.40000,184
0.28600,54.40000,189
0.28600,54.40000,193
0.28600,47.60000,198
0.25000,47.60000,203
0.25000,47.60000,209
0.25000,47.60000,214
0.25000,47.60000,219
0.25000,47.60000,224
0.25000,47.60000,229
0.25000,47.60000,234
0.25000,47.60000,239
0.25000,47.60000,243
0.25000,47.60000,248
0.25000,47.60000,254
0.25000,47.60000,259
0.25000,62.50000,264
0.32400,62.50000,269
0.32400,62.50000,274
0.32400,62.50000,279
0.32400,62.50000,284
0.32400,62.50000,289
0.32400,62.50000,294
0.32400,62.50000,299
0.32400,62.50000,304
0.32400,62.50000,309
0.32400,62.50000,314
0.32400,62.50000,319
0.32400,62.50000,324
0.32400,62.50000,329
0.33800,64.90000,334
0.33800,64.90000,339
0.33800,64.90000,344
0.33800,64.90000,349
0.33800,64.90000,354
0.33800,64.90000,359
0.33800,64.90000,364
0.33800,64.90000,369
0.33800,64.90000,374
0.33800,64.90000,380
0.33800,64.90000,385
0.33800,64.90000,389
0.33800,64.90000,394
0.31800,60.90000,399
0.31800,60.90000,404
0.31800,60.90000,409
0.31800,60.90000,414
0.31800,60.90000,419
0.31800,60.90000,425
0.31800,60.90000,430
0.31800,60.90000,435
0.31800,60.90000,439
0.31800,60.90000,444
0.31800,60.90000,449
0.31800,60.90000,454
0.31800,60.90000,459
0.31800,70.09999,465
0.36400,70.09999,470
0.36400,70.09999,475
0.36400,70.09999,480
0.36400,70.09999,485
0.36400,70.09999,489
0.36400,70.09999,494
0.36400,70.09999,499
0.36400,70.09999,504
0.36400,70.09999,510
0.36400,70.09999,515
0.36400,70.09999,520
0.36400,70.09999,525
0.36400,79.90000,530
0.41600,79.90000,535
0.41600,79.90000,539
0.41600,79.90000,544
0.41600,79.90000,550
0.41600,79.90000,555
0.41600,79.90000,560
0.41600,79.90000,565
0.41600,79.90000,570
0.41600,79.90000,575
0.41600,79.90000,580
0.41600,79.90000,585
0.41600,79.90000,589
0.41600,79.80000,595
0.41600,79.80000,600
0.41600,79.80000,605
0.41600,79.80000,610
0.41600,79.80000,615
0.41600,79.80000,620
0.41600,79.80000,625
0.41600,79.80000,630
0.41600,79.80000,635
0.41600,79.80000,640
0.41600,79.80000,645
0.41600,79.80000,650
0.41600,79.80000,655
0.41600,79.80000,660
0.41600,79.80000,665
0.41600,79.80000,670
0.41600,79.80000,675
0.41600,79.80000,680
0.41600,79.80000,685
0.41600,79.80000,690
0.41600,79.80000,695
0.41600,79.80000,700
0.41600,79.80000,705
0.41600,79.80000,710
0.41600,79.80000,715
0.41600,79.80000,721
0.41600,79.80000,726
0.41600,80.40000,730
0.41600,80.40000,735
0.41600,80.40000,740
0.41600,80.40000,745
0.41600,80.40000,750
0.41600,80.40000,755
0.41600,80.40000,760
0.41600,80.40000,766
0.41600,80.40000,771
0.41600,80.40000,775
0.41600,80.40000,780
0.41600,80.40000,785
0.41600,80.40000,790
0.43000,82.90000,795
0.43000,82.90000,800
0.43000,82.90000,806
0.43000,82.90000,811
0.43000,82.90000,816
0.43000,82.90000,820
0.43000,82.90000,825
0.43000,82.90000,830
0.43000,82.90000,835
0.43000,82.90000,840
0.43000,82.90000,845
0.43000,82.90000,851
0.43000,82.90000,856
0.43000,87.00000,861
0.45200,87.00000,865
0.45200,87.00000,870
0.45200,87.00000,875
0.45200,87.00000,880
0.45200,87.00000,885
0.45200,87.00000,891
0.45200,87.00000,896
0.45200,87.00000,901
0.45200,87.00000,906
0.45200,87.00000,910
0.45200,87.00000,915
0.45200,87.00000,920
0.45200,52.10000,925
0.27200,52.10000,930
0.27200,52.10000,936
0.27200,52.10000,941
0.27200,52.10000,946
0.27200,52.10000,951
0.27200,52.10000,956
0.27200,52.10000,960
