power,time
0.25000,4
0.25000,65
0.26200,133
0.26200,197
0.29400,266
0.29400,331
0.28600,398
0.28200,464
0.28200,528
0.40000,596
0.40000,660
0.40400,729
0.40400,793
0.40400,858
0.44600,925
0.44600,991
0.30200,1059
0.30200,1123
0.33000,1188
0.38400,1256
0.38400,1321
0.40600,1388
0.40600,1453
0.47800,1521
0.47600,1586
0.47600,1650
0.47600,1719
0.47600,1784
0.48200,1851
0.48200,1916
0.39600,1980
0.37000,2049
0.37000,2113
0.37000,2181
0.37000,2246
0.37000,2311
0.37000,2379
0.37000,2443
0.37000,2512
0.37000,2576
0.37000,2644
0.37000,2708
0.37000,2774
0.37000,2841
0.37000,2906
0.47600,2975
0.47600,3039
0.81200,3104
0.83800,3171
0.83800,3236
0.83800,3304
0.83800,3369
0.83000,3433
0.83600,3502
0.83600,3566
0.53000,3634
0.53000,3698
0.63200,3767
0.67200,3832
0.67200,3896
0.62200,3964
0.62200,4029
0.62600,4097
0.62600,4161
0.62600,4226
0.56000,4294
0.56000,4359
0.59600,4427
0.59600,4491
0.87400,4557
0.94400,4624
0.94400,4689
0.83600,4757
0.83600,4822
0.97400,4889
0.87800,4954
0.87800,5019
1.01200,5087
1.01200,5152
1.11400,5220
1.16000,5285
1.16000,5349
1.28800,5417
1.28800,5481
1.55400,5550
1.55400,5614
1.45800,5679
1.25800,5748
1.25800,5812
1.39600,5880
1.39600,5944
1.33600,6009
1.43800,6077
1.43800,6142
1.31800,6210
1.31800,6275
1.26800,6339
1.53600,6407
1.53600,6473
1.68200,6540
1.68200,6605
1.64400,6669
1.46800,6738
1.46800,6802
1.25800,6870
1.25800,6935
1.40000,7003
1.25600,7067
1.25600,7132
1.33000,7201
1.33000,7265
1.57200,7333
1.70400,7398
1.70400,7463
1.46200,7530
1.46200,7595
1.30000,7663
1.43800,7728
1.43800,7792
1.31800,7861
1.31800,7926
1.50000,7993
1.50800,8058
1.50800,8123
1.22600,8191
1.22600,8255
1.23800,8324
1.23800,8388
1.25200,8453
1.41600,8521
1.41600,8585
1.55600,8654
1.55600,8718
1.33000,8783
1.50800,8851
1.50800,8916
1.40600,8983
1.40600,9048
1.64200,9116
1.72000,9181
1.72000,9245
2.01800,9314
2.01800,9379
1.74000,9446
1.40200,9511
1.40200,9576
1.30000,9644
1.30000,9708
1.53400,9777
1.53400,9841
1.54000,9906
1.71800,9974
1.71800,10039
1.71000,10107
1.63200,10171
