power,time
0.37000,2
0.37000,5
0.37000,7
0.37000,9
0.37000,11
0.37000,14
0.37000,16
0.37000,18
0.37000,21
0.37000,23
0.37000,25
0.37000,28
0.37000,30
0.37000,32
0.37000,35
0.37000,37
0.37000,39
0.37000,43
0.37000,45
0.37000,47
0.37000,49
0.37000,52
0.37000,54
0.37000,56
0.37000,59
0.37000,61
0.37000,63
0.37000,66
0.37000,68
0.37000,70
0.37000,73
0.37000,75
0.37000,77
0.37000,80
0.37000,82
0.37000,85
0.37000,88
0.37000,90
0.37000,92
0.37000,95
0.37000,97
0.37000,99
0.37000,102
0.37000,104
0.37000,106
0.37000,109
0.37000,111
0.37000,113
0.37000,116
0.37000,118
0.37000,120
0.37000,123
0.37000,126
0.37000,129
0.37000,131
0.37000,133
0.37000,136
0.37000,138
0.37000,140
0.37000,143
0.37000,145
0.37000,148
0.37000,150
0.37000,152
0.37000,155
0.37000,157
0.37000,159
0.37000,162
0.37000,164
0.37000,167
0.37000,170
0.37000,172
0.37000,175
0.37000,177
0.37000,179
0.37000,182
0.37000,184
0.37000,187
0.37000,189
0.37000,191
0.37000,194
0.37000,196
0.37000,198
0.37000,201
0.37000,203
0.37000,205
0.37000,208
0.37000,210
0.37000,214
0.37000,216
0.37000,218
0.37000,221
0.37000,223
0.37000,225
0.37000,228
0.37000,230
0.37000,233
0.37000,235
0.37000,237
0.37000,240
0.37000,242
0.37000,244
0.37000,247
0.37000,249
0.37000,252
0.37000,255
0.37000,257
0.37000,260
0.37000,262
0.37000,264
0.37000,267
0.37000,269
0.37000,272
0.37000,274
0.37000,276
0.37000,279
0.37000,281
0.37000,283
0.37000,286
0.37000,288
0.37000,290
0.37000,293
0.37000,295
0.37000,299
0.37000,301
0.37000,303
0.37000,306
0.37000,308
0.37000,310
0.37000,313
0.37000,315
0.37000,318
0.37000,320
0.37000,322
0.37000,325
0.37000,327
0.37000,329
0.37000,332
0.37000,334
0.37000,337
0.37000,340
0.37000,342
0.37000,345
0.37000,347
0.37000,349
0.37000,352
0.37000,354
0.37000,356
0.37000,359
0.37000,361
0.37000,364
0.37000,366
0.37000,368
0.37000,371
0.37000,373
0.37000,375
0.37000,378
0.37000,380
0.37000,384
0.37000,386
0.37000,388
0.37000,391
0.37000,393
0.37000,395
0.37000,398
0.37000,400
0.37000,403
0.37000,405
0.37000,407
0.37000,410
0.37000,412
0.37000,414
0.37000,417
0.37000,419
0.37000,422
0.37000,425
0.37000,427
0.37000,430
0.37000,432
0.37000,434
0.37000,437
0.37000,439
0.37000,441
0.37000,444
0.37000,446
0.37000,449
0.37000,451
0.37000,453
0.37000,456
0.37000,458
0.37000,460
0.37000,463
0.37000,465
0.37000,469
0.37000,471
0.37000,473
0.37000,476
0.37000,478
0.37000,480
0.37000,483
0.37000,485
0.37000,488
0.37000,490
0.37000,492
0.37000,495
0.37000,497
0.37000,499
0.37000,502
0.37000,504
0.37000,506
0.37000,510
0.37000,512
0.37000,515
0.37000,517
0.37000,519
0.37000,522
0.37000,524
0.37000,526
0.37000,529
0.37000,531
0.37000,534
0.37000,536
0.37000,538
0.37000,541
0.37000,543
0.37000,545
0.37000,548
0.37000,550
0.37000,554
0.37000,556
0.37000,558
0.37000,561
0.37000,563
0.37000,565
0.37000,568
0.37000,570
0.37000,573
0.37000,575
0.37000,577
0.37000,580
0.37000,582
0.37000,584
0.37000,587
0.37000,589
0.37000,591
0.37000,594
0.37000,597
0.37000,600
0.37000,602
0.37000,604
0.37000,607
0.41000,609
0.41000,611
0.51400,614
0.51400,616
0.51400,619
0.51400,621
0.47200,623
0.47200,626
0.50400,628
0.50400,630
0.49800,633
0.49800,635
0.47200,639
0.47200,641
0.51400,643
0.51400,646
0.51800,648
0.51800,650
0.51400,653
0.51400,655
0.51400,658
0.49800,660
0.49800,662
0.47200,665
0.47200,667
0.47600,669
0.47600,672
0.47600,674
0.47600,677
0.47600,679
0.47600,682
0.47200,685
0.47200,687
0.47600,689
0.47600,692
0.47600,694
0.47600,697
0.47600,699
0.47600,701
0.47600,704
0.47600,706
0.47600,708
0.47600,711
0.47600,713
0.47200,716
0.47200,718
0.47600,720
0.47600,724
0.47200,726
0.47200,728
0.48200,731
0.48200,733
0.54400,736
0.54400,738
0.70800,740
0.70800,743
0.94000,745
0.94000,747
0.94400,750
0.94400,752
0.84600,755
0.84600,757
0.83600,759
0.83600,762
0.83600,764
0.84200,767
0.84200,770
0.84200,772
0.84200,775
0.84600,777
0.84600,779
0.84200,782
0.84200,784
0.84600,786
0.84600,789
0.84600,791
0.84600,794
0.84600,796
0.84600,798
0.84200,801
0.84200,803
0.84600,805
0.84600,809
0.84600,811
0.84600,814
0.84600,816
0.84200,818
0.84200,821
0.84600,823
0.84600,825
0.84600,828
0.84600,830
0.84600,833
0.84600,835
0.84200,837
0.84200,840
0.84600,842
0.84600,844
0.84600,847
0.84600,849
0.84600,853
0.84600,855
0.84600,857
0.84600,860
0.84800,862
0.84600,864
0.84600,867
0.84200,869
0.84200,872
0.84600,874
0.84600,876
0.84600,879
0.84600,881
0.84200,883
0.84200,886
0.84600,888
0.84600,891
0.84600,894
0.84600,896
0.84600,899
0.84600,901
0.84600,903
0.84600,906
0.84600,908
0.84600,911
0.84600,913
0.84200,915
0.84200,918
0.84200,920
0.84200,922
0.84200,925
0.84200,927
0.84600,930
0.84600,932
0.84600,934
0.84600,938
0.84600,940
0.84600,942
0.84600,945
0.84600,947
0.84600,950
0.84600,952
0.84200,954
0.84200,957
0.84200,959
0.84200,961
0.84200,964
0.84200,966
0.84200,969
0.84200,971
0.84200,973
0.84200,976
0.84200,978
0.84200,981
0.84200,984
0.84600,986
0.84600,989
0.84800,991
0.84800,993
0.83800,996
0.83800,998
0.84200,1000
0.84200,1003
0.84200,1005
0.84200,1008
0.84600,1010
0.84600,1012
0.84600,1015
0.84600,1017
0.84600,1020
0.84200,1023
0.84200,1026
0.84600,1028
0.84600,1030
0.85200,1033
0.85200,1035
0.84800,1038
0.84800,1040
0.84200,1042
0.84200,1045
0.84800,1047
0.84800,1050
0.84200,1052
0.84200,1054
0.84200,1057
0.88400,1059
0.88400,1062
0.84800,1065
0.84800,1067
0.84200,1070
0.84200,1072
0.84600,1075
0.84600,1077
0.85200,1080
0.85200,1082
0.85600,1084
0.85600,1087
0.84600,1089
0.81200,1092
0.81200,1094
0.80000,1096
0.80000,1099
0.80000,1101
0.80000,1104
0.79600,1106
0.79600,1109
0.84800,1112
0.84800,1114
0.85200,1117
0.85200,1119
0.85200,1122
0.85200,1124
0.85600,1126
0.85600,1129
0.85600,1131
0.85200,1134
0.85200,1136
0.85200,1138
0.85200,1141
0.85600,1143
0.85600,1146
0.83800,1148
0.83800,1152
0.83800,1154
0.83800,1156
0.84200,1159
0.84200,1161
0.85200,1164
0.86200,1166
0.86200,1168
0.86200,1171
0.86200,1173
0.86200,1176
0.86200,1178
0.86200,1180
0.86200,1183
0.86200,1185
0.86200,1188
0.86200,1190
0.86200,1194
0.86200,1196
0.86200,1198
0.86200,1201
0.86200,1203
0.86200,1206
0.83600,1208
0.83600,1210
0.83600,1213
0.83600,1215
0.84600,1218
0.84600,1220
0.84200,1223
0.84200,1225
0.84200,1227
0.84200,1230
0.83800,1232
0.83800,1236
0.83800,1238
0.83800,1240
0.84200,1243
0.83800,1245
0.83800,1248
0.83000,1250
0.83000,1252
0.83200,1255
0.83200,1257
0.83600,1260
0.83600,1262
0.83600,1265
0.83600,1267
0.83800,1269
0.83800,1272
0.71200,1274
0.71200,1278
0.60000,1280
0.61600,1282
0.61600,1285
0.64800,1287
0.64800,1290
0.70200,1292
0.70200,1294
0.63200,1297
0.63200,1299
0.60000,1302
0.60000,1304
0.56000,1306
0.56000,1309
0.51800,1311
0.51800,1314
0.51400,1316
0.51400,1319
0.51400,1322
0.51400,1324
0.51400,1327
0.51400,1329
0.51400,1332
0.51400,1334
0.51400,1336
0.51400,1339
0.51400,1341
0.51400,1344
0.51400,1346
0.51400,1349
0.51400,1351
0.51400,1353
0.51400,1356
0.51400,1358
0.51400,1361
0.51400,1364
0.51400,1366
0.51400,1369
0.51400,1371
0.51400,1374
0.51400,1376
0.51400,1378
0.51400,1381
0.51400,1383
0.51400,1386
0.51400,1388
0.51400,1391
0.51400,1393
0.51400,1395
0.51400,1398
0.51400,1400
0.51400,1403
0.51400,1406
0.51400,1408
0.51400,1411
0.51400,1413
0.51400,1416
0.51400,1418
0.51400,1420
0.51400,1423
0.51400,1425
0.51400,1428
0.51400,1430
0.51400,1433
0.51400,1435
0.51400,1437
0.51400,1440
0.51400,1442
0.51400,1445
0.51400,1447
0.51400,1450
0.51400,1453
0.51400,1455
0.51400,1458
0.51400,1460
0.51400,1463
0.51400,1465
0.51400,1467
0.51400,1470
0.51400,1472
0.51400,1475
0.51400,1477
0.51400,1479
0.51400,1482
0.51400,1484
0.51400,1487
0.51400,1489
0.51400,1492
0.51400,1495
0.51400,1497
0.51400,1500
0.51400,1502
0.51400,1505
0.51400,1507
0.51400,1509
0.51400,1512
0.51400,1514
0.51400,1517
0.51200,1519
0.51200,1521
0.51400,1524
0.51400,1526
0.51400,1529
0.51400,1531
0.51400,1534
0.51400,1537
0.51400,1539
0.51400,1542
0.51400,1544
0.51400,1547
0.51400,1549
0.51400,1551
0.51400,1554
0.51400,1556
0.51400,1559
0.51400,1561
0.51400,1563
0.51400,1566
0.51400,1568
0.51400,1571
0.51400,1573
0.51400,1577
0.51400,1579
0.51400,1581
0.51400,1584
0.51400,1586
0.51400,1589
0.51400,1591
0.51400,1593
0.51400,1596
0.51400,1598
0.51400,1601
0.51400,1603
0.51400,1605
0.51400,1608
0.51400,1610
0.51400,1613
0.51400,1615
0.51400,1618
0.51400,1621
0.51400,1623
0.51400,1626
0.51400,1628
0.51400,1631
0.51400,1633
0.51400,1635
0.51400,1638
0.51400,1640
0.51400,1643
0.51400,1645
0.51400,1648
0.51400,1650
0.51400,1652
0.51400,1655
0.51400,1657
0.51400,1660
0.51400,1663
0.51400,1665
0.51400,1668
0.51400,1670
0.51400,1673
0.51400,1675
0.51400,1677
0.51400,1680
0.51400,1682
0.51400,1685
0.51400,1687
0.51400,1690
0.51400,1692
0.51400,1694
0.51400,1697
0.51400,1699
0.51400,1702
0.51400,1705
0.51400,1707
0.51400,1710
0.51400,1712
0.51400,1715
0.51400,1717
0.51400,1719
0.51400,1722
0.51400,1724
0.51400,1727
0.51400,1729
0.51400,1732
0.51400,1734
0.51400,1736
0.51400,1739
0.51400,1741
0.51400,1744
0.51400,1746
0.51400,1749
0.51400,1752
0.51400,1754
0.51400,1757
0.51400,1759
0.51400,1762
0.51400,1764
0.51400,1766
0.51400,1769
0.51400,1771
0.51400,1774
0.51400,1776
0.51400,1778
0.51400,1781
0.51400,1783
0.51400,1786
0.51400,1788
0.51400,1791
0.51400,1794
0.51400,1796
0.51400,1799
0.51400,1801
0.51400,1804
0.51400,1806
0.51400,1808
0.51400,1811
0.53800,1813
0.51400,1816
0.51400,1818
0.60200,1820
0.60200,1823
0.59000,1825
0.59000,1828
0.58400,1830
0.58400,1833
0.58400,1836
0.58400,1838
0.58000,1841
0.58000,1843
0.58000,1846
0.58000,1848
0.57600,1850
0.57600,1853
0.57400,1855
0.57400,1858
0.57400,1860
0.58400,1862
0.58400,1865
0.48200,1867
0.48200,1870
0.46800,1872
0.46800,1874
0.46800,1878
0.46800,1880
0.46800,1883
0.46800,1885
0.46600,1888
0.46600,1890
0.61200,1892
0.51400,1895
0.51400,1897
0.54000,1900
0.54000,1902
0.52200,1904
0.52200,1907
0.51800,1909
0.51800,1912
0.51400,1914
0.51400,1916
0.52200,1920
0.52200,1922
0.50400,1925
0.50400,1927
0.46600,1930
0.50200,1932
0.50200,1934
0.51400,1937
0.51400,1939
0.49400,1942
0.49400,1944
0.48400,1946
0.48400,1949
0.48400,1951
0.48400,1954
0.48400,1956
0.48400,1958
0.48400,1962
0.48400,1964
0.52400,1967
0.52400,1969
0.53400,1971
0.57600,1974
0.57600,1976
0.59600,1979
0.59600,1981
0.59400,1984
0.59400,1986
0.59400,1988
0.59400,1991
0.59600,1993
0.59600,1996
0.61600,1998
0.61600,2000
0.63600,2004
0.63600,2006
0.64600,2009
0.64200,2011
0.64200,2014
0.64600,2016
0.64600,2018
0.64200,2021
0.64200,2023
0.65600,2026
0.65600,2028
0.54400,2030
0.54400,2033
0.61000,2035
0.61000,2038
0.62600,2040
0.62600,2042
0.62600,2046
0.62600,2048
0.62600,2051
0.54400,2053
0.54400,2056
0.52800,2058
0.52800,2060
0.53400,2063
0.53400,2065
0.52200,2068
0.52200,2070
0.52400,2072
0.52400,2075
0.53000,2077
0.53000,2080
0.52800,2082
0.52200,2085
0.52200,2087
0.53800,2090
0.53800,2093
0.55400,2095
0.55400,2098
0.52800,2100
0.52800,2102
0.52400,2105
0.52400,2107
