power,time
0.27600,4
0.27800,69
0.27800,133
0.33000,201
0.33000,265
0.27600,334
0.27600,399
0.28600,463
0.30800,532
0.30800,596
0.40400,664
0.40400,728
0.40400,797
0.43200,861
0.43200,926
0.41600,994
0.41600,1058
0.33800,1127
0.40600,1191
0.40600,1256
0.41000,1324
0.41000,1389
0.43200,1456
0.43200,1521
0.48200,1586
0.47800,1654
0.47800,1718
0.49200,1787
0.49200,1852
0.38600,1919
0.37000,1984
0.37000,2048
0.37000,2117
0.37000,2181
0.37000,2249
0.37000,2314
0.37000,2379
0.37000,2447
0.37000,2511
0.37000,2580
0.37000,2644
0.37000,2712
0.37000,2776
0.37000,2842
0.47800,2909
0.47800,2974
0.81000,3043
0.81000,3107
0.84200,3172
0.84200,3239
0.84200,3305
0.83200,3372
0.83200,3437
0.84800,3501
0.66200,3570
0.66200,3634
0.57400,3702
0.57400,3766
0.63600,3832
0.63000,3900
0.63000,3964
0.63000,4033
0.63000,4097
0.62600,4165
0.63000,4229
0.63000,4295
0.58400,4362
0.58400,4427
0.87400,4496
0.87400,4560
0.83600,4625
0.92000,4692
0.92000,4757
0.96000,4825
0.96000,4890
0.90800,4957
1.24200,5023
1.24200,5087
0.98400,5155
0.98400,5220
1.27200,5288
1.25600,5353
1.25600,5417
1.52400,5486
1.52400,5550
1.50800,5618
1.50800,5682
1.39200,5748
1.59000,5816
1.59000,5880
1.32800,5949
1.32800,6013
1.41600,6078
1.44800,6145
1.44800,6211
1.43600,6278
1.43600,6343
1.71800,6411
1.73600,6476
1.73600,6541
1.51800,6608
1.51800,6674
1.52000,6741
1.21800,6806
1.21800,6870
1.12800,6939
1.12800,7003
1.12800,7071
1.12800,7135
1.12800,7201
1.12800,7269
1.12800,7333
1.12800,7402
1.12800,7466
1.12800,7531
1.35000,7598
1.35000,7664
1.41000,7731
1.41000,7796
1.59000,7865
1.77000,7929
1.77000,7994
1.33000,8061
1.33000,8127
1.39000,8194
1.39000,8259
1.44200,8323
1.60600,8392
1.60600,8456
1.76600,8525
1.76600,8590
1.63800,8654
1.59200,8722
1.59200,8786
1.49800,8855
1.49800,8919
1.45200,8984
1.90400,9052
1.90400,9117
1.64200,9184
1.64200,9250
1.52000,9315
1.34600,9382
1.34600,9447
1.37000,9515
1.37000,9580
1.34600,9647
1.33000,9712
1.33000,9777
1.28400,9845
1.28400,9909
1.38000,9978
1.38000,10043
1.38600,10107
1.46800,10176
1.46800,10240
1.42200,10308
1.50000,10372
1.50000,10438
1.40600,10505
1.40600,10570
1.38600,10639
1.48400,10703
1.48400,10768
1.48800,10836
1.48800,10901
1.75000,10969
1.67200,11034
1.67200,11098
1.62800,11166
1.62800,11231
1.51800,11296
1.52000,11364
1.52000,11429
1.52000,11497
1.52000,11561
1.52400,11627
1.51000,11694
1.51000,11759
1.49800,11827
1.49800,11892
1.51800,11956
1.50800,12025
1.50800,12090
1.48200,12157
1.50000,12223
1.50000,12287
1.74400,12355
1.74400,12420
1.49800,12488
1.52000,12552
1.52000,12617
1.50400,12686
1.50400,12750
1.49800,12819
1.46400,12883
1.46400,12948
1.46200,13016
1.46200,13081
1.46400,13145
1.45800,13214
1.45800,13278
1.46200,13346
1.46200,13411
1.46200,13476
1.45800,13544
1.45800,13608
1.46200,13677
1.46200,13741
1.45800,13806
1.46200,13874
1.46200,13939
1.45800,14008
1.46800,14072
1.46800,14137
1.46200,14204
1.46200,14270
1.45800,14337
1.46200,14402
1.46200,14467
1.45800,14535
1.45800,14599
1.45800,14668
1.46200,14733
1.46200,14797
1.47400,14866
1.47400,14930
1.46200,14995
1.45800,15063
1.45800,15128
1.46200,15195
1.46200,15261
1.46200,15325
1.59200,15393
1.59200,15459
1.45800,15526
1.45800,15591
1.45800,15655
1.60600,15724
1.60600,15788
1.46200,15857
1.46200,15921
1.46200,15986
1.46200,16054
1.46200,16119
1.46200,16187
1.46400,16252
1.46400,16317
1.46200,16384
1.46200,16450
1.46200,16517
1.46200,16582
1.46200,16646
1.46200,16715
1.46200,16779
1.46200,16844
1.27400,16913
1.27400,16977
1.27200,17046
1.27200,17110
1.27400,17175
1.27800,17243
1.27800,17308
1.25600,17375
1.29200,17441
1.29200,17506
1.28400,17573
1.28400,17638
1.25600,17706
1.27400,17771
1.27400,17835
1.25600,17904
1.25600,17968
1.27400,18037
1.25200,18101
1.25200,18166
1.27800,18235
1.27800,18299
1.25600,18364
1.25600,18431
1.25600,18497
1.27400,18564
1.27400,18629
1.25800,18694
1.27800,18762
1.27800,18826
1.27800,18895
1.27800,18960
1.28200,19024
1.27400,19093
1.27400,19157
1.25200,19225
1.30800,19290
1.30800,19355
1.25800,19422
1.25800,19488
1.25600,19556
1.43600,19620
1.43600,19686
1.51000,19753
1.51000,19818
1.49400,19886
1.49800,19951
1.49800,20015
1.49800,20084
1.49800,20148
1.49800,20216
1.49400,20282
1.49400,20346
1.49800,20414
1.49800,20479
1.49800,20544
1.49800,20611
1.49800,20676
1.49400,20744
1.49400,20809
1.52800,20873
1.27400,20942
1.27400,21007
1.25600,21075
1.25600,21140
1.27200,21204
1.25800,21273
1.25800,21337
1.26400,21405
1.26400,21469
1.26400,21535
1.25600,21603
1.25600,21667
1.27800,21736
1.25800,21800
1.25800,21865
1.37000,21933
1.37000,21998
1.70000,22066
1.71000,22131
1.71000,22195
1.68400,22263
1.68400,22329
1.72600,22393
1.76600,22461
1.76600,22526
1.71000,22594
1.71000,22658
1.61800,22724
1.88800,22791
1.88800,22856
1.98200,22925
1.98200,22989
2.42800,23054
2.14400,23122
2.14400,23187
2.25200,23254
2.29800,23320
2.29800,23384
1.89400,23452
1.89400,23517
1.54600,23585
1.53400,23650
1.53400,23714
1.53600,23783
1.53600,23847
1.53400,23916
1.53400,23980
1.53400,24045
1.59200,24113
1.59200,24178
1.57000,24242
1.54000,24311
1.54000,24376
1.53000,24443
1.53000,24508
1.53000,24573
1.53600,24641
1.53600,24705
1.53400,24774
1.53400,24838
1.55600,24903
1.53400,24971
1.53400,25036
1.53400,25105
1.53600,25169
1.53600,25234
1.54000,25302
1.54000,25367
1.53400,25434
1.53400,25499
1.53400,25564
1.46200,25632
1.46200,25696
1.45800,25765
1.45800,25830
1.45800,25894
1.46200,25963
1.46200,26027
1.46200,26092
1.46800,26160
1.46800,26225
1.46200,26292
1.46200,26358
1.46400,26422
1.46200,26490
1.46200,26556
1.46200,26623
1.46200,26688
1.46400,26752
1.47200,26821
1.47200,26885
1.37400,26954
1.37400,27018
1.65200,27083
1.52400,27152
1.52400,27216
2.30000,27284
2.37000,27349
2.37000,27414
1.93400,27481
1.93400,27546
