power,time
0.29800,3
0.30400,68
0.30400,133
0.32200,200
0.32200,265
0.27800,334
0.27800,398
0.28800,463
0.30800,530
0.30800,595
0.42000,663
0.42000,728
0.42000,795
0.43600,861
0.43600,925
0.46600,993
0.46600,1057
0.34800,1126
0.39400,1191
0.39400,1255
0.44000,1323
0.44000,1388
0.41600,1456
0.41600,1520
0.48800,1585
0.48800,1653
0.48800,1718
0.47800,1786
0.47800,1850
0.48400,1919
0.39600,1983
0.39600,2048
0.40400,2116
0.40400,2181
0.40600,2248
0.40600,2313
0.40600,2377
0.36800,2446
0.36800,2511
0.36800,2578
0.36800,2644
0.36800,2711
0.36800,2776
0.36800,2840
0.36800,2909
0.36800,2973
0.48200,3041
0.48200,3105
0.85600,3171
0.83600,3239
0.83600,3303
0.83800,3372
0.83800,3436
0.82200,3504
0.85200,3568
0.85200,3633
0.59600,3701
0.59600,3766
0.62600,3834
0.62600,3899
0.63000,3964
0.61600,4031
0.61600,4096
0.63600,4164
0.63600,4229
0.62600,4293
0.62200,4361
0.62200,4426
0.65600,4494
0.65600,4559
0.54000,4627
0.54000,4692
0.54000,4756
0.54000,4824
0.54000,4889
0.54000,4957
0.54000,5021
0.54000,5086
0.54000,5155
0.54000,5219
0.54000,5287
0.54000,5351
0.54000,5417
0.56000,5484
0.56000,5549
0.70800,5617
0.70800,5682
0.79600,5749
0.76600,5814
0.76600,5878
0.84600,5947
0.84600,6012
0.97600,6079
0.97600,6145
0.96600,6209
0.97000,6277
0.97000,6341
0.95000,6410
0.95000,6474
1.01200,6542
1.21000,6608
1.21000,6672
1.17600,6740
1.17600,6804
1.14000,6873
1.21600,6937
1.21600,7002
1.43600,7070
1.43600,7135
1.49400,7203
1.49400,7267
1.28200,7332
1.33400,7400
1.33400,7465
1.35000,7533
1.35000,7598
1.49000,7662
1.57000,7730
1.57000,7794
1.68800,7863
1.68800,7928
1.64400,7995
1.63600,8061
1.63600,8125
1.67800,8193
1.67800,8257
1.47800,8326
1.47800,8390
1.50800,8455
1.55600,8523
1.55600,8588
1.83800,8656
1.83800,8720
1.74600,8785
1.77600,8853
1.77600,8918
1.51800,8985
1.51800,9051
1.55000,9118
1.65800,9183
1.65800,9247
1.54600,9316
1.54600,9381
1.55000,9449
1.55000,9514
1.55000,9578
1.56600,9646
1.56600,9711
1.69000,9779
1.74400,9843
1.74400,9908
1.98600,9977
1.98600,10041
1.78600,10109
1.78600,10174
1.76200,10239
1.13000,10306
1.13000,10372
1.10400,10439
1.11000,10504
1.11000,10568
1.06400,10637
1.06400,10702
1.06200,10770
1.06400,10835
1.06400,10899
1.04800,10968
1.04800,11032
0.99600,11100
1.00000,11165
1.00000,11230
0.99600,11297
0.99600,11362
0.99600,11428
0.99600,11495
0.99600,11560
1.00000,11628
1.00000,11693
1.00000,11757
1.00000,11826
1.00000,11890
1.29400,11958
1.29400,12024
1.22200,12088
1.24600,12156
1.24600,12221
1.24200,12289
1.24200,12353
1.23200,12419
1.23600,12486
1.23600,12551
1.21600,12619
1.22800,12684
1.22800,12749
1.23800,12817
1.23800,12882
1.37400,12949
1.24200,13015
1.24200,13079
1.23800,13147
1.23800,13212
1.19600,13280
1.19600,13344
1.19600,13409
1.32800,13478
1.32800,13542
1.22200,13607
1.28200,13675
1.28200,13740
1.22200,13808
1.22200,13873
1.22200,13937
1.22200,14006
1.22200,14070
1.21800,14138
1.21800,14203
1.22200,14268
1.20000,14336
1.20000,14400
1.19200,14469
1.19600,14533
1.19600,14598
1.19600,14666
1.19600,14731
1.19600,14800
1.19600,14864
1.19600,14929
1.19600,14996
1.19600,15062
1.19000,15129
1.19600,15194
1.19600,15259
1.19200,15327
1.19200,15391
1.19600,15460
1.19200,15525
1.19200,15589
1.19600,15658
1.19600,15722
1.19200,15787
1.18600,15855
1.18600,15920
1.20000,15987
1.20000,16053
1.19600,16117
1.19600,16185
1.19600,16251
1.19200,16318
1.19200,16383
1.19200,16447
1.19600,16516
1.19600,16580
1.19200,16649
1.19600,16713
1.19600,16778
1.19200,16847
1.19200,16911
1.19200,16979
1.19600,17044
1.19600,17109
1.19600,17176
1.19600,17241
1.19200,17309
1.19600,17374
1.19600,17438
1.19200,17507
1.19200,17572
1.20600,17636
1.39000,17705
1.39000,17769
1.19200,17838
1.19200,17902
1.19200,17967
1.19200,18034
1.19200,18100
1.18600,18168
1.18600,18232
1.19200,18298
1.19600,18365
1.19600,18430
1.19200,18498
1.19200,18563
1.19200,18627
1.19200,18696
1.19200,18760
1.19600,18828
1.19600,18894
1.19600,18958
1.18600,19026
1.18600,19091
1.19200,19159
1.19200,19223
1.19200,19289
1.19200,19356
1.19200,19421
1.20000,19489
1.19600,19554
1.19600,19619
1.19200,19687
1.19200,19752
1.19200,19816
1.19200,19885
1.19200,19949
1.19200,20017
1.19200,20082
1.20000,20147
1.19200,20214
1.19200,20279
1.19200,20348
1.19200,20412
1.19200,20477
1.19200,20545
1.19200,20610
1.24200,20678
1.21800,20743
1.21800,20807
1.21800,20876
1.21800,20941
1.21800,21008
1.22200,21073
1.22200,21138
1.21800,21206
1.21800,21270
1.19600,21339
1.19200,21403
1.19200,21468
1.19200,21536
1.19200,21601
1.19200,21665
1.19200,21734
1.19200,21799
1.18200,21866
1.18200,21932
1.19200,21996
1.19200,22064
1.19200,22129
1.19200,22197
1.19200,22261
1.19200,22327
1.19600,22395
1.19600,22459
1.19200,22528
1.29800,22592
1.29800,22657
1.43600,22725
1.43600,22790
2.03400,22857
1.85400,22923
