power,time
0.19400,4
0.30200,68
0.30200,133
0.28800,201
0.28800,265
0.35400,330
0.27600,398
0.27600,463
0.29400,530
0.29400,595
0.39400,663
0.42000,728
0.42000,792
0.42000,861
0.42000,926
0.46800,993
0.46800,1058
0.47800,1122
0.34000,1191
0.34000,1255
0.40600,1323
0.40600,1388
0.48400,1456
0.42600,1521
0.42600,1585
0.48800,1654
0.48800,1718
0.48800,1786
0.48800,1850
0.47200,1916
0.49800,1983
0.49800,2048
0.40000,2116
0.40000,2181
0.40600,2249
0.40600,2313
0.40600,2378
0.39600,2446
0.39600,2511
0.36800,2578
0.36800,2644
0.36800,2708
0.36800,2776
0.36800,2840
0.36800,2909
0.36800,2974
0.46600,3041
0.47200,3106
0.47200,3171
0.83800,3239
0.83800,3303
0.83600,3372
0.83600,3436
0.83800,3501
0.82200,3569
0.82200,3633
0.82600,3702
0.82600,3766
0.60200,3831
0.62000,3899
0.62000,3964
0.61600,4031
0.61600,4096
0.62200,4164
0.63800,4229
0.63800,4293
0.62200,4361
0.62200,4427
0.65200,4494
0.65200,4559
0.64800,4623
0.54000,4692
0.54000,4756
0.54400,4824
0.54400,4889
0.54000,4954
0.54000,5022
0.54000,5086
0.54000,5155
0.54000,5219
0.54000,5287
0.54000,5351
0.54000,5417
0.54000,5484
0.54000,5549
0.53400,5618
0.53400,5682
0.64600,5747
0.78400,5814
0.78400,5879
1.00000,5947
1.00000,6012
0.84600,6080
0.95600,6145
0.95600,6209
0.97000,6277
0.97000,6341
0.99000,6410
0.99000,6475
0.96000,6539
1.01000,6608
1.01000,6672
1.22200,6740
1.22200,6804
1.16600,6873
1.13800,6937
1.13800,7002
1.35600,7070
1.35600,7135
1.55000,7203
1.47200,7267
1.47200,7332
1.16600,7400
1.16600,7465
1.35600,7532
1.37600,7598
1.37600,7662
1.33000,7730
1.33000,7795
1.66400,7863
1.66400,7928
1.68800,7992
1.68800,8061
1.68800,8125
1.62800,8193
1.62800,8257
1.51800,8323
1.45200,8391
1.45200,8455
1.43600,8524
1.43600,8588
1.61600,8656
1.62200,8720
1.62200,8786
1.61800,8853
1.61800,8918
1.36000,8986
1.48400,9051
1.48400,9116
1.38200,9183
1.38200,9249
1.37400,9316
1.37400,9381
1.41600,9445
1.67400,9514
1.67400,9578
1.37400,9647
1.37400,9711
1.55000,9776
1.55600,9844
1.55600,9908
1.57200,9977
1.57200,10041
1.97600,10106
1.86800,10174
1.86800,10239
2.04800,10307
