power,time
0.81600,43.80000,4
0.23000,43.00000,9
0.22200,42.60000,15
0.22200,47.10000,20
0.24600,46.80000,25
0.24200,59.20000,29
0.30800,65.50000,34
0.34000,66.00000,39
0.34000,65.20001,44
0.35000,67.40000,49
0.37400,71.80001,54
0.37400,71.70000,60
0.37400,71.70000,64
0.37400,69.20001,69
0.36000,63.20000,74
0.33000,65.00000,79
0.33800,69.70000,84
0.36400,68.00000,89
0.35400,63.00000,93
0.32800,70.00000,99
0.36400,69.30000,104
0.36000,68.30001,109
0.34000,65.40000,114
0.35400,68.20000,119
0.40000,76.80000,124
0.35000,67.60000,129
0.35400,68.20000,134
0.35400,62.80000,138
0.32800,68.10000,144
0.35400,68.00000,149
0.35400,69.60000,154
0.36400,68.30001,159
0.35800,49.90000,164
0.25800,41.50000,169
0.21600,41.50000,174
0.21600,41.50000,179
0.33000,63.59999,185
0.35400,67.70000,189
0.37000,70.80000,194
0.36400,69.40000,199
0.36000,68.90000,204
0.36000,71.30001,209
0.37000,71.70000,214
0.37400,71.70000,219
0.37400,69.50000,224
0.36000,69.30000,230
0.36000,69.40000,235
0.37000,71.30001,239
0.36400,71.30001,244
0.37000,72.40000,249
0.35800,69.70000,254
0.36400,70.09999,259
0.36000,71.00000,264
0.36800,72.10000,270
0.37000,72.00000,275
0.37400,61.80000,280
0.32200,53.40000,284
0.27600,53.00000,289
0.27600,53.10000,294
0.27600,53.40000,299
0.27800,53.60000,304
0.27800,54.00000,309
0.28200,54.40000,315
0.28600,54.80000,320
0.28600,55.50000,325
0.28800,55.90000,329
0.28800,56.30000,334
0.29200,56.80000,339
0.29400,57.10000,344
0.29400,57.40000,349
0.29400,57.90000,355
0.29800,58.20000,360
0.30200,58.60000,365
0.30400,58.90000,370
0.30200,58.70000,375
0.29200,56.90000,380
0.32800,63.80000,384
0.29200,55.10000,389
0.28600,55.10000,394
0.28600,55.10000,400
0.28600,55.10000,405
0.28600,55.10000,410
0.28600,55.10000,415
0.28600,55.00000,420
0.28200,55.10000,425
0.28600,55.10000,430
0.32400,63.50000,434
0.43600,85.20000,440
0.44000,86.00000,445
0.43600,87.70000,450
0.44800,84.20000,455
0.43000,85.80001,460
0.44000,85.80001,465
0.44000,85.10000,470
0.43600,84.70000,475
0.43200,85.80001,479
0.44000,85.90000,485
0.47200,92.40000,490
0.44600,87.80000,495
0.44000,86.50000,500
0.43600,85.40000,505
0.44200,86.40000,510
0.44800,88.50000,515
0.45200,88.60000,520
0.45600,88.50000,525
0.45200,88.60000,530
0.45600,88.40000,535
0.45200,88.50000,540
0.45200,87.70000,545
0.44800,86.30001,550
0.43600,85.40000,555
0.44000,86.10000,560
0.44800,87.40000,565
0.45200,88.40000,571
0.45600,88.30000,575
0.45200,88.40000,580
0.45200,88.30000,585
0.45200,88.40000,590
0.45200,87.70000,595
0.44800,86.40000,600
0.44200,85.10000,605
0.43200,85.80001,611
0.44600,86.90000,616
0.45200,88.20000,621
0.45200,88.30000,625
0.45200,88.40000,630
0.45200,88.30000,635
0.45200,88.50000,640
0.45200,87.90000,645
0.44800,86.50000,650
0.44200,85.30000,656
0.43600,85.80001,661
0.44000,86.80000,666
0.44600,88.20000,671
0.45200,88.40000,675
0.45200,88.40000,680
0.45200,88.30000,685
0.45200,88.30000,690
0.45200,88.40000,696
0.44800,86.80000,701
0.44200,85.20000,706
0.43600,85.40000,711
0.43600,85.80001,716
0.44000,87.80000,720
0.44800,87.90000,725
0.44800,88.40000,730
0.45200,87.80000,735
0.44800,87.50000,741
0.45200,88.10000,746
0.44600,87.30000,751
0.47800,93.90000,756
0.44600,87.00000,761
0.44000,86.20000,766
0.44000,86.10000,770
0.44000,86.20000,775
