,power,current,time
0,0.344,66.1,5
1,0.344,66.1,10
2,0.344,66.1,15
3,0.344,66.1,21
4,0.344,66.1,26
5,0.344,66.1,30
6,0.344,66.1,35
7,0.344,66.1,40
8,0.344,66.1,45
9,0.344,66.1,50
10,0.344,66.1,55
11,0.344,66.1,60
12,0.344,66.1,65
13,0.36,69.1,70
14,0.36,69.1,75
15,0.36,69.1,80
16,0.36,69.1,85
17,0.36,69.1,90
18,0.36,69.1,95
19,0.36,69.1,99
20,0.36,69.1,104
21,0.36,69.1,110
22,0.36,69.1,115
23,0.36,69.1,120
24,0.36,69.1,125
25,0.36,69.1,130
26,0.36,57.1,135
27,0.298,57.1,139
28,0.298,57.1,144
29,0.298,57.1,150
30,0.298,57.1,155
31,0.298,57.1,160
32,0.298,57.1,165
33,0.298,57.1,170
34,0.298,57.1,175
35,0.298,57.1,180
36,0.298,57.1,185
37,0.298,57.1,190
38,0.298,57.1,195
39,0.298,69.6,200
40,0.364,69.6,205
41,0.364,69.6,210
42,0.364,69.6,215
43,0.364,69.6,220
44,0.364,69.6,225
45,0.364,69.6,230
46,0.364,69.6,236
47,0.364,69.6,240
48,0.364,69.6,245
49,0.364,69.6,250
50,0.364,69.6,255
51,0.364,69.6,260
52,0.364,57.6,265
53,0.298,57.6,270
54,0.298,57.6,275
55,0.298,57.6,281
56,0.298,57.6,286
57,0.298,57.6,290
58,0.298,57.6,295
59,0.298,57.6,300
60,0.298,57.6,305
61,0.298,57.6,310
62,0.298,57.6,315
63,0.298,57.6,321
64,0.298,57.6,326
65,0.298,57.6,331
66,0.294,56.4,335
67,0.294,56.4,340
68,0.294,56.4,345
69,0.294,56.4,350
70,0.294,56.4,355
71,0.294,56.4,360
72,0.294,56.4,366
73,0.294,56.4,371
74,0.294,56.4,376
75,0.294,56.4,381
76,0.294,56.4,385
77,0.294,56.4,390
78,0.294,56.4,395
79,0.344,66.0,400
80,0.344,66.0,406
81,0.344,66.0,411
82,0.344,66.0,416
83,0.344,66.0,421
84,0.344,66.0,426
85,0.344,66.0,431
86,0.344,66.0,435
87,0.344,66.0,440
88,0.344,66.0,445
89,0.344,66.0,451
90,0.344,66.0,456
91,0.344,66.0,461
92,0.446,85.6,466
93,0.446,85.6,471
94,0.446,85.6,476
95,0.446,85.6,480
96,0.446,85.6,485
97,0.446,85.6,491
98,0.446,85.6,496
99,0.446,85.6,501
100,0.446,85.6,506
101,0.446,85.6,511
102,0.446,85.6,516
103,0.446,85.6,521
104,0.446,85.6,525
105,0.446,86.2,530
106,0.448,86.2,536
107,0.448,86.2,541
108,0.448,86.2,546
109,0.448,86.2,551
110,0.448,86.2,556
111,0.448,86.2,561
112,0.448,86.2,566
113,0.448,86.2,571
114,0.448,86.2,576
115,0.448,86.2,581
116,0.448,86.2,586
117,0.448,86.2,591
118,0.448,86.1,596
119,0.448,86.1,601
120,0.448,86.1,606
121,0.448,86.1,611
122,0.448,86.1,616
123,0.448,86.1,621
124,0.448,86.1,626
125,0.448,86.1,631
126,0.448,86.1,636
127,0.448,86.1,641
128,0.448,86.1,646
129,0.448,86.1,651
130,0.448,86.1,656
131,0.448,86.0,662
132,0.446,86.0,666
133,0.446,86.0,671
134,0.446,86.0,676
135,0.446,86.0,681
136,0.446,86.0,686
137,0.446,86.0,691
138,0.446,86.0,696
139,0.446,86.0,700
140,0.446,86.0,706
141,0.446,86.0,711
142,0.446,86.0,716
143,0.446,86.0,721
144,0.446,86.0,726
145,0.446,85.5,731
146,0.446,85.5,735
147,0.446,85.5,740
148,0.446,85.5,746
149,0.446,85.5,751
150,0.446,85.5,756
151,0.446,85.5,761
152,0.446,85.5,766
153,0.446,85.5,770
