power,time
1.71800,2
1.71800,4
1.71800,7
1.71800,9
1.71800,12
1.71800,14
1.71800,17
1.71800,19
1.71800,21
1.71800,24
1.71800,26
1.71800,28
1.71800,31
1.71800,33
1.71000,35
1.71000,37
1.71000,40
1.71000,42
1.71000,44
1.71000,47
1.71000,49
1.71000,51
1.71000,55
1.71000,57
1.71000,59
1.71000,61
1.71000,64
1.71000,66
1.71000,68
1.71000,71
1.71000,73
1.71000,75
1.71000,78
1.71000,80
1.71000,82
1.71000,85
1.71000,87
1.71000,89
1.71000,91
1.71000,94
1.71000,97
1.71000,99
1.65200,102
1.65200,104
1.65200,106
1.65200,109
1.65200,111
1.65200,114
1.65200,116
1.65200,118
1.65200,121
1.65200,123
1.65200,125
1.65200,128
1.65200,130
1.65200,132
1.65200,135
1.65200,137
1.65200,141
1.65200,143
1.65200,145
1.65200,148
1.65200,150
1.65200,152
1.65200,155
1.65200,157
1.65200,160
1.65200,162
1.65200,164
1.85400,167
1.85400,169
1.85400,171
1.85400,174
1.85400,176
1.85400,178
1.85400,181
1.85400,184
1.85400,187
1.85400,189
1.85400,191
1.85400,194
1.85400,196
1.85400,198
1.85400,201
1.85400,203
1.85400,205
1.85400,208
1.85400,210
1.85400,213
1.85400,215
1.85400,217
1.85400,220
1.85400,222
1.85400,225
1.85400,228
1.85400,230
1.73000,232
1.73000,235
1.73000,237
1.73000,240
1.73000,242
1.73000,244
1.73000,247
1.73000,249
1.73000,251
1.73000,254
1.73000,256
1.73000,258
1.73000,261
1.73000,263
1.73000,266
1.73000,269
1.73000,271
1.73000,274
1.73000,276
1.73000,278
1.73000,281
1.73000,283
1.73000,285
1.73000,288
1.73000,290
1.73000,293
1.73000,295
1.73000,297
1.73600,300
1.73600,302
1.73600,304
1.73600,307
1.73600,309
1.73600,313
1.73600,315
1.73600,317
1.73600,320
1.73600,322
1.73600,324
1.73600,327
1.73600,329
1.73600,331
1.73600,334
1.73600,336
1.73600,339
1.73600,341
1.73600,343
1.73600,346
1.73600,348
1.73600,350
1.73600,354
1.73600,356
1.73600,359
1.73600,361
1.73600,363
1.76200,366
1.76200,368
1.76200,370
1.76200,373
1.76200,375
1.76200,377
1.76200,380
1.76200,382
1.76200,385
1.76200,387
1.76200,389
1.76200,392
1.76200,394
1.76200,397
1.76200,400
1.76200,402
1.76200,405
1.76200,407
1.76200,409
1.76200,412
1.76200,414
1.76200,416
1.76200,419
1.76200,421
1.76200,423
1.76200,426
1.76200,428
1.64800,431
1.64800,433
1.64800,435
1.64800,439
1.64800,441
1.64800,443
1.64800,446
1.64800,448
1.64800,450
1.64800,453
1.64800,455
1.64800,458
1.64800,460
1.64800,462
1.64800,465
1.64800,467
1.64800,469
1.64800,472
1.64800,474
1.64800,476
1.64800,479
1.64800,482
1.64800,485
1.64800,487
1.64800,489
1.64800,492
1.64800,494
1.86400,496
1.86400,499
1.86400,501
1.86400,504
1.86400,506
1.86400,508
1.86400,511
1.86400,513
1.86400,515
1.86400,518
1.86400,520
1.86400,522
1.86400,526
1.86400,528
1.86400,531
1.86400,533
1.86400,535
1.86400,538
1.86400,540
1.86400,542
1.86400,545
1.86400,547
1.86400,549
1.86400,552
1.86400,554
1.86400,557
1.86400,559
1.86400,561
1.97000,564
1.97000,567
1.97000,569
1.97000,572
1.97000,574
1.97000,576
1.97000,579
1.97000,581
1.97000,583
1.97000,586
1.97000,588
1.97000,591
1.97000,593
1.97000,595
1.97000,598
1.97000,600
1.97000,602
1.97000,605
1.97000,607
1.97000,610
1.97000,613
1.97000,615
1.97000,618
1.97000,620
1.97000,622
1.97000,625
1.97000,627
1.98200,629
1.98200,632
1.98200,634
1.98200,636
1.98200,639
1.98200,641
1.98200,644
1.98200,646
1.98200,648
1.98200,652
1.98200,654
1.98200,656
1.98200,659
1.98200,661
1.98200,664
1.98200,666
1.98200,668
1.98200,671
1.98200,673
1.98200,675
1.98200,678
1.98200,680
1.98200,682
1.98200,685
1.98200,687
1.98200,690
1.98200,692
1.98200,695
1.98200,698
1.98200,700
1.98200,702
1.98200,705
1.98200,707
1.98200,709
1.98200,712
1.98200,714
1.98200,717
1.98200,719
1.98200,721
1.98200,724
1.98200,726
1.98200,728
1.98200,731
1.98200,733
1.98200,735
1.98200,739
1.98200,741
1.98200,744
1.98200,746
1.98200,748
1.98200,751
1.98200,753
1.98200,755
1.98200,758
1.98200,760
2.03800,762
2.03800,765
2.03800,767
2.03800,770
2.03800,772
2.03800,774
2.03800,777
2.03800,780
2.03800,782
2.03800,785
2.03800,787
2.03800,789
2.03800,792
2.03800,794
2.03800,797
2.03800,799
2.03800,801
2.03800,804
2.03800,806
2.03800,808
2.03800,811
2.03800,813
2.03800,815
2.03800,818
2.03800,820
2.03800,823
2.03800,826
2.00200,828
2.00200,830
2.00200,833
2.00200,835
2.00200,838
2.00200,840
2.00200,842
2.00200,845
2.00200,847
2.00200,849
2.00200,852
2.00200,854
2.00200,856
2.00200,859
2.00200,861
2.00200,863
2.00200,867
2.00200,869
2.00200,871
2.00200,874
2.00200,876
2.00200,878
2.00200,881
2.00200,883
2.00200,885
2.00200,888
2.00200,890
1.99800,892
1.99800,895
1.99800,897
1.99800,900
1.99800,902
1.99800,904
1.99800,908
1.99800,910
1.99800,912
1.99800,915
1.99800,917
1.99800,919
1.99800,922
1.99800,924
1.99800,927
1.99800,929
1.99800,931
1.99800,934
1.99800,936
1.99800,938
1.99800,941
1.99800,943
1.99800,945
1.99800,948
1.99800,951
1.99800,954
1.99800,956
1.99800,958
2.06400,961
2.06400,963
2.06400,965
2.06400,968
2.06400,970
2.06400,972
2.06400,975
2.06400,977
2.06400,980
2.06400,982
2.06400,984
2.06400,987
2.06400,989
2.06400,991
2.06400,995
2.06400,997
2.06400,999
2.06400,1002
2.06400,1004
2.06400,1007
2.06400,1009
2.06400,1011
2.06400,1014
2.06400,1016
2.06400,1019
2.06400,1021
2.06400,1023
2.05400,1026
2.05400,1028
2.05400,1031
2.05400,1033
2.05400,1036
2.05400,1039
2.05400,1041
2.05400,1044
2.05400,1046
2.05400,1048
2.05400,1051
2.05400,1053
2.05400,1055
2.05400,1058
2.05400,1060
2.05400,1063
2.05400,1065
2.05400,1067
2.05400,1070
2.05400,1072
2.05400,1075
2.05400,1077
2.05400,1080
2.05400,1083
2.05400,1085
2.05400,1088
2.05400,1090
2.03400,1092
2.03400,1095
2.03400,1097
2.03400,1100
2.03400,1102
2.03400,1104
2.03400,1107
2.03400,1109
2.03400,1112
2.03400,1114
2.03400,1116
2.03400,1119
2.03400,1122
2.03400,1125
2.03400,1127
2.03400,1129
2.03400,1132
2.03400,1134
2.03400,1137
2.03400,1139
2.03400,1141
2.03400,1144
2.03400,1146
2.03400,1148
2.03400,1151
2.03400,1153
2.03400,1156
2.04200,1158
2.04200,1160
2.04200,1164
2.04200,1166
2.04200,1169
2.04200,1171
2.04200,1173
2.04200,1176
2.04200,1178
2.04200,1181
2.04200,1183
2.04200,1185
2.04200,1188
2.04200,1190
2.04200,1193
2.04200,1195
2.04200,1197
2.04200,1200
2.04200,1202
2.04200,1205
2.04200,1208
2.04200,1210
2.04200,1213
2.04200,1215
2.04200,1218
2.04200,1220
2.04200,1222
2.00800,1225
2.00800,1227
2.00800,1229
2.00800,1232
2.00800,1234
2.00800,1237
2.00800,1239
2.00800,1241
2.00800,1244
2.00800,1246
2.00800,1250
2.00800,1252
2.00800,1254
2.00800,1257
2.00800,1259
2.00800,1261
2.00800,1264
2.00800,1266
2.00800,1269
2.00800,1271
2.00800,1273
2.00800,1276
2.00800,1278
2.00800,1281
2.00800,1283
2.00800,1285
2.00800,1288
2.10800,1290
2.10800,1293
2.10800,1296
2.10800,1298
2.10800,1301
2.10800,1303
2.10800,1305
2.10800,1308
2.10800,1310
2.10800,1313
2.10800,1315
2.10800,1317
2.10800,1320
2.10800,1322
2.10800,1325
2.10800,1327
2.10800,1329
2.10800,1332
2.10800,1335
2.10800,1338
2.10800,1340
2.10800,1342
2.10800,1345
2.10800,1347
2.10800,1350
2.10800,1352
2.10800,1354
2.07800,1357
2.07800,1359
2.07800,1362
2.07800,1364
2.07800,1366
2.07800,1369
2.07800,1371
2.07800,1373
2.07800,1377
2.07800,1379
2.07800,1382
2.07800,1384
2.07800,1386
2.07800,1389
2.07800,1391
2.07800,1394
2.07800,1396
2.07800,1398
2.07800,1401
2.07800,1403
2.07800,1406
2.07800,1408
2.07800,1410
2.07800,1413
2.07800,1415
2.07800,1418
2.07800,1421
2.11000,1423
2.11000,1426
2.11000,1428
2.11000,1430
2.11000,1433
2.11000,1435
2.11000,1438
2.11000,1440
2.11000,1442
2.11000,1445
2.11000,1447
2.11000,1450
2.11000,1452
2.11000,1454
2.11000,1457
2.11000,1459
2.11000,1463
2.11000,1465
2.11000,1467
2.11000,1470
2.11000,1472
2.11000,1475
2.11000,1477
2.11000,1479
2.11000,1482
2.11000,1484
2.11000,1487
2.10000,1489
2.10000,1491
2.10000,1494
2.10000,1496
2.10000,1499
2.10000,1501
2.10000,1503
2.10000,1507
2.10000,1509
2.10000,1511
2.10000,1514
2.10000,1516
2.10000,1519
2.10000,1521
2.10000,1523
2.10000,1526
2.10000,1528
2.10000,1531
2.10000,1533
2.10000,1535
2.10000,1538
2.10000,1540
2.10000,1543
2.10000,1545
2.10000,1548
2.10000,1551
2.10000,1553
2.16000,1555
2.16000,1558
2.16000,1560
2.16000,1563
2.16000,1565
2.16000,1567
2.16000,1570
2.16000,1572
2.16000,1575
2.16000,1577
2.16000,1579
2.16000,1582
2.16000,1584
2.16000,1587
2.16000,1589
2.16000,1592
2.16000,1595
2.16000,1597
2.16000,1600
2.16000,1602
2.16000,1604
2.16000,1607
2.16000,1609
2.16000,1612
2.16000,1614
2.16000,1616
2.16000,1619
2.05800,1621
2.05800,1623
2.05800,1626
2.05800,1628
2.05800,1631
2.05800,1634
2.05800,1636
2.05800,1639
2.05800,1641
2.05800,1644
2.05800,1646
2.05800,1648
2.05800,1651
2.05800,1653
2.05800,1656
2.05800,1658
2.05800,1660
2.05800,1663
2.05800,1665
2.05800,1667
2.05800,1670
2.05800,1672
2.05800,1676
2.05800,1678
2.05800,1680
2.05800,1683
2.05800,1685
1.78000,1688
1.78000,1690
1.78000,1692
1.78000,1695
1.78000,1697
1.78000,1700
1.78000,1702
1.78000,1704
1.78000,1707
1.78000,1709
1.78000,1711
1.78000,1714
1.78000,1716
1.78000,1720
1.78000,1722
1.78000,1724
1.78000,1727
1.78000,1729
1.78000,1732
1.78000,1734
1.78000,1736
1.78000,1739
1.78000,1741
1.78000,1744
1.78000,1746
1.78000,1748
1.78000,1751
1.80800,1753
1.80800,1756
1.80800,1758
1.80800,1761
1.80800,1764
1.80800,1766
1.80800,1768
1.80800,1771
1.80800,1773
1.80800,1776
1.80800,1778
1.80800,1780
1.80800,1783
1.80800,1785
1.80800,1788
1.80800,1790
1.80800,1792
1.80800,1795
1.80800,1797
1.80800,1799
1.80800,1802
1.80800,1805
1.80800,1808
