power,time
1.44600,2
1.44600,4
1.44600,7
1.44600,9
1.44600,11
1.44600,13
1.44600,16
1.44600,18
1.47400,20
1.47400,23
1.47400,25
1.47400,27
1.47400,31
1.47400,33
1.47400,35
1.47400,38
1.47400,40
1.47400,42
1.47400,44
1.47400,47
1.47400,49
1.47400,51
1.47400,54
1.47400,56
1.47400,58
1.47400,61
1.47400,63
1.47400,65
1.47400,68
1.47400,70
1.47400,73
1.47400,75
1.47400,78
1.47400,80
1.47400,82
1.47400,85
1.40200,87
1.40200,89
1.40200,92
1.40200,94
1.40200,96
1.40200,99
1.40200,101
1.40200,103
1.40200,106
1.40200,108
1.40200,110
1.40200,113
1.40200,116
1.40200,118
1.40200,121
1.40200,123
1.40200,125
1.40200,128
1.40200,130
1.40200,132
1.40200,135
1.40200,137
1.40200,140
1.40200,142
1.40200,144
1.40200,147
1.40200,149
1.51800,151
1.51800,154
1.51800,156
1.51800,159
1.51800,162
1.51800,164
1.51800,167
1.51800,169
1.51800,171
1.51800,174
1.51800,176
1.51800,178
1.51800,181
1.51800,183
1.51800,186
1.51800,188
1.51800,190
1.51800,193
1.51800,195
1.51800,197
1.51800,201
1.51800,203
1.51800,205
1.51800,208
1.51800,210
1.51800,213
1.51800,215
1.51800,217
1.47400,220
1.47400,222
1.47400,224
1.47400,227
1.47400,229
1.47400,232
1.47400,234
1.47400,236
1.47400,239
1.47400,241
1.47400,244
1.47400,247
1.47400,249
1.47400,251
1.47400,254
1.47400,256
1.47400,259
1.47400,261
1.47400,263
1.47400,266
1.47400,268
1.47400,270
1.47400,273
1.47400,275
1.47400,278
1.47400,280
1.47400,282
1.44600,286
1.44600,288
1.44600,290
1.44600,293
1.44600,295
1.44600,297
1.44600,300
1.44600,302
1.44600,305
1.44600,307
1.44600,309
1.44600,312
1.44600,314
1.44600,316
1.44600,319
1.44600,321
1.44600,323
1.44600,326
1.44600,329
1.44600,332
1.44600,334
1.44600,336
1.44600,339
1.44600,341
1.44600,343
1.44600,346
1.44600,348
1.47400,350
1.47400,353
1.47400,355
1.47400,358
1.47400,360
1.47400,362
1.47400,365
1.47400,367
1.47400,369
1.47400,373
1.47400,375
1.47400,378
1.47400,380
1.47400,382
1.47400,385
1.47400,387
1.47400,389
1.47400,392
1.47400,394
1.47400,396
1.47400,399
1.47400,401
1.47400,404
1.47400,406
1.47400,408
1.47400,411
1.47400,414
1.35000,416
1.35000,419
1.35000,421
1.35000,423
1.35000,426
1.35000,428
1.35000,431
1.35000,433
1.35000,435
1.35000,438
1.35000,440
1.35000,442
1.35000,445
1.35000,447
1.35000,449
1.35000,452
1.35000,454
1.35000,458
1.35000,460
1.35000,462
1.35000,465
1.35000,467
1.35000,469
1.35000,472
1.35000,474
1.35000,476
1.35000,479
1.35000,481
1.51400,484
1.51400,486
1.51400,488
1.51400,491
1.51400,493
1.51400,495
1.51400,499
1.51400,501
1.51400,503
1.51400,506
1.51400,508
1.51400,511
1.51400,513
1.51400,515
1.51400,518
1.51400,520
1.51400,522
1.51400,525
1.51400,527
1.51400,530
1.51400,532
1.51400,534
1.51400,537
1.51400,539
1.51400,542
1.51400,545
1.51400,547
1.54000,549
1.54000,552
1.54000,554
1.54000,557
1.54000,559
1.54000,561
1.54000,564
1.54000,566
1.54000,568
1.54000,571
1.54000,573
1.54000,575
1.54000,578
1.54000,580
1.54000,583
1.54000,586
1.54000,588
1.54000,591
1.54000,593
1.54000,595
1.54000,598
1.54000,600
1.54000,602
1.54000,605
1.54000,607
1.54000,609
1.54000,612
1.51800,614
1.51800,617
1.51800,619
1.51800,621
1.51800,624
1.51800,627
1.51800,629
1.51800,632
1.51800,634
1.51800,637
1.51800,639
1.51800,641
1.51800,644
1.51800,646
1.51800,648
1.51800,651
1.51800,653
1.51800,655
1.51800,658
1.51800,660
1.51800,663
1.51800,665
1.51800,667
1.51800,671
1.51800,673
1.51800,675
1.51800,678
1.52800,680
1.52800,683
1.52800,685
1.52800,687
1.52800,690
1.52800,692
1.52800,694
1.52800,697
1.52800,699
1.52800,701
1.52800,704
1.52800,706
1.52800,709
1.52800,711
1.52800,714
1.52800,717
1.52800,719
1.52800,721
1.52800,724
1.52800,726
1.52800,729
1.52800,731
1.52800,733
1.52800,736
1.52800,738
1.52800,740
1.52800,743
1.52800,745
1.57000,747
1.57000,750
1.57000,752
1.57000,756
1.57000,758
1.57000,760
1.57000,763
1.57000,765
1.57000,767
1.57000,770
1.57000,772
1.57000,774
1.57000,777
1.57000,779
1.57000,782
1.57000,784
1.57000,786
1.57000,789
1.57000,791
1.57000,793
1.57000,796
1.57000,799
1.57000,801
1.57000,804
1.57000,806
1.57000,809
1.57000,811
1.52800,813
1.52800,816
1.52800,818
1.52800,820
1.52800,823
1.52800,825
1.52800,827
1.52800,830
1.52800,832
1.52800,835
1.52800,837
1.52800,839
1.52800,843
1.52800,845
1.52800,847
1.52800,850
1.52800,852
1.52800,854
1.52800,857
1.52800,859
1.52800,862
1.52800,864
1.52800,866
1.52800,869
1.52800,871
1.52800,873
1.52800,876
1.59200,878
1.59200,881
1.59200,884
1.59200,886
1.59200,889
1.59200,891
1.59200,893
1.59200,896
1.59200,898
1.59200,900
1.59200,903
1.59200,905
1.59200,908
1.59200,910
1.59200,912
1.59200,915
1.59200,917
1.59200,919
1.59200,922
1.59200,924
1.59200,928
1.59200,930
1.59200,932
1.59200,935
1.59200,937
1.59200,939
1.59200,942
1.53600,944
1.53600,947
1.53600,949
1.53600,951
1.53600,954
1.53600,956
1.53600,958
1.53600,961
1.53600,963
1.53600,965
1.53600,969
1.53600,971
1.53600,974
1.53600,976
1.53600,978
1.53600,981
1.53600,983
1.53600,985
1.53600,988
1.53600,990
1.53600,993
1.53600,995
1.53600,997
1.53600,1000
1.53600,1002
1.53600,1004
1.53600,1007
1.53600,1009
1.58200,1013
1.58200,1015
1.58200,1017
1.58200,1020
1.58200,1022
1.58200,1025
1.58200,1027
1.58200,1029
1.58200,1032
1.58200,1034
1.58200,1037
1.58200,1039
1.58200,1041
1.58200,1044
1.58200,1046
1.58200,1049
1.58200,1051
1.58200,1054
1.58200,1057
1.58200,1059
1.58200,1062
1.58200,1064
1.58200,1066
1.58200,1069
1.58200,1071
1.58200,1074
1.58200,1076
1.56600,1078
1.56600,1081
1.56600,1083
1.56600,1086
1.56600,1088
1.56600,1090
1.56600,1093
1.56600,1095
1.56600,1098
1.56600,1101
1.56600,1103
1.56600,1106
1.56600,1108
1.56600,1110
1.56600,1113
1.56600,1115
1.56600,1118
1.56600,1120
1.56600,1122
1.56600,1125
1.56600,1127
1.56600,1130
1.56600,1132
1.56600,1134
1.56600,1137
1.56600,1140
1.55400,1143
1.55400,1145
1.55400,1147
1.55400,1150
1.55400,1152
1.55400,1155
1.55400,1157
1.55400,1159
1.55400,1162
1.55400,1164
1.55400,1167
1.55400,1169
1.55400,1171
1.55400,1174
1.55400,1176
1.55400,1179
1.55400,1182
1.55400,1184
1.55400,1187
1.55400,1189
1.55400,1192
1.55400,1194
1.55400,1196
1.55400,1199
1.55400,1201
1.55400,1204
1.55400,1206
1.59600,1208
1.59600,1211
1.59600,1213
1.59600,1215
1.59600,1218
1.59600,1220
1.59600,1223
1.59600,1226
1.59600,1228
1.59600,1231
1.59600,1233
1.59600,1236
