power,time
1.44800,2
1.44800,4
1.44800,7
1.44800,9
1.44800,11
1.44800,13
1.44800,16
1.44800,18
1.44800,20
1.44800,23
1.44800,25
1.44800,27
1.44800,31
1.44800,33
1.44800,35
1.44800,37
1.44800,40
1.44800,42
1.44800,44
1.44800,47
1.44800,49
1.44800,51
1.44800,54
1.44800,56
1.44800,58
1.44800,61
1.48400,63
1.48400,65
1.48400,68
1.48400,70
1.48400,72
1.48400,75
1.48400,78
1.48400,80
1.48400,82
1.48400,85
1.48400,87
1.48400,89
1.48400,92
1.48400,94
1.48400,96
1.48400,98
1.48400,101
1.48400,103
1.48400,106
1.48400,108
1.48400,110
1.48400,113
1.48400,115
1.48400,118
1.48400,121
1.48400,123
1.48400,125
1.48400,128
1.41000,130
1.41000,132
1.41000,135
1.41000,137
1.41000,140
1.41000,142
1.41000,144
1.41000,147
1.41000,149
1.41000,151
1.41000,154
1.41000,156
1.41000,159
1.41000,162
1.41000,164
1.41000,167
1.41000,169
1.41000,171
1.41000,174
1.41000,176
1.41000,178
1.41000,181
1.41000,183
1.41000,185
1.41000,188
1.41000,190
1.41000,193
1.59600,195
1.59600,197
1.59600,200
1.59600,203
1.59600,205
1.59600,208
1.59600,210
1.59600,212
1.59600,215
1.59600,217
1.59600,220
1.59600,222
1.59600,224
1.59600,227
1.59600,229
1.59600,231
1.59600,234
1.59600,236
1.59600,238
1.59600,241
1.59600,243
1.59600,247
1.59600,249
1.59600,251
1.59600,254
1.59600,256
1.59600,258
1.36000,261
1.36000,263
1.36000,265
1.36000,268
1.36000,270
1.36000,272
1.36000,275
1.36000,277
1.36000,280
1.36000,282
1.36000,284
1.36000,288
1.36000,290
1.36000,292
1.36000,295
1.36000,297
1.36000,299
1.36000,302
1.36000,304
1.36000,307
1.36000,309
1.36000,311
1.36000,314
1.36000,316
1.36000,318
1.36000,321
1.36000,323
1.53400,325
1.53400,328
1.53400,331
1.53400,334
1.53400,336
1.53400,338
1.53400,341
1.53400,343
1.53400,345
1.53400,348
1.53400,350
1.53400,352
1.53400,355
1.53400,357
1.53400,360
1.53400,362
1.53400,364
1.53400,367
1.53400,369
1.53400,371
1.53400,375
1.53400,377
1.53400,380
1.53400,382
1.53400,384
1.53400,387
1.53400,389
1.53400,391
1.29400,394
1.29400,396
1.29400,398
1.29400,401
1.29400,403
1.29400,406
1.29400,408
1.29400,410
1.29400,413
1.29400,416
1.29400,418
1.29400,421
1.29400,423
1.29400,425
1.29400,428
1.29400,430
1.29400,433
1.29400,435
1.29400,437
1.29400,440
1.29400,442
1.29400,444
1.29400,447
1.29400,449
1.29400,451
1.29400,454
1.29400,456
1.45800,460
1.45800,462
1.45800,464
1.45800,467
1.45800,469
1.45800,471
1.45800,474
1.45800,476
1.45800,478
1.45800,481
1.45800,483
1.45800,486
1.45800,488
1.45800,490
1.45800,493
1.45800,495
1.45800,497
1.45800,501
1.45800,503
1.45800,505
1.45800,508
1.45800,510
1.45800,513
1.45800,515
1.45800,517
1.45800,520
1.45800,522
1.71800,524
1.71800,527
1.71800,529
1.71800,532
1.71800,534
1.71800,536
1.71800,539
1.71800,541
