power,time
1.44800,3
1.44800,5
1.44800,7
1.44800,9
1.44800,12
1.44800,14
1.44800,16
1.44800,19
1.44800,21
1.44800,23
1.44800,27
1.44800,29
1.44800,31
1.45800,33
1.45800,36
1.45800,38
1.45800,40
1.45800,43
1.45800,45
1.45800,47
1.45800,50
1.45800,52
1.45800,54
1.45800,57
1.45800,59
1.45800,61
1.45800,63
1.45800,66
1.45800,69
1.45800,71
1.45800,74
1.45800,76
1.45800,78
1.45800,81
1.45800,83
1.45800,85
1.45800,88
1.45800,90
1.45800,92
1.45800,94
1.45800,97
1.42800,99
1.42800,101
1.42800,104
1.42800,106
1.42800,109
1.42800,112
1.42800,114
1.42800,117
1.42800,119
1.42800,121
1.42800,124
1.42800,126
1.42800,128
1.42800,131
1.42800,133
1.42800,135
1.42800,138
1.42800,140
1.42800,143
1.42800,145
1.42800,147
1.42800,150
1.42800,152
1.42800,155
1.42800,158
1.42800,160
1.42800,163
1.71000,165
1.71000,167
1.71000,170
1.71000,172
1.71000,174
1.71000,177
1.71000,179
1.71000,181
1.71000,184
1.71000,186
1.71000,189
1.71000,191
1.71000,193
1.71000,197
1.71000,199
1.71000,201
1.71000,204
1.71000,206
1.71000,208
1.71000,211
1.71000,213
1.71000,216
1.71000,218
1.71000,220
1.71000,223
1.71000,225
1.71000,227
1.59600,230
1.59600,232
1.59600,234
1.59600,237
1.59600,240
1.59600,243
1.59600,245
1.59600,247
1.59600,250
1.59600,252
1.59600,254
1.59600,257
1.59600,259
1.59600,261
1.59600,264
1.59600,266
1.59600,269
1.59600,271
1.59600,273
1.59600,276
1.59600,278
1.59600,280
1.59600,284
1.59600,286
1.59600,288
1.59600,291
1.59600,293
1.59600,296
1.62600,298
1.62600,300
1.62600,303
1.62600,305
1.62600,307
1.62600,310
1.62600,312
1.62600,314
1.62600,317
1.62600,319
1.62600,322
1.62600,325
1.62600,327
1.62600,330
1.62600,332
1.62600,334
1.62600,337
1.62600,339
1.62600,342
1.62600,344
1.62600,346
1.62600,349
1.62600,351
