power,time
1.44800,3
1.44800,5
1.44800,8
1.44800,10
1.44800,13
1.44800,15
1.44800,17
1.45800,20
1.45800,22
1.45800,24
1.45800,27
1.45800,29
1.45800,31
1.45800,34
1.45800,36
1.45800,38
1.45800,40
1.45800,43
1.45800,45
1.45800,47
1.45800,51
1.45800,53
1.45800,55
1.45800,58
1.45800,60
1.45800,62
1.45800,65
1.45800,67
1.45800,69
1.45800,71
1.45800,74
1.45800,76
1.45800,78
1.45800,81
1.45800,83
1.41800,85
1.41800,88
1.41800,90
1.41800,92
1.41800,96
1.41800,98
1.41800,100
1.41800,103
1.41800,105
1.41800,107
1.41800,110
1.41800,112
1.41800,114
1.41800,117
1.41800,119
1.41800,121
1.41800,124
1.41800,126
1.41800,129
1.41800,131
1.41800,133
1.41800,137
1.41800,139
1.41800,141
1.41800,144
1.41800,146
1.41800,149
1.49000,151
1.49000,153
1.49000,156
1.49000,158
1.49000,160
1.49000,163
1.49000,165
1.49000,167
1.49000,170
1.49000,172
1.49000,174
1.49000,177
1.49000,180
1.49000,182
1.49000,185
1.49000,187
1.49000,190
1.49000,192
1.49000,194
1.49000,197
1.49000,199
1.49000,201
1.49000,204
1.49000,206
1.49000,208
1.49000,211
1.49000,213
1.50400,215
1.50400,218
1.50400,220
1.50400,224
1.50400,226
1.50400,228
1.50400,231
1.50400,233
1.50400,235
1.50400,238
1.50400,240
1.50400,242
1.50400,245
1.50400,247
1.50400,250
1.50400,252
1.50400,254
1.50400,257
1.50400,259
1.50400,261
1.50400,265
1.50400,267
1.50400,269
1.50400,272
1.50400,274
1.50400,276
1.50400,279
1.50400,281
1.42800,284
1.42800,286
1.42800,288
1.42800,291
1.42800,293
1.42800,295
1.42800,298
1.42800,300
1.42800,303
1.42800,305
1.42800,308
1.42800,311
1.42800,313
1.42800,315
1.42800,318
1.42800,320
1.42800,322
1.42800,325
1.42800,327
1.42800,330
1.42800,332
1.42800,334
1.42800,337
1.42800,339
1.42800,341
1.42800,344
1.42800,346
1.50400,348
1.50400,352
