power,time
1.44600,3
1.44600,5
1.44600,7
1.44600,10
1.44600,12
1.44600,14
1.44600,16
1.44600,19
1.46800,21
1.46800,24
1.46800,27
1.46800,29
1.46800,31
1.46800,34
1.46800,36
1.46800,38
1.46800,41
1.46800,43
1.46800,45
1.46800,47
1.46800,50
1.46800,52
1.46800,54
1.46800,57
1.46800,59
1.46800,61
1.46800,64
1.46800,67
1.46800,69
1.46800,72
1.46800,74
1.46800,76
1.46800,78
1.46800,81
1.46800,83
1.46800,85
1.39600,88
1.39600,90
1.39600,92
1.39600,95
1.39600,97
1.39600,99
1.39600,102
1.39600,104
1.39600,106
1.39600,110
1.39600,112
1.39600,114
1.39600,117
1.39600,119
1.39600,121
1.39600,124
1.39600,126
1.39600,129
1.39600,131
1.39600,133
1.39600,136
1.39600,138
1.39600,140
1.39600,143
1.39600,145
1.39600,147
1.39600,151
1.52000,153
1.52000,156
1.52000,158
1.52000,160
1.52000,163
1.52000,165
1.52000,167
1.52000,170
1.52000,172
1.52000,174
1.52000,177
1.52000,179
1.52000,182
1.52000,184
1.52000,186
1.52000,189
1.52000,191
1.52000,194
1.52000,197
1.52000,199
1.52000,201
1.52000,204
1.52000,206
1.52000,209
1.52000,211
1.52000,213
1.52000,216
1.52000,218
1.48200,220
1.48200,223
1.48200,225
1.48200,227
1.48200,230
1.48200,232
1.48200,235
1.48200,238
1.48200,240
1.48200,243
1.48200,245
1.48200,247
1.48200,250
1.48200,252
1.48200,254
1.48200,257
1.48200,259
1.48200,262
1.48200,264
1.48200,266
1.48200,269
1.48200,271
1.48200,273
1.48200,276
1.48200,279
1.48200,281
1.48200,284
1.44600,286
1.44600,289
1.44600,291
1.44600,293
1.44600,296
1.44600,298
1.44600,300
1.44600,303
1.44600,305
1.44600,307
1.44600,310
1.44600,312
1.44600,315
1.44600,317
1.44600,319
1.44600,323
1.44600,325
1.44600,327
1.44600,330
1.44600,332
1.44600,334
1.44600,337
1.44600,339
1.44600,342
1.44600,344
1.44600,346
1.44600,349
1.45400,351
1.45400,353
1.45400,356
1.45400,358
1.45400,360
1.45400,363
1.45400,366
1.45400,369
1.45400,371
1.45400,373
1.45400,376
1.45400,378
1.45400,380
1.45400,383
1.45400,385
1.45400,388
1.45400,390
1.45400,392
1.45400,395
1.45400,397
1.45400,399
1.45400,402
1.45400,404
1.45400,407
1.45400,410
1.45400,412
1.45400,415
1.45400,417
1.35000,419
1.35000,422
1.35000,424
1.35000,426
1.35000,429
1.35000,431
1.35000,433
1.35000,436
1.35000,438
1.35000,441
1.35000,443
1.35000,445
1.35000,448
1.35000,451
1.35000,453
1.35000,456
1.35000,458
1.35000,460
1.35000,463
1.35000,465
1.35000,467
1.35000,470
1.35000,472
1.35000,475
1.35000,477
1.35000,479
1.35000,482
1.52000,484
1.52000,486
1.52000,489
1.52000,491
1.52000,494
1.52000,497
1.52000,499
1.52000,502
1.52000,504
1.52000,506
1.52000,509
1.52000,511
1.52000,513
1.52000,516
1.52000,518
1.52000,520
1.52000,523
1.52000,525
1.52000,528
1.52000,530
1.52000,532
1.52000,536
1.52000,538
1.52000,540
1.52000,543
1.52000,545
1.52000,547
1.56000,550
1.56000,552
1.56000,555
1.56000,557
1.56000,559
1.56000,562
1.56000,564
1.56000,566
1.56000,569
1.56000,571
1.56000,573
1.56000,576
1.56000,579
1.56000,581
1.56000,584
1.56000,586
1.56000,589
1.56000,591
1.56000,593
1.56000,596
1.56000,598
1.56000,600
1.56000,603
1.56000,605
1.56000,607
1.56000,610
1.56000,612
1.54400,615
1.54400,617
1.54400,619
1.54400,623
1.54400,625
1.54400,627
1.54400,630
1.54400,632
1.54400,635
1.54400,637
1.54400,639
1.54400,642
1.54400,644
1.54400,646
1.54400,649
1.54400,651
1.54400,653
1.54400,656
1.54400,658
1.54400,661
1.54400,664
1.54400,666
1.54400,669
1.54400,671
1.54400,673
1.54400,676
1.54400,678
1.54400,680
1.54600,683
1.54600,685
1.54600,688
1.54600,690
1.54600,692
1.54600,695
1.54600,697
1.54600,699
1.54600,702
1.54600,704
1.54600,707
1.54600,710
1.54600,712
1.54600,715
1.54600,717
1.54600,719
1.54600,722
1.54600,724
1.54600,726
1.54600,729
1.54600,731
1.54600,734
1.54600,736
1.54600,738
1.54600,741
1.54600,743
1.54600,745
1.57600,749
1.57600,751
1.57600,754
1.57600,756
1.57600,758
1.57600,761
1.57600,763
1.57600,765
1.57600,768
1.57600,770
1.57600,772
1.57600,775
1.57600,777
1.57600,780
1.57600,782
1.57600,784
1.57600,787
1.57600,789
1.57600,792
1.57600,795
1.57600,797
1.57600,800
1.57600,802
1.57600,804
1.57600,807
1.57600,809
1.57600,811
1.53600,814
1.53600,816
1.53600,818
1.53600,821
1.53600,823
1.53600,826
1.53600,828
1.53600,830
1.53600,834
1.53600,836
1.53600,838
1.53600,841
1.53600,843
1.53600,846
1.53600,848
1.53600,850
1.53600,853
1.53600,855
1.53600,857
1.53600,860
1.53600,862
1.53600,864
1.53600,867
1.53600,869
1.53600,872
1.53600,874
1.53600,877
1.59200,880
1.59200,882
1.59200,884
1.59200,887
1.59200,889
1.59200,892
1.59200,894
1.59200,896
1.59200,899
1.59200,901
1.59200,903
1.59200,906
1.59200,908
1.59200,910
1.59200,913
1.59200,915
1.59200,919
1.59200,921
1.59200,923
1.59200,926
1.59200,928
1.59200,930
1.59200,933
1.59200,935
1.59200,938
1.59200,940
1.59200,942
1.59200,945
1.53000,947
1.53000,949
1.53000,952
1.53000,954
1.53000,956
1.53000,959
1.53000,962
1.53000,965
1.53000,967
1.53000,969
1.53000,972
1.53000,974
1.53000,976
1.53000,979
1.53000,981
1.53000,983
1.53000,986
1.53000,988
1.53000,991
1.53000,993
1.53000,995
1.53000,998
1.53000,1000
1.53000,1002
1.53000,1006
1.53000,1008
1.53000,1011
1.58600,1013
1.58600,1015
1.58600,1018
1.58600,1020
1.58600,1023
1.58600,1025
1.58600,1027
1.58600,1030
1.58600,1032
1.58600,1035
1.58600,1037
1.58600,1039
1.58600,1042
1.58600,1044
1.58600,1048
1.58600,1050
1.58600,1052
1.58600,1055
1.58600,1057
1.58600,1060
1.58600,1062
1.58600,1064
1.58600,1067
1.58600,1069
1.58600,1071
1.58600,1074
1.58600,1076
1.56600,1079
1.56600,1081
1.56600,1083
1.56600,1086
1.56600,1088
1.56600,1092
1.56600,1094
1.56600,1096
1.56600,1099
1.56600,1101
1.56600,1104
1.56600,1106
1.56600,1108
1.56600,1111
1.56600,1113
1.56600,1116
1.56600,1118
1.56600,1120
1.56600,1123
1.56600,1125
1.56600,1128
1.56600,1130
1.56600,1133
1.56600,1136
1.56600,1138
1.56600,1141
1.56600,1143
1.55600,1145
1.55600,1148
1.55600,1150
1.55600,1153
1.55600,1155
1.55600,1157
1.55600,1160
1.55600,1162
1.55600,1165
1.55600,1167
1.55600,1169
1.55600,1172
1.55600,1175
1.55600,1178
1.55600,1180
1.55600,1182
1.55600,1185
1.55600,1187
1.55600,1190
1.55600,1192
1.55600,1194
1.55600,1197
1.55600,1199
1.55600,1201
1.55600,1204
1.55600,1206
1.55600,1209
1.59600,1211
1.59600,1213
1.59600,1216
1.59600,1219
1.59600,1222
1.59600,1224
1.59600,1226
1.59600,1229
1.59600,1231
1.59600,1234
1.59600,1236
1.59600,1238
1.59600,1241
1.59600,1243
1.59600,1246
1.59600,1248
1.59600,1250
1.59600,1253
1.59600,1255
1.59600,1258
1.59600,1261
1.59600,1263
1.59600,1266
1.59600,1268
1.59600,1271
1.59600,1273
1.59600,1275
1.54400,1278
1.54400,1280
1.54400,1283
1.54400,1285
1.54400,1287
1.54400,1290
1.54400,1292
1.54400,1294
1.54400,1297
1.54400,1299
1.54400,1303
1.54400,1305
1.54400,1307
1.54400,1310
1.54400,1312
1.54400,1315
1.54400,1317
1.54400,1319
1.54400,1322
1.54400,1324
1.54400,1327
1.54400,1329
1.54400,1331
1.54400,1334
1.54400,1336
1.54400,1339
1.59600,1341
1.59600,1343
1.59600,1347
1.59600,1349
1.59600,1352
1.59600,1354
1.59600,1356
1.59600,1359
1.59600,1361
1.59600,1364
1.59600,1366
1.59600,1368
1.59600,1371
1.59600,1373
1.59600,1375
1.59600,1378
1.59600,1380
1.59600,1383
1.59600,1385
1.59600,1387
1.59600,1391
1.59600,1393
1.59600,1396
1.59600,1398
1.59600,1400
1.59600,1403
1.59600,1405
1.56000,1408
1.56000,1410
1.56000,1412
1.56000,1415
1.56000,1417
1.56000,1420
1.56000,1422
1.56000,1424
1.56000,1427
1.56000,1429
1.56000,1433
1.56000,1435
1.56000,1437
1.56000,1440
1.56000,1442
1.56000,1444
1.56000,1447
1.56000,1449
1.56000,1452
1.56000,1454
1.56000,1456
1.56000,1459
1.56000,1461
1.56000,1464
1.56000,1466
1.56000,1468
1.56000,1471
1.57000,1474
1.57000,1477
1.57000,1479
1.57000,1481
1.57000,1484
1.57000,1486
1.57000,1489
1.57000,1491
1.57000,1493
1.57000,1496
1.57000,1498
1.57000,1500
1.57000,1503
1.57000,1505
1.57000,1508
1.57000,1510
1.57000,1512
1.57000,1515
1.57000,1518
1.57000,1521
1.57000,1523
1.57000,1525
1.57000,1528
1.57000,1530
1.57000,1533
1.57000,1535
1.57000,1537
1.59000,1540
1.59000,1542
1.59000,1545
1.59000,1547
1.59000,1549
1.59000,1552
1.59000,1554
1.59000,1557
1.59000,1560
1.59000,1562
1.59000,1565
1.59000,1567
1.59000,1569
1.59000,1572
1.59000,1574
1.59000,1577
1.59000,1579
1.59000,1581
1.59000,1584
1.59000,1586
1.59000,1589
1.59000,1591
1.59000,1593
1.59000,1596
1.59000,1598
1.59000,1602
1.59000,1604
1.53600,1606
1.53600,1609
1.53600,1611
1.53600,1614
1.53600,1616
1.53600,1618
1.53600,1621
1.53600,1623
1.53600,1626
1.53600,1628
1.53600,1630
1.53600,1633
1.53600,1635
1.53600,1638
1.53600,1640
1.53600,1642
1.53600,1646
1.53600,1648
1.53600,1651
1.53600,1653
1.53600,1655
1.53600,1658
1.53600,1660
1.53600,1662
1.53600,1665
1.53600,1667
1.53600,1670
1.59600,1672
1.59600,1674
1.59600,1677
1.59600,1679
1.59600,1682
1.59600,1684
1.59600,1687
1.59600,1690
1.59600,1692
1.59600,1695
1.59600,1697
1.59600,1699
1.59600,1702
1.59600,1704
1.59600,1707
1.59600,1709
1.59600,1711
1.59600,1714
1.59600,1716
1.59600,1719
1.59600,1721
1.59600,1723
1.59600,1726
1.59600,1728
1.59600,1732
1.59600,1734
1.59600,1736
1.57000,1739
1.57000,1741
1.57000,1743
1.57000,1746
1.57000,1748
1.57000,1751
1.57000,1753
1.57000,1755
1.57000,1758
1.57000,1760
1.57000,1763
1.57000,1765
1.57000,1767
1.57000,1770
1.57000,1773
1.57000,1776
1.57000,1778
1.57000,1780
1.57000,1783
1.57000,1785
1.57000,1788
1.57000,1790
1.57000,1792
1.57000,1795
1.57000,1797
1.57000,1800
1.57000,1802
1.56000,1804
1.56000,1807
1.56000,1809
1.56000,1811
1.56000,1815
1.56000,1817
1.56000,1820
1.56000,1822
1.56000,1824
1.56000,1827
1.56000,1829
1.56000,1832
1.56000,1834
1.56000,1836
1.56000,1839
1.56000,1841
1.56000,1844
1.56000,1846
1.56000,1848
1.56000,1851
1.56000,1853
1.56000,1856
1.56000,1859
1.56000,1861
1.56000,1864
1.56000,1866
1.56000,1868
1.56600,1871
1.56600,1873
1.56600,1876
1.56600,1878
1.56600,1880
1.56600,1883
1.56600,1885
1.56600,1888
1.56600,1890
1.56600,1892
1.56600,1895
1.56600,1897
1.56600,1901
1.56600,1903
1.56600,1905
1.56600,1908
1.56600,1910
1.56600,1913
1.56600,1915
1.56600,1917
