power,time
1.17000,4
1.29800,31
1.33600,98
1.54000,162
1.71000,228
1.69800,294
1.71800,361
1.72400,428
1.69000,494
1.70400,559
1.71000,624
1.69000,691
1.67800,757
1.69800,824
1.69000,890
1.67400,955
1.71800,1021
1.69800,1087
1.69800,1154
1.73600,1220
1.70000,1287
1.71000,1351
1.72400,1418
1.70000,1484
1.71400,1550
1.72600,1616
1.70800,1681
1.70800,1748
1.71800,1814
1.71000,1881
1.69400,1947
1.72600,2013
1.70800,2078
1.69800,2144
1.73400,2210
1.69400,2277
1.70800,2344
1.74000,2408
1.70800,2475
1.72000,2541
1.72600,2607
1.70000,2673
1.71800,2740
1.72600,2804
1.71000,2871
1.69000,2937
1.71400,3004
1.69800,3070
1.67800,3135
1.71800,3201
1.68800,3267
1.68400,3334
1.71800,3400
1.67800,3467
1.69800,3531
1.71800,3598
1.69800,3663
1.71400,3730
1.72600,3797
1.71400,3863
1.69800,3928
1.72000,3994
1.71400,4061
1.69800,4126
1.73400,4193
1.69000,4257
1.69000,4324
1.73000,4390
1.68200,4457
1.68800,4524
1.69800,4589
1.67800,4655
1.68800,4720
1.69400,4787
1.70800,4853
1.70000,4920
1.72000,4986
1.71400,5051
1.69800,5117
1.74000,5183
1.40600,5250
1.56400,5316
1.78200,5381
1.77200,5447
1.90400,5514
1.83800,5580
1.65200,5646
