power,time
1.57000,4
1.53000,50
1.27200,116
1.66200,182
1.80600,249
1.93000,315
1.92400,381
1.95400,446
1.93400,512
1.92600,578
1.96600,645
1.93000,712
1.94000,778
1.97200,843
1.94000,908
1.95600,975
1.98200,1041
1.97200,1108
1.95000,1172
1.94600,1239
1.95000,1305
1.97200,1371
1.99200,1438
1.94600,1502
1.92600,1569
1.98200,1635
1.97200,1702
1.97000,1768
1.99200,1833
1.94400,1898
1.96200,1965
1.95000,2031
1.92600,2098
1.93000,2165
1.94600,2229
1.95000,2296
1.91400,2361
1.94400,2428
1.94400,2494
1.95600,2559
1.96600,2625
1.95600,2692
1.94600,2759
1.97200,2824
1.95600,2890
1.97200,2955
1.97600,3022
1.95400,3088
1.97000,3155
1.97200,3219
1.96000,3286
1.95000,3352
1.98000,3418
1.97000,3485
1.95400,3549
1.98200,3616
1.94600,3682
1.93000,3749
1.96600,3815
1.92600,3880
1.92600,3946
1.95600,4012
1.93400,4078
1.94000,4145
1.95000,4212
1.93400,4276
1.92600,4343
1.94000,4409
1.96600,4475
1.96000,4541
1.97200,4606
1.95000,4672
1.96000,4739
1.99800,4806
1.95000,4872
1.95600,4937
1.95400,5002
1.94000,5069
1.99000,5135
1.98600,5202
1.93600,5266
1.94000,5333
1.97200,5399
1.96600,5465
1.97600,5532
1.96600,5596
1.94400,5663
1.91000,5729
1.96000,5796
1.92400,5862
1.92600,5928
1.96000,5993
1.94000,6059
1.92600,6125
1.96000,6192
1.96200,6259
1.97000,6323
1.95600,6390
1.97200,6455
1.95400,6522
1.96000,6588
1.98200,6655
1.95600,6719
1.97200,6786
1.98200,6851
1.94600,6918
1.96600,6985
1.97600,7049
1.96200,7116
1.95000,7182
1.98200,7249
1.96200,7315
1.92600,7380
1.95600,7446
1.92400,7512
1.92600,7579
1.96600,7645
1.93000,7710
1.93400,7776
1.96000,7843
1.92400,7909
1.93400,7975
1.94600,8040
1.97000,8106
1.95400,8172
1.96200,8239
1.94600,8306
1.95400,8370
1.99200,8437
1.96000,8503
1.94400,8569
1.95600,8635
1.96600,8700
1.97200,8766
1.98600,8833
1.93600,8899
1.94600,8965
1.97200,9031
1.96000,9096
1.96000,9163
1.99200,9229
1.95000,9296
1.90800,9362
1.95000,9427
1.92600,9493
1.92000,9559
1.97600,9625
1.93400,9692
1.92000,9757
1.98200,9823
1.96600,9890
1.97000,9956
1.97600,10022
1.96600,10087
1.97200,10154
1.97600,10219
1.97000,10286
1.95400,10350
1.98600,10417
1.97200,10484
1.95400,10550
1.98200,10617
1.95400,10681
1.95000,10748
1.99600,10814
1.96000,10881
1.95600,10945
1.95400,11012
1.92600,11079
1.94000,11144
1.94000,11210
1.92000,11276
1.93400,11342
1.95400,11408
1.94400,11475
1.92600,11539
1.95000,11606
1.92600,11672
1.95000,11739
1.99000,11804
1.95400,11870
1.93400,11937
1.98600,12003
1.96000,12070
1.97600,12134
1.96600,12201
1.93400,12266
1.97200,12333
1.98200,12398
1.95600,12464
1.93400,12531
1.97200,12597
1.96200,12664
1.95400,12728
2.00800,12795
1.95600,12861
1.92400,12928
1.94600,12992
1.92000,13059
1.96200,13126
1.95400,13192
1.91600,13257
1.93000,13323
1.93600,13389
1.96000,13455
1.97200,13522
1.93600,13586
1.97600,13653
1.96600,13719
1.97000,13786
1.97200,13851
1.94400,13917
1.97000,13984
1.97600,14050
1.97200,14117
1.95600,14181
1.97000,14248
1.97000,14314
1.95600,14380
1.99000,14445
1.95000,14511
1.94600,14578
1.96600,14644
1.91600,14711
1.92600,14775
1.96200,14842
1.93000,14908
1.94400,14975
1.95000,15039
1.93400,15106
1.93400,15172
1.94000,15239
1.93400,15304
1.95400,15370
1.98600,15437
1.96200,15502
1.95000,15569
1.98200,15633
1.94600,15700
1.93600,15766
1.98200,15833
1.96000,15897
1.96200,15964
1.94600,16031
1.95400,16097
1.98200,16164
1.98600,16228
1.98000,16295
1.94400,16361
1.98200,16427
1.96200,16492
1.92400,16559
1.99000,16625
1.93000,16691
1.92000,16758
1.95600,16822
1.92600,16889
1.94000,16955
1.94600,17022
1.95400,17086
1.97200,17153
1.98000,17219
1.98000,17286
1.93600,17351
1.98000,17417
1.96600,17484
1.96000,17549
1.99200,17616
1.95400,17681
1.95400,17747
1.98600,17813
1.94600,17880
1.97000,17944
1.98200,18011
1.95000,18078
1.97000,18144
1.96600,18211
1.94000,18275
1.94000,18342
1.94600,18408
1.94400,18475
1.91000,18539
1.96600,18606
1.93600,18671
1.92600,18738
1.97000,18805
1.92600,18869
1.93400,18936
1.96000,19002
1.95400,19069
1.97200,19133
1.97600,19200
1.96200,19266
1.95600,19333
1.96600,19398
1.94000,19464
1.95400,19531
1.99200,19597
1.96600,19663
1.93400,19728
1.98200,19794
1.95400,19860
1.98000,19927
1.99200,19991
1.96200,20058
1.95400,20125
1.94600,20191
1.94600,20258
1.94400,20322
1.94000,20389
1.92400,20455
1.92400,20522
1.94600,20586
1.96000,20653
1.92600,20719
1.98000,20785
1.96000,20852
1.96000,20916
1.95400,20983
1.96600,21049
1.97200,21116
1.96000,21180
1.97600,21247
