power,time
1.57000,4
1.57600,38
1.28400,104
1.57600,171
1.64800,237
1.65800,302
1.64800,367
1.68800,434
1.64400,500
1.64800,567
1.70800,633
1.66800,698
1.68200,765
1.69400,830
1.66800,897
1.68200,963
1.69400,1028
1.68200,1094
1.66800,1161
1.69400,1226
1.68200,1293
1.66200,1360
1.69000,1424
1.64400,1491
1.64200,1557
1.68400,1624
1.64400,1689
1.65800,1755
1.69000,1820
1.66800,1887
1.68200,1953
1.69400,2020
1.67800,2084
1.66800,2151
1.69400,2217
1.67800,2283
1.66400,2350
1.70000,2414
1.67200,2481
1.66200,2547
1.70000,2614
1.66200,2679
1.66400,2745
1.69800,2811
1.65800,2877
1.67400,2944
1.69000,3010
1.65400,3075
1.67800,3141
1.68400,3208
1.67400,3273
1.65800,3340
1.68400,3406
1.67400,3471
1.66400,3538
1.70400,3604
1.66400,3671
1.65200,3736
1.68800,3802
1.64800,3867
1.66400,3934
1.67400,4000
1.64400,4067
1.65800,4131
1.68800,4198
1.67800,4265
1.66400,4330
1.69400,4397
1.67800,4461
1.66400,4528
1.70400,4594
1.66400,4661
1.66400,4727
1.70400,4792
1.66800,4859
1.67400,4924
1.68200,4991
1.64400,5057
1.65800,5122
1.66800,5188
1.65800,5255
1.64400,5321
1.68400,5387
1.68200,5452
1.66800,5518
1.68800,5585
1.66800,5651
1.66800,5718
1.69800,5782
1.66200,5849
1.66800,5915
1.68800,5981
1.66800,6047
1.67800,6114
1.67400,6178
1.66400,6245
1.67800,6312
1.66800,6378
1.68800,6444
1.65800,6509
1.65200,6575
1.70400,6641
1.66200,6708
1.67200,6774
1.68400,6839
1.65400,6905
1.67400,6972
1.68400,7038
1.67400,7104
1.66400,7169
1.69000,7235
1.67200,7302
1.64400,7368
1.68800,7435
1.65200,7499
1.64800,7566
1.68800,7632
1.64400,7698
1.66800,7765
1.69000,7831
1.66800,7896
1.68200,7962
1.69000,8028
1.67800,8094
1.66800,8161
1.69000,8225
1.67800,8292
1.66400,8359
1.70800,8425
1.66400,8491
1.65800,8556
1.69000,8622
1.64400,8688
1.65800,8755
1.67200,8821
1.64400,8886
1.66800,8952
1.69000,9019
1.67800,9085
1.66800,9151
1.69400,9216
1.68200,9282
1.66400,9349
1.70000,9415
1.66800,9482
1.66400,9546
1.70800,9613
1.66400,9678
1.66400,9745
1.69000,9812
1.66400,9878
1.67400,9943
1.68400,10009
1.65800,10076
1.67400,10141
1.69000,10207
1.67400,10273
1.66200,10339
1.67800,10406
1.67800,10472
1.65800,10537
1.70000,10603
1.65400,10670
1.66400,10736
1.70800,10801
1.66200,10867
1.66200,10934
1.67400,11000
1.64800,11065
1.66400,11132
1.67400,11198
1.65800,11265
1.64400,11330
1.68800,11396
1.69000,11461
1.66400,11528
1.70800,11594
1.66800,11659
1.66400,11725
1.70400,11792
1.66800,11859
1.68200,11925
1.69000,11990
1.66400,12056
1.67400,12123
1.68200,12189
1.65800,12254
1.64400,12320
1.66800,12387
1.65800,12452
1.64800,12519
1.70000,12584
1.66800,12650
1.66800,12717
1.70800,12783
1.66400,12848
1.67400,12914
1.68800,12981
1.66200,13047
1.67400,13114
1.68400,13179
1.67400,13245
1.67200,13312
1.67800,13377
1.68400,13443
1.66800,13509
1.65800,13575
1.69000,13641
1.66200,13708
1.67400,13772
1.68200,13839
1.64400,13906
1.67200,13972
1.68400,14037
1.67200,14103
1.65800,14170
1.69400,14236
1.67400,14301
1.66400,14367
1.70400,14434
1.65400,14499
1.64800,14566
1.69000,14632
1.65200,14697
1.66400,14764
1.67400,14830
1.64400,14895
1.67400,14961
1.69400,15028
1.68200,15094
1.66800,15161
1.69400,15225
1.68400,15292
1.66400,15359
1.70800,15425
1.66800,15490
1.66400,15556
1.70800,15622
1.66400,15688
1.67400,15755
1.67400,15819
1.64400,15886
1.65800,15953
1.67200,16019
1.65800,16084
1.64800,16150
1.69000,16217
1.67800,16283
1.66800,16350
1.70400,16414
1.67800,16481
1.66400,16547
1.70800,16613
1.66800,16679
1.67400,16744
1.69400,16811
1.66400,16877
1.67800,16944
1.68800,17008
1.66200,17075
1.67200,17141
1.68400,17208
1.67400,17272
1.66400,17339
1.68400,17406
1.67800,17472
1.66200,17537
1.70000,17603
1.65800,17670
1.65800,17735
1.70400,17802
1.65400,17866
1.68200,17933
1.69000,18000
1.66200,18066
1.66200,18131
1.67400,18197
1.66200,18264
1.65200,18330
1.67800,18397
1.65800,18461
1.64400,18528
1.70400,18594
