power,time
1.57600,4
1.47800,68
1.34000,133
1.61600,200
1.69000,265
1.70400,331
1.72000,398
1.71400,464
1.70000,530
1.73000,595
1.70400,661
1.72000,727
1.75400,794
1.72400,860
1.74000,927
1.74600,992
1.72600,1057
1.73400,1124
1.74600,1190
1.73000,1257
1.70800,1321
1.72000,1388
1.71400,1454
1.70000,1520
1.76000,1587
1.72600,1653
1.72600,1718
1.75600,1784
1.72000,1851
1.73400,1917
1.74600,1983
1.72400,2048
1.74000,2114
1.73400,2180
1.71800,2247
1.72400,2314
1.73000,2378
1.73000,2445
1.71400,2510
1.71400,2577
1.74400,2643
1.71400,2708
1.73000,2774
1.73000,2841
1.72000,2907
1.73000,2974
1.74400,3039
1.73000,3104
1.71400,3171
1.73600,3237
1.73600,3304
1.71800,3368
1.75600,3435
1.71800,3501
1.72000,3567
1.75600,3633
1.72400,3699
1.73400,3765
1.74000,3831
1.71400,3898
1.71400,3964
1.72400,4029
1.71800,4095
1.70000,4162
1.72000,4227
1.73400,4294
1.72600,4361
1.76200,4425
1.72600,4492
1.72600,4558
1.77000,4624
1.72000,4690
1.73600,4755
1.74000,4821
1.71400,4888
1.71800,4954
1.72000,5021
1.71400,5086
1.71000,5152
1.74400,5218
1.74000,5284
1.72600,5351
1.76200,5415
1.72600,5482
1.72600,5548
1.76200,5615
1.72000,5680
1.72400,5746
1.74000,5812
1.71800,5878
1.73000,5945
1.73400,6011
1.71400,6076
1.73000,6142
1.73600,6209
1.73000,6274
1.71800,6341
1.74400,6408
1.73000,6472
1.72400,6539
1.76000,6605
1.72000,6672
1.72000,6737
1.75400,6802
1.72400,6868
1.73600,6935
1.74000,7001
1.71800,7068
1.73600,7132
1.74000,7199
1.73600,7265
1.72000,7331
1.74000,7398
1.73000,7462
1.70400,7529
1.73600,7595
1.70400,7662
1.70000,7727
1.73400,7794
1.71400,7859
1.74000,7925
1.74600,7992
1.72600,8058
1.74400,8125
1.74600,8189
1.73600,8256
1.72000,8321
1.74000,8388
1.73400,8454
1.70400,8519
1.73600,8586
1.70000,8652
1.70400,8719
1.75600,8784
1.72600,8850
1.73600,8915
1.74000,8982
1.72000,9048
1.73600,9115
1.74600,9179
1.72600,9246
1.72600,9313
1.73600,9378
1.73600,9445
1.72000,9511
1.71400,9576
1.73400,9642
1.71800,9709
1.73400,9774
1.72400,9841
1.72000,9905
1.73000,9972
1.73000,10039
1.73600,10105
1.71800,10170
1.73400,10236
1.73000,10303
1.72000,10369
1.75600,10436
1.72600,10500
1.71800,10567
1.75600,10634
1.72000,10699
1.73600,10765
1.73600,10830
1.72000,10897
1.73400,10963
1.74000,11030
1.72000,11094
1.71400,11161
1.72000,11227
1.71400,11294
1.70000,11359
1.74000,11425
1.72400,11492
1.72600,11558
1.76000,11624
1.72600,11689
1.74400,11756
1.74600,11821
1.71800,11888
1.73000,11952
1.74000,12019
1.72000,12086
1.70000,12152
1.72400,12217
1.71400,12283
1.72000,12350
1.76200,12416
1.72600,12483
1.72600,12547
1.76200,12614
1.72600,12681
1.73600,12746
1.75000,12812
1.72400,12878
1.73000,12944
1.73600,13010
1.71800,13077
1.72600,13141
1.73000,13208
1.72600,13274
1.71400,13341
1.73600,13406
1.73000,13472
1.71800,13539
1.75600,13605
1.72000,13672
1.72000,13736
1.76000,13803
1.71800,13868
1.73000,13935
1.74000,14000
1.71400,14066
1.73600,14133
1.74000,14199
1.73000,14264
1.72000,14330
1.74600,14397
1.73600,14463
1.72000,14530
1.75600,14594
1.71000,14661
1.70000,14728
1.73600,14794
1.70000,14859
1.71400,14925
1.72000,14991
1.72000,15057
1.74400,15124
1.75000,15188
1.74000,15255
1.73000,15321
1.75000,15388
1.73600,15452
1.72000,15519
1.75400,15586
1.71800,15652
1.70000,15719
1.73600,15783
1.70000,15850
1.72000,15916
1.74600,15982
1.72600,16047
1.74600,16113
1.74400,16180
1.73000,16246
1.72600,16313
1.74600,16377
1.74000,16444
1.72400,16510
1.73000,16577
1.73600,16641
1.71800,16708
1.74400,16774
1.72000,16841
1.71800,16906
1.73400,16972
1.72600,17039
1.73000,17104
1.71800,17171
1.73600,17235
1.73400,17302
1.71800,17368
1.75400,17435
1.71800,17499
1.71400,17566
1.76200,17633
1.72400,17699
1.73400,17766
1.74000,17830
1.72000,17897
1.74000,17963
1.74600,18029
1.73600,18094
1.72000,18161
1.74400,18227
1.71800,18293
1.70400,18360
1.74000,18424
1.70000,18491
1.69800,18557
1.75600,18624
1.72400,18688
1.74600,18755
1.75000,18821
1.72600,18888
1.74000,18955
1.74400,19019
1.73400,19086
1.71400,19151
1.73600,19218
1.72000,19283
1.70000,19349
1.73600,19415
1.70400,19482
1.72400,19546
1.76200,19613
1.72600,19680
1.74000,19746
1.75000,19813
1.72600,19877
1.74400,19944
1.75000,20010
1.72400,20077
1.72400,20141
1.74000,20208
1.73000,20273
1.71400,20340
1.73400,20407
1.73000,20471
1.71800,20538
1.75400,20604
1.71800,20671
1.72400,20735
1.75000,20802
1.72000,20868
1.73600,20935
1.75000,21002
1.72000,21066
1.74000,21133
1.74600,21199
1.74000,21265
1.72000,21330
1.73600,21396
1.73600,21462
1.71800,21529
1.75600,21593
1.72400,21660
1.72000,21727
1.75600,21793
1.71000,21860
1.71800,21924
1.72400,21991
1.70400,22057
1.71400,22124
1.72400,22188
1.73600,22255
1.72600,22321
1.74600,22387
1.74400,22454
1.73000,22518
1.76200,22585
1.72000,22651
1.72000,22718
1.75400,22782
1.71000,22849
1.71800,22915
1.72000,22982
1.70000,23049
1.73000,23113
1.74600,23180
1.74000,23246
1.72400,23312
1.74400,23377
1.74000,23444
1.72600,23509
1.74600,23576
1.73400,23642
1.72000,23707
1.75000,23774
1.72400,23840
1.71400,23907
1.74000,23971
1.72000,24038
1.73000,24104
1.72000,24171
1.72600,24235
1.73000,24302
1.72000,24368
1.75000,24434
1.72600,24501
1.72000,24566
1.75600,24632
1.71800,24698
